"","Airline","Profit"
"1","JAL",81145316018.0881
"2","ANA",84946489827.5648
"3","SFJ",944735459.674847
"4","SKY",2049686449.2563
"5","JAC",114863523.673412
"6","ADO",3261246096.99159
"7","IBX",562549840.601676
"8","JTA",2229041927.52398
"9","HAC",230141683.305257
"10","JEX",2989972627.68548
