"","Airline","Profit"
"1","JAL",78907229711.568
"2","ANA",83417575801.355
"3","SFJ",957445548.34275
"4","SKY",1721680438.90549
"5","JAC",113205328.169917
"6","ADO",2974086794.04956
"7","IBX",477157434.165512
"8","JTA",2007299984.0898
"9","HAC",185220664.348942
"10","JEX",2835481684.22285
