"","i","j","空港i","空港j","航空会社","旅客数","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","エアライン参入数","鉄道ダミー","一便あたり座席数","一便あたり貨物","OD","DIS","Seat","Freq","MC","LF","observedprob"
"39",12,18,"仙台","成田","ANA",13257,60,18100,2,450,78.831177,2,0,73.7912087912088,0,22371,435,73.7912087912088,364,4785,49.4,0.592597559340217
"40",12,18,"仙台","成田","IBX",9114,60,18100,2,0,78.831177,2,0,50,0,22371,435,50,357,4785,51.1,0.407402440659783
"41",12,25,"仙台","大阪","ANA",288522,75,30800,6,595,28.404095,3,0,207.327046918123,1397.43422263109,499572,803,207.327046918123,2174,8833,64,0.577538372847157
"42",12,25,"仙台","大阪","JEX",201894,75,30800,6,625,28.404095,3,0,152.043238270469,105.848206071757,499572,803,152.043238270469,2174,8833,61.1,0.404133938651486
"43",12,25,"仙台","大阪","IBX",9156,75,30800,1,55,28.404095,3,0,50,0,499572,803,50,421,8833,43.5,0.0183276885013572
"44",12,37,"仙台","福岡","JAL",82514,105,43500,3,300,17.895864,2,0,146.253699788584,380.818181818182,111836,1256,146.253699788584,946,13816,59.6,0.737812511177081
"45",12,37,"仙台","福岡","ANA",29322,105,43500,2,50,17.895864,2,0,125.407024793388,294.039256198347,111836,1256,125.407024793388,484,13816,48.3,0.262187488822919
"46",18,3,"東京","函館","JAL",239803,80,31400,3,640,24.936932,3,0,344.278748850046,2744.45906163753,608501,786,344.278748850046,1087,8646,64.1,0.394088095171577
"47",18,3,"東京","函館","ANA",176356,80,31400,2,425,24.936932,3,0,343.456908344733,3031.31326949384,608501,786,343.456908344733,731,8646,70.2,0.28982039470765
"48",18,3,"東京","函館","ADO",115342,80,24200,2,525,24.936932,3,0,226.947658402204,523.707988980716,608501,786,226.947658402204,726,7074,70,0.18955104428752
"49",18,3,"東京","新函館北斗","JR",77000,250,18280,1,580,18.3042805,0,1,0,0,608501,NA,NA,NA,NA,NA,0.126540465833253
