OD,i,j,空港i,空港j,rk,k,航空会社,所要時間,費用,費用（多客期）,航空便数,滞在可能時間,アクセシビリティ指標,エアライン参入社数,DISk,cpma,Seatk,LFk
44,44,107,鹿児島,中部,鹿児島中部,,ANA,80,31900,34100,3,595,,2,,,,
44,44,107,鹿児島,中部,鹿児島中部,,JEX,80,31900,34100,4,375,,2,,,,
45,102,201,伊丹,青森,伊丹青森,,JAL,95,36700,38900,2,545,,1,,,,
46,201,102,青森,伊丹,青森伊丹,,JAL,95,36700,38900,2,335,,1,,,,
47,102,10,伊丹,三沢,伊丹三沢,,JAL,95,37800,40000,1,40,,1,,,,
48,10,102,三沢,伊丹,三沢伊丹,,JAL,95,37800,40000,1,0,,1,,,,
49,102,202,伊丹,大館,伊丹大館,,ANA,90,35900,37600,1,30,,1,,,,
50,202,102,大館,伊丹,大館伊丹,,ANA,90,35900,37600,1,0,,1,,,,
51,102,13,伊丹,秋田,伊丹秋田,,JAL,80,33000,35200,2,485,,2,,,,
51,102,13,伊丹,秋田,伊丹秋田,,IBX,80,33000,35200,2,500,,2,,,,
52,13,102,秋田,伊丹,秋田伊丹,,JAL,80,33000,35200,2,240,,2,,,,
52,13,102,秋田,伊丹,秋田伊丹,,IBX,80,33000,35200,2,275,,2,,,,
53,102,11,伊丹,花巻,伊丹花巻,,JAL,85,35200,37400,1,35,,2,,,,
53,102,11,伊丹,花巻,伊丹花巻,,JEX,85,35200,37400,2,465,,2,,,,
54,11,102,花巻,伊丹,花巻伊丹,,JAL,85,35200,37400,1,0,,2,,,,
54,11,102,花巻,伊丹,花巻伊丹,,JEX,85,35200,37400,2,220,,2,,,,
55,102,15,伊丹,山形,伊丹山形,,JAL,75,31900,34100,4,590,,1,,,,
56,15,102,山形,伊丹,山形伊丹,,JAL,75,31900,34100,4,375,,1,,,,
57,102,12,伊丹,仙台,伊丹仙台,,ANA,75,30800,33000,6,575,,3,,,,
57,102,12,伊丹,仙台,伊丹仙台,,JEX,75,30800,33000,6,605,,3,,,,
57,102,12,伊丹,仙台,伊丹仙台,,IBX,75,30800,33000,1,0,,3,,,,
58,12,102,仙台,伊丹,仙台伊丹,,ANA,75,30800,33000,6,595,,3,,,,
58,12,102,仙台,伊丹,仙台伊丹,,JEX,75,30800,33000,6,625,,3,,,,
58,12,102,仙台,伊丹,仙台伊丹,,IBX,75,30800,33000,1,55,,3,,,,
59,102,17,伊丹,福島,伊丹福島,,IBX,65,30000,32200,5,615,,1,,,,
60,17,102,福島,伊丹,福島伊丹,,IBX,65,30000,32200,5,420,,1,,,,
61,102,20,伊丹,新潟,伊丹新潟,,JAL,60,29000,31200,4,610,,3,,,,
61,102,20,伊丹,新潟,伊丹新潟,,ANA,60,29000,31200,4,455,,3,,,,
61,102,20,伊丹,新潟,伊丹新潟,,JAC,60,29000,31200,4,610,,3,,,,
62,20,102,新潟,伊丹,新潟伊丹,,JAL,60,29000,31200,4,580,,3,,,,
62,20,102,新潟,伊丹,新潟伊丹,,ANA,60,29000,31200,4,585,,3,,,,
62,20,102,新潟,伊丹,新潟伊丹,,JAC,60,29000,31200,4,395,,3,,,,
63,102,204,伊丹,石見,伊丹石見,,ANA,65,25800,28000,1,30,,1,,,,
64,204,102,石見,伊丹,石見伊丹,,ANA,65,25800,28000,1,0,,1,,,,
65,102,41,伊丹,熊本,伊丹熊本,,JAL,70,23500,25700,1,30,,3,,,,
65,102,41,伊丹,熊本,伊丹熊本,,ANA,70,23500,25700,4,520,,3,,,,
65,102,41,伊丹,熊本,伊丹熊本,,JEX,70,23500,25700,3,570,,3,,,,
66,41,102,熊本,伊丹,熊本伊丹,,JAL,70,23500,25700,1,0,,3,,,,
66,41,102,熊本,伊丹,熊本伊丹,,ANA,70,23500,25700,4,650,,3,,,,
