"","空港i","空港j","航空会社","運航回数","運航キロメートル","運航時間","旅客数","座席数","X","人キロメートル","座席キロメートル","座席利用率","貨物","超過手荷物","郵便物","旅客","貨物.1","超過手荷物.1","郵便物.1","計","利用可能.トンキロメートル","重量利用率...","DIS","Seat","Freq","MC"
"748","与那国","那覇","RAC",218,130146,"300:09:00",3629,8837,"41","2,166,513","5,275,689",41.1,1905,"0","0","162,491","1,139","0","0","163,630","510,943",32,597,40.5366972477064,217.819514114373,6567
"749","宮古","石垣","JTA",601,109983,"332:45:00",37999,89890,"150","6,953,817","16,449,870",42.3,122970,"0","1,620","521,537","22,504","0","297","544,338","1,323,093",41.1,183,149.567387687188,600.613226515097,2013
"750","石垣","宮古","JTA",326,59658,"149:41:00",18204,89108,"273","3,331,332","16,306,764",20.4,38112,"0","5","249,849","6,974","0","1","256,824","717,685",35.8,183,273.337423312883,326.465703218038,2013
"751","宮古","石垣","RAC",212,38796,"118:07:00",5089,8268,"39","931,287","1,513,044",61.6,16384,"0","226","69,847","2,998","0","42","72,887","152,309",47.9,183,39,211.829836829837,2013
"752","石垣","宮古","RAC",212,38796,"112:17:00",5924,8268,"39","1,084,092","1,513,044",71.6,23247,"0","130","81,309","4,254","0","24","85,587","152,309",56.2,183,39,212.147256839994,2013
"753","多良間","宮古","RAC",723,62178,"254:22:00",14267,28197,"39","1,226,962","2,424,942",50.6,99712,"0","3,549","92,023","8,577","0","305","100,905","244,106",41.3,86,39,722.965440356745,946
"754","宮古","多良間","RAC",723,62178,"262:21:00",14169,28197,"39","1,218,534","2,424,942",50.3,185127,"0","9,115","91,392","15,922","0","783","108,097","244,106",44.3,86,39,722.281694448693,946
"755","石垣","与那国","JTA",361,60648,"177:16:00",25970,53972,"150","4,362,960","9,067,296",48.1,345802,"0","15,467","327,222","58,096","0","2,597","387,915","637,225",60.9,168,149.506925207756,361.131659397427,1848
"756","与那国","石垣","JTA",361,60648,"171:53:00",26164,53972,"150","4,395,552","9,067,296",48.5,319257,"0","6,136","329,666","53,633","0","1,031","384,330","637,225",60.3,168,149.506925207756,360.828715309427,1848
"757","石垣","与那国","RAC",218,38150,"120:22:00",6218,8876,"41","1,088,150","1,553,300",70.1,33210,"0","24","81,613","5,811","0","3","87,427","149,778",58.4,175,40.7155963302752,217.857191072562,1925
"758","与那国","石垣","RAC",221,38675,"121:08:00",6830,9032,"41","1,195,250","1,580,600",75.6,6035,"0","1","89,644","1,057","0","0","90,701","151,839",59.7,175,40.868778280543,221.05851739377,1925
