"","空港i","空港j","航空会社","運航回数","運航キロメートル","運航時間","旅客数","座席数","X","人キロメートル","座席キロメートル","座席利用率","貨物","超過手荷物","郵便物","旅客","貨物.1","超過手荷物.1","郵便物.1","計","利用可能.トンキロメートル","重量利用率...","DIS","Seat","Freq","MC"
"13","東京","関西","JAL",2281,1546518,"2,934:16",249460,374347,"164","169,133,880","253,807,266",66.6,189389,"1,498","222,910","12,685,040","128,405","1,015","151,135","12,965,595","27,826,206",46.6,678,164.115300306883,2282.32568117755,7458
"14","関西","東京","JAL",2280,1545840,"2,564:35",243321,375328,"165","164,971,638","254,472,384",64.8,689417,"1,459","517,432","12,372,874","467,425","989","350,818","13,192,106","27,885,124",47.3,678,164.617543859649,2281.01672255852,7458
"15","東京","関西","ANA",1617,1096326,"2,033:02",242305,367216,"227","164,282,790","248,972,448",66,3310927,"2,624","383,507","12,321,211","2,244,809","1,779","260,018","14,827,817","49,495,847",30,678,227.097093382808,1616.61596989238,7458
"16","関西","東京","ANA",1934,1311252,"2,269:21",230813,367208,"190","156,491,214","248,967,024",62.9,2691252,"2,041","950,047","11,736,841","1,824,668","1,384","644,132","14,207,025","64,697,152",22,678,189.869700103413,1932.65331459713,7458
"17","東京","関西","SFJ",1455,986490,"1,806:39",150657,209520,"144","102,145,446","142,054,560",71.9,0,"502","0","7,660,909","0","341","0","7,661,250","15,258,042",50.2,678,144,1455.1170607325,6102
"18","関西","東京","SFJ",1456,987168,"1,721:20",158283,209664,"144","107,315,874","142,152,192",75.5,0,"539","0","8,048,691","0","366","0","8,049,057","15,268,529",52.7,678,144,1455.87748344371,6102
"19","東京","福岡","JAL",6779,7056939,"12,468:08",1526552,2622464,"387","1,589,140,632","2,729,985,024",58.2,32322041,"9,160","4,092,986","119,185,548","33,647,244","9,534","4,260,797","157,103,123","332,674,349",47.2,1041,386.851157987904,6780.23453360847,11451
"20","福岡","東京","JAL",6777,7054857,"10,470:03",1546302,2622485,"387","1,609,700,382","2,730,006,885",59,41041524,"9,279","1,311,643","120,727,529","42,724,227","9,658","1,365,419","164,826,833","332,673,099",49.5,1041,386.968422605873,6772.77703903753,11451
"21","東京","福岡","ANA",6414,6676974,"11,755:05",1605033,2669681,"416","1,670,839,353","2,779,137,921",60.1,33578705,"22,589","1,849,626","125,312,951","34,955,433","23,515","1,925,460","162,217,359","547,003,402",29.7,1041,416.227159338946,6416.217523109,11451
"22","福岡","東京","ANA",6411,6673851,"10,159:50",1639873,2662324,"415","1,707,107,793","2,771,479,284",61.6,32349941,"22,588","991,021","128,033,085","33,676,288","23,514","1,031,653","162,764,540","545,913,915",29.8,1041,415.274372172828,6410.53643541137,11451
"23","東京","福岡","SKY",3631,3779871,"6,987:51",589790,721349,"199","613,971,390","750,924,309",81.8,0,"11,172","0","46,047,855","0","11,630","0","46,059,485","90,928,997",50.7,1041,198.6640044065,3629.31710795145,5725.5
"24","福岡","東京","SKY",3628,3776748,"5,723:40",601398,720818,"199","626,055,318","750,371,538",83.4,0,"12,824","0","46,954,148","0","13,351","0","46,967,499","90,870,810",51.7,1041,198.681918412348,3629.42297510876,5725.5
"25","東京","那覇","JAL",4232,7139384,"11,217:57",1279999,2035566,"481","2,159,358,313","3,433,999,842",62.9,39015803,"9,600","1,089,710","161,951,875","65,819,660","16,195","1,838,341","229,626,071","366,416,400",62.7,1687,480.993856332703,4230.77038512214,18557
"26","那覇","東京","JAL",4224,7125888,"9,476:17",1285780,2023063,"479","2,169,110,860","3,412,907,281",63.6,27117403,"9,645","243,093","162,683,316","45,747,058","16,272","410,098","208,856,744","376,734,767",55.4,1687,478.944839015152,4221.08456335764,18557
"27","東京","那覇","ANA",3623,6112001,"9,668:04",1106219,1653361,"456","1,866,191,453","2,789,220,007",66.9,23484616,"21,132","2,903,273","139,964,357","39,618,548","35,650","4,897,821","184,516,376","463,134,415",39.8,1687,456.351366271046,3623.39466547459,18557
"28","那覇","東京","ANA",3616,6100192,"8,247:37",1075612,1654187,"457","1,814,557,444","2,790,613,469",65,23754708,"17,448","843,244","136,091,808","40,074,192","29,436","1,422,553","177,617,989","462,875,600",38.4,1687,457.463219026549,3617.31309421765,18557
"29","東京","那覇","JTA",17,28679,"43:50:00",1085,2400,"141","1,830,395","4,048,800",45.2,2293,"0","0","137,280","3,868","0","0","141,148","427,648",33,1687,141.176470588235,17.0031342182891,18557
"30","那覇","東京","JTA",257,433559,"588:27:00",32881,38470,"150","55,470,247","64,898,890",85.5,41893,"0","0","4,160,269","70,675","0","0","4,230,944","6,465,021",65.4,1687,149.688715953307,256.91522368003,18557
"31","東京","那覇","SKY",1087,1833769,"3,077:41",163200,209047,"192","275,318,400","352,662,289",78.1,0,"14,489","0","20,648,879","0","24,442","0","20,673,321","41,249,213",50.1,1687,192.315547378105,1086.56253208152,9278.5
"32","那覇","東京","SKY",1086,1832082,"2,525:32",171742,208782,"192","289,728,754","352,215,234",82.3,0,"11,632","0","21,729,658","0","19,623","0","21,749,281","41,180,018",52.8,1687,192.24861878453,1085.45907174649,9278.5
"33","成田","新千歳","JAL",638,569096,"1,099:57",63195,114520,"179","56,369,940","102,151,840",55.2,173935,"472","0","4,227,746","155,149","421","0","4,383,316","11,037,250",39.7,892,179.498432601881,637.797745599781,9812
"34","新千歳","成田","JAL",638,569096,"1,053:29",65119,114397,"179","58,086,148","102,042,124",56.9,20550,"486","0","4,356,460","18,330","433","0","4,375,223","11,022,889",39.7,892,179.305642633229,638.265690014577,9812
"35","成田","新千歳","ANA",364,324688,"639:12:00",34133,60246,"166","30,446,636","53,739,432",56.7,121522,"862","0","2,283,498","108,397","767","0","2,392,662","7,094,559",33.7,892,165.510989010989,363.717810474995,9812
"36","新千歳","成田","ANA",362,322904,"605:33:00",25842,59909,"165","23,051,064","53,438,828",43.1,701,"753","0","1,728,830","626","671","0","1,730,127","7,055,516",24.5,892,165.494475138122,362.297512402705,9812
"37","成田","新千歳","IBX",361,322012,"587:31:00",11796,18050,"50","10,522,032","16,100,600",65.4,0,"0","0","789,152","0","0","0","789,152","1,393,225",56.6,892,50,360.733944954128,9812
"38","新千歳","成田","IBX",357,318444,"594:37:00",14013,17850,"50","12,499,596","15,922,200",78.5,0,"0","0","937,470","0","0","0","937,470","1,377,785",68,892,50,357.019108280255,9812
"39","成田","大阪","JAL",729,429381,"986:13:00",105150,149657,"205","61,933,350","88,147,973",70.3,481919,"788","19","4,645,001","283,849","463","11","4,929,324","12,781,771",38.6,589,205.290809327846,728.592078513988,6479
"40","大阪","成田","JAL",728,428792,"909:09:00",108098,148948,"205","63,669,722","87,730,372",72.6,834087,"811","906,812","4,775,230","491,278","476","534,112","5,801,096","12,795,260",45.3,589,204.598901098901,727.742504992406,6479
"41","成田","大阪","ANA",637,375193,"817:08:00",87751,135078,"212","51,685,339","79,560,942",65,1234331,"1,892","0","3,876,401","727,022","1,115","0","4,604,538","23,911,645",19.3,589,212.053375196232,636.639423148107,6479
"42","大阪","成田","ANA",637,375193,"809:06:00",88647,135132,"212","52,213,083","79,592,748",65.6,6792,"1,650","0","3,915,982","4,001","971","0","3,920,954","23,916,292",16.4,589,212.138147566719,637.002931821677,6479
"43","成田","大阪","IBX",61,35929,"84:59:00",2268,3050,"50","1,335,852","1,796,450",74.4,0,"0","0","100,189","0","0","0","100,189","155,451",64.5,589,50,60.9677419354839,6479
"44","大阪","成田","IBX",61,35929,"72:20:00",2141,3050,"50","1,261,049","1,796,450",70.2,0,"0","0","94,579","0","0","0","94,579","155,451",60.8,589,50,60.997150997151,6479
"45","成田","関西","ANA",1,752,"1:30",0,0,"0","0","0",0,0,"0","0","0","0","0","0","0","52,654",0,752,0,NA,8272
"46","関西","成田","ANA",0,0,"0:00",0,0,"#DIV/0!","0","0",0,0,"0","0","0","0","0","0","0","0",0,NA,NA,NA,NA
"47","成田","福岡","JAL",787,871209,"1,609:26",68401,115864,"147","75,719,907","128,261,448",59,74536,"513","22,084","5,678,993","82,512","568","24,446","5,786,519","13,917,204",41.6,1107,147.222363405337,787.474780484893,12177
"48","福岡","成田","JAL",790,874530,"1,387:34",73111,116299,"147","80,933,877","128,742,993",62.9,10285,"549","463,637","6,070,041","11,384","607","513,246","6,595,278","13,969,676",47.2,1107,147.213924050633,789.556456986707,12177
"49","成田","福岡","ANA",729,807003,"1,533:18",49204,89565,"123","54,468,828","99,148,455",54.9,5005,"2,324","18,277","4,085,163","5,540","2,572","20,233","4,113,508","11,313,451",36.4,1107,122.860082304527,729.486507189119,12177
"50","福岡","成田","ANA",730,808110,"1,304:12",52552,89637,"123","58,175,064","99,228,159",58.6,9056,"1,188","191,600","4,363,130","10,025","1,315","212,101","4,586,571","11,320,209",40.5,1107,122.790410958904,730.343519392456,12177
"51","成田","那覇","JAL",3,5661,"9:13",0,0,"0","0","0",0,33570,"0","7,354","0","63,347","0","13,877","77,224","400,611",19.3,1887,0,NA,20757
"52","那覇","成田","JAL",4,7548,"8:54",0,0,"0","0","0",0,131728,"0","0","0","248,571","0","0","248,571","499,489",49.8,1887,0,NA,20757
"53","成田","那覇","ANA",365,688755,"1,075:50",54443,78519,"215","102,733,941","148,165,353",69.3,57773,"3,002","1,052,427","7,705,046","109,020","5,665","1,985,931","9,805,662","31,096,400",31.5,1887,215.120547945205,365.196762056121,20757
"54","那覇","成田","ANA",364,686868,"897:41:00",58693,78303,"215","110,753,691","147,757,761",75,3148,"1,188","607,050","8,306,526","5,941","2,242","1,145,504","9,460,213","31,011,157",30.5,1887,215.118131868132,363.787713540137,20757
"55","大阪","新千歳","JAL",786,912546,"58.68472222",157415,213764,"509","182758815","248180004",77.5,3228958,"856","319507","13706912","3748821","992","370949","17827674","29253318",64.5,1161,271.964376590331,746.848287921983,12771
"56","新千歳","大阪","JAL",784,910224,"62",159098,212764,"508","184,712,778","247,019,004",77.3,3276702,"868","1,337","13,853,461","3,804,252","1,007","1,552","17,660,272","29,580,258",63.15,1161,271.382653061225,758.408413838649,12771
"57","大阪","新千歳","ANA",424,492264,"762:59:00",102185,128177,"302","118,636,785","148,813,497",79.7,1555494,"1,858","157,664","8,897,759","1,805,928","2,158","183,048","10,888,893","28,700,981",37.9,1161,302.304245283019,424.115926818535,12771
"58","新千歳","大阪","ANA",424,492264,"810:53:00",99150,127475,"301","115,113,150","147,998,475",77.8,1611353,"1,922","15,021","8,633,486","1,870,782","2,230","17,440","10,523,938","28,482,624",36.9,1161,300.64858490566,423.890767432094,12771
"59","大阪","福岡","JAL",896,517888,"43.85763889",86430,129360,"201","49956540","74770080",69.2,790057,"504","115787","3746740","456654","292","66924","4270610","8098747",55.9,578,144.375,865.100217701374,6358
"60","福岡","大阪","JAL",897,518466,"39.61041667",79190,129821,"202","45771820","75036538",71.05,586098,"461","81752","3432888","338765","266","47253","3819172","8130362",56.95,578,144.727982162765,770.111756922964,6358
"61","大阪","福岡","ANA",2585,1494130,"3,296:16",286928,403613,"156","165,844,384","233,288,314",71.1,3808755,"2,864","730","12,438,330","2,201,459","1,657","423","14,641,869","36,347,628",40.3,578,156.136557059961,2584.63208843895,6358
"62","福岡","大阪","ANA",2581,1491818,"2,964:08",286273,403363,"156","165,465,794","233,143,814",71,3393236,"2,649","430,711","12,409,937","1,961,289","1,531","248,951","14,621,708","36,343,777",40.2,578,156.281673769857,2579.96602368405,6358
"63","大阪","福岡","JAC",710,410380,"902:42:00",37593,52540,"74","21,728,754","30,368,120",71.6,44395,"225","84","1,629,656","25,662","130","49","1,655,497","2,911,238",56.9,578,74,709.516080326136,6358
"64","福岡","大阪","JAC",703,406334,"778:29:00",38401,52022,"74","22,195,778","30,068,716",73.8,72601,"229","0","1,664,685","41,962","132","0","1,706,779","2,882,534",59.2,578,74,703.160477550722,6358
"65","大阪","那覇","JAL",428,558112,"909:11:00",140677,197867,"462","183,442,808","258,018,568",71.1,3882909,"1,055","1,962","13,758,211","5,063,314","1,378","2,558","18,825,461","31,250,361",60.2,1304,462.306074766355,427.980416770739,14344
"66","那覇","大阪","JAL",427,556808,"790:02:00",134550,197606,"463","175,453,200","257,678,224",68.1,3180893,"1,008","58,689","13,158,990","4,147,884","1,315","76,532","17,384,721","31,599,832",55,1304,462.777517564403,426.9375348026,14344
"67","大阪","那覇","ANA",426,555504,"919:01:00",156335,203749,"478","203,860,840","265,688,696",76.7,3739216,"3,696","5,128","15,289,563","4,875,937","4,820","6,686","20,177,006","58,627,343",34.4,1304,478.284037558685,426.162240688771,14344
"68","那覇","大阪","ANA",426,555504,"787:54:00",145413,203635,"478","189,618,552","265,540,040",71.4,2294962,"2,836","588","14,221,391","2,992,629","3,698","767","17,218,485","58,590,952",29.4,1304,478.016431924883,426.051596271381,14344
"69","関西","新千歳","JAL",1465,1917685,"2,659:57",236934,338939,"231","310,146,606","443,671,151",69.9,3588020,"1,421","239,004","23,260,995","4,696,718","1,861","312,855","28,272,429","54,223,232",52.1,1309,231.357679180887,1465.09670476743,14399
"70","新千歳","関西","JAL",1464,1916376,"3,185:43",230816,337526,"231","302,138,144","441,821,534",68.4,3289848,"1,383","39,420","22,660,361","4,306,413","1,811","51,603","27,020,188","54,089,188",50,1309,230.550546448087,1463.67162254219,14399
"71","関西","新千歳","ANA",1481,1938629,"2,704:54",231669,317568,"214","303,254,721","415,696,512",73,2967117,"4,071","26,918","22,744,105","3,883,957","5,328","35,235","26,668,625","70,027,220",38.1,1309,214.428089128967,1480.00570172351,14399
"72","新千歳","関西","ANA",1481,1938629,"3,216:52",235646,318734,"215","308,460,614","417,222,806",73.9,3095677,"3,823","101,755","23,134,546","4,052,240","5,006","133,198","27,324,990","70,394,728",38.8,1309,215.215395003376,1481.638652744,14399
"73","関西","福岡","JAL",1110,613830,"",43976,69065,"115","24318728","38192945",72,134696,"218","3767","1823903","74487","123","2083","1900596","3609122",59.55,553,62.2207207207207,981.630830859818,6083
"74","福岡","関西","JAL",1110,613830,"46.93194444",46002,69114,"115","25439106","38220042",74.9,11871,"225","15569","1907932","6565","124","8610","1923231","3610780",60.9,553,62.2648648648649,986.397234684299,6083
"75","関西","福岡","ANA",1327,733831,"1,664:37",62171,104101,"78","34,380,563","57,567,853",59.7,31716,"1,642","2,671","2,578,543","17,541","909","1,476","2,598,469","5,450,029",47.7,553,78.4483798040693,1327.4847579492,6083
"76","福岡","関西","ANA",1328,734384,"1,432:54",68597,104373,"79","37,934,141","57,718,269",65.7,4527,"1,430","13,860","2,845,061","2,505","792","7,665","2,856,023","5,477,249",52.1,553,78.5941265060241,1328.46360759658,6083
"77","関西","那覇","JAL",1473,1857453,"3,118:54",217810,330837,"225","274,658,410","417,185,457",65.8,4071928,"1,634","507,652","20,599,380","5,134,699","2,059","640,149","26,376,287","49,856,032",52.9,1261,224.600814663951,1473.80692976265,13871
"78","那覇","関西","JAL",1471,1854931,"2,698:34",226618,333495,"227","285,765,298","420,537,195",68,4313215,"1,700","247,207","21,432,399","5,438,965","2,143","311,726","27,185,233","50,120,085",54.2,1261,226.713120326309,1469.97123159973,13871
"79","関西","那覇","ANA",1565,1973465,"3,321:23",227843,381746,"244","287,310,023","481,381,706",59.7,8111928,"4,020","394,352","21,548,252","10,229,141","5,070","497,278","32,279,741","92,750,596",34.8,1261,243.927156549521,1564.59236258376,13871
"80","那覇","関西","ANA",1552,1957072,"2,855:43",240932,381682,"246","303,815,252","481,301,002",63.1,6009362,"3,375","308,331","22,786,145","7,577,806","4,257","388,805","30,757,013","91,836,108",33.5,1261,245.92912371134,1552.58420707521,13871
"81","関西","那覇","JTA",90,113490,"201:01:00",7444,13405,"149","9,386,884","16,903,705",55.5,46294,"0","2,467","704,017","58,376","0","3,111","765,504","1,546,868",49.5,1261,148.944444444444,90.0511104166457,13871
"82","那覇","関西","JTA",90,113490,"160:13:00",7033,13470,"150","8,868,613","16,985,670",52.2,5853,"0","30,176","665,146","7,380","0","38,053","710,579","1,546,868",45.9,1261,149.666666666667,90.0212477280291,13871
"83","福岡","新千歳","JAL",729,1176606,"1,595:57",120647,168230,"231","194,724,258","271,523,220",71.7,2429707,"723","310,569","14,604,319","3,921,548","1,167","501,257","19,028,291","31,765,296",59.9,1614,230.76817558299,729.15768086976,17754
"84","新千歳","福岡","JAL",728,1174992,"1,812:12",119560,168118,"231","192,969,840","271,342,452",71.1,1210550,"718","34,315","14,472,740","1,953,828","1,157","55,384","16,483,109","31,636,500",52.1,1614,230.931318681319,728.171153109273,17754
"85","福岡","新千歳","ANA",372,600408,"806:15:00",104315,149517,"402","168,364,410","241,320,438",69.8,1780381,"2,122","85,978","12,627,331","2,873,535","3,425","138,771","15,643,062","51,590,249",30.3,1614,401.927419354839,371.829382301555,17754
"86","新千歳","福岡","ANA",371,598794,"905:29:00",102915,148936,"401","166,104,810","240,382,704",69.1,1991069,"1,895","202,102","12,457,861","3,213,585","3,059","326,193","16,000,698","51,516,812",31.1,1614,401.44474393531,371.000807503094,17754
"87","福岡","那覇","JAL",1833,1847664,"3,116:07",199883,352312,"192","201,482,064","355,130,496",56.7,6055652,"1,499","156,093","15,111,155","6,104,097","1,511","157,340","21,374,103","42,251,228",50.6,1008,192.205128205128,1834.12034919506,11088
"88","那覇","福岡","JAL",1828,1842624,"2,940:38",210209,351244,"192","211,890,672","354,053,952",59.8,2768300,"1,578","16,839","15,891,801","2,790,448","1,590","16,974","18,700,813","42,105,168",44.4,1008,192.146608315098,1829.43675130179,11088
"89","福岡","那覇","ANA",2907,2930256,"4,790:39",373204,608891,"209","376,189,632","613,762,128",61.3,9726717,"4,775","348,092","28,214,223","9,804,531","4,814","350,876","38,374,444","100,214,960",38.3,1008,209.456828345373,2906.64031101091,11088
"90","那覇","福岡","ANA",2909,2932272,"4,634:04",371051,604203,"208","374,019,408","609,036,624",61.4,6096325,"4,119","167,036","28,051,456","6,145,094","4,151","168,371","34,369,072","99,570,840",34.5,1008,207.701271914747,2909.55170377866,11088
"91","福岡","那覇","JTA",365,367920,"586:21:00",35297,53110,"146","35,579,376","53,534,880",66.5,406423,"0","1,758","2,668,453","409,674","0","1,773","3,079,900","5,673,148",54.3,1008,145.506849315069,364.781422583006,11088
"92","那覇","福岡","JTA",367,369936,"587:50:00",27577,53330,"145","27,797,616","53,756,640",51.7,349993,"0","336","2,084,821","352,794","0","339","2,437,954","5,704,233",42.7,1008,145.313351498638,367.071745175563,11088
"93","福岡","那覇","SKY",594,598752,"1,002:17",46870,105138,"177","47,244,960","105,979,104",44.6,0,"2,765","0","3,543,372","0","2,786","0","3,546,158","11,155,717",31.8,1008,177,593.727040105394,5544
"94","那覇","福岡","SKY",591,595728,"962:21:00",46854,104607,"177","47,228,832","105,443,856",44.8,0,"1,541","0","3,542,162","0","1,554","0","3,543,716","11,099,376",31.9,1008,177,590.874697336562,5544
"95","東京","稚内","ANA",479,572405,"916:53:00",50486,81782,"171","60,330,770","97,729,490",61.7,5071,"1,022","0","4,524,807","6,059","1,222","0","4,532,088","12,688,806",35.7,1195,170.734864300626,479.251615166811,13145
"96","稚内","東京","ANA",467,558065,"925:40:00",42479,79772,"171","50,762,405","95,327,540",53.3,154919,"890","0","3,807,181","185,127","1,066","0","3,993,374","12,392,469",32.2,1195,170.817987152034,466.566416914849,13145
"97","東京","釧路","JAL",1082,1116624,"1,720:44",158979,283008,"262","164,066,328","292,064,256",56.2,672473,"1,193","0","12,304,974","693,992","1,230","0","13,000,196","42,324,488",30.7,1032,261.560073937153,1081.51362193803,11352
"98","釧路","東京","JAL",1081,1115592,"1,881:38",163152,283008,"262","168,372,864","292,064,256",57.6,3128000,"1,222","38,465","12,627,964","3,228,096","1,260","39,696","15,897,016","42,299,204",37.6,1032,261.802035152636,1081.92436256219,11352
"99","東京","釧路","ANA",728,751296,"1,148:06",77664,123377,"169","80,149,248","127,325,064",62.9,111518,"2,344","0","6,011,194","115,087","2,417","0","6,128,698","17,178,809",35.7,1032,169.473901098901,728.561608954513,11352
"100","釧路","東京","ANA",727,750264,"1,307:59",78119,123202,"169","80,618,808","127,144,464",63.4,1282884,"2,085","15,106","6,046,411","1,323,935","2,154","15,590","7,388,090","17,156,224",43.1,1032,169.466299862448,727.083133508474,11352
"101","東京","函館","JAL",1087,854382,"1,476:02",239803,374231,"344","188,485,158","294,145,566",64.1,2983227,"1,800","304,918","14,136,387","2,344,817","1,413","239,666","16,722,283","35,728,494",46.8,786,344.278748850046,1086.64169820345,8646
"102","函館","東京","JAL",1086,853596,"1,537:38",223082,373272,"344","175,342,452","293,391,792",59.8,6012709,"1,672","113,441","13,150,683","4,725,989","1,315","89,165","17,967,152","35,062,046",51.2,786,343.71270718232,1085.34486781309,8646
"103","東京","函館","ANA",731,574566,"977:33:00",176356,251067,"343","138,615,816","197,338,662",70.2,2215890,"2,960","427,791","10,396,186","1,741,691","2,327","336,243","12,476,447","37,764,713",33,786,343.456908344733,731.443645813117,8646
"104","函館","東京","ANA",727,571422,"1,059:45",153967,250015,"344","121,018,062","196,511,790",61.6,2745855,"3,944","2,330","9,076,356","2,158,242","3,099","1,831","11,239,528","37,647,579",29.9,786,343.899587345254,726.800606249339,8646
"105","東京","函館","ADO",726,570636,"947:54:00",115342,164764,"227","90,658,812","129,504,504",70,380212,"3,369","0","6,799,413","298,847","2,647","0","7,100,907","18,266,202",38.9,786,226.947658402204,726.045321967004,7074
"106","函館","東京","ADO",722,567492,"1,034:35",131071,163940,"227","103,021,806","128,856,840",80,990934,"3,360","0","7,726,634","778,874","2,640","0","8,508,148","18,176,734",46.8,786,227.063711911357,721.554089910943,7074
"107","東京","旭川","JAL",1506,1584312,"2,492:00",274424,401851,"267","288,694,048","422,747,252",68.3,4144111,"2,058","620,824","21,652,054","4,359,604","2,165","653,106","26,666,929","61,584,395",43.3,1052,266.833333333333,1505.77923936632,11572
