"","i","j","空港i","空港j","航空会社","Price_simulation","Price_observed","Frequency_simulation","Frequency_observed","Probability_simulation","Probability_observed","Demand_simulation","Demand_observed"
"51",18,25,"東京","関西","ANA",11666.7999713551,11250,585.471225721579,1617,0.00349932551876774,0.00966241425531998,87752.8169896228,242305
"52",18,25,"東京","関西","SFJ",9692.45915920329,10350,555.556717861882,1455,0.00229373405726762,0.00600776023797999,57520.1203405478,150657
"53",18,25,"成田","大阪","JAL",11409.8253458949,11250,285.20369018561,729,0.00164135774720172,0.00419307426155835,41160.436556189,105150
"54",18,25,"成田","大阪","ANA",42257.7093334825,11250,0.021931658274666,637,1.20546135840439e-07,0.00349925306253929,3.02294340451565,87751
"55",18,25,"東京","神戸","JAL",13076.7845815083,11250,171.831496905032,727,0.00113275950671263,0.00479286532164488,28406.28491196,120191
"56",18,25,"東京","神戸","ANA",11567.7686932343,11250,304.298256755269,816,0.00170564862125042,0.00457075002314864,42772.6630479059,114621
"57",18,25,"東京","神戸","SKY",7406.73788893284,5700,86.5564568571095,1895,0.000471642914317922,0.0103260485098217,11827.4204907829,258947
"58",18,25,"東京","新大阪","JR",0,7225,1,1,0.907788134595024,0.843838748919032,22764662.9652563,21161000
"59",18,37,"東京","福岡","JAL",16553.1242323502,18350,6147.45415729575,6779,0.247692767749683,0.273188707821163,1384083.15998676,1526552
"60",18,37,"東京","福岡","ANA",16398.720628268,18350,6095.85595236537,6414,0.272891949785503,0.287233511390588,1524893.74488226,1605033
"61",18,37,"東京","福岡","SKY",9339.65863426074,10850,311.58466494349,3631,0.00906149187449263,0.10554764461731,50634.737629953,589790
"62",18,37,"成田","福岡","JAL",18371.2833982841,18350,411.788206451256,787,0.00640104444475096,0.012240906830344,35768.4154559572,68401
"63",18,37,"成田","福岡","ANA",107290.123263559,18350,7.7897603918639e-10,729,9.40282572871151e-15,0.00880544991564814,5.25420780979442e-08,49204
"64",18,37,"東京","北九州","JAL",15752.7064340999,18350,1680.27232713856,1455,0.0266019047392533,0.0230277798308238,148648.863298188,128677
"65",18,37,"東京","北九州","SFJ",12300.2526082894,14800,1447.33643290313,3778,0.0261830503015732,0.068370370781311,146308.345329312,382047
"66",18,37,"東京","佐賀","ANA",17860.5197003636,18350,1102.68915449279,1808,0.0138923197650827,0.0227632798922959,77628.9352922651,127199
"67",18,37,"東京","博多","JR",0,11475,1,1,0.397275471339652,0.198822348920516,2219936.79812526,1111000
"68",18,46,"東京","那覇","JAL",25476.6679379393,20400,4362.40135542749,4232,0.50687164551586,0.49157731537897,1319823.30976457,1279999
"69",18,46,"東京","那覇","ANA",25236.1505171882,20400,4018.43214270255,3623,0.471155554024034,0.424837961780602,1226823.57205657,1106219
"70",18,46,"東京","那覇","SKY",12940.432408592,12350,380.92351175994,1087,0.021972800460105,0.0626761566765661,57214.1181788495,163200
"71",18,46,"成田","那覇","ANA",124959.376861258,20400,3.14141854824793e-11,365,1.79855257189634e-15,0.020908566163862,4.68318089841058e-09,54443
"72",25,8,"大阪","新千歳","JAL",21228.445795898,20700,839.105769395022,786,0.170397001377569,0.151662297397419,176860.330036822,157415
"73",25,8,"大阪","新千歳","ANA",20142.0899946669,20700,664.920196818826,424,0.154348924951064,0.0984506677226135,160203.534023383,102185
"74",25,8,"関西","新千歳","JAL",22670.888249651,20650,1036.43543380147,1465,0.161485995035331,0.228275289975923,167611.320313016,236934
"75",25,8,"関西","新千歳","ANA",21667.5024970463,20650,1418.48554052671,1481,0.213924716629443,0.223202698445272,222039.095055915,231669
"76",25,8,"神戸","新千歳","JAL",21963.4416784637,20700,979.353880725334,1085,0.15331514857961,0.169739606968093,159130.545480383,176178
"77",25,8,"神戸","新千歳","ANA",21197.8977615753,20700,1239.31061360168,1089,0.146528213426982,0.128669439490679,152086.175090481,133550
