OD,i,j,空港i,空港j,rk,k,航空会社,所要時間,費用,費用（多客期）,航空便数,滞在可能時間,アクセシビリティ指標,エアライン参入社数,DISk,cpma,Seatk,LFk
A-16,,,那覇,福岡,,,ANA,100,27500,29600,8,685,,4,,,,
A-16,,,那覇,福岡,,,SKY,100,19800,19800,2,470,,4,,,,
A-16,,,那覇,福岡,,,JTA,100,27500,29600,1,615,,4,,,,
A-18,,,成田,新千歳,,,JAL,105,33500,35600,2,60,,3,,,,
A-18,,,成田,新千歳,,,ANA,105,33500,35600,1,0,,3,,,,
A-18,,,成田,新千歳,,,IBX,105,33500,35600,1,40,,3,,,,
A-18,,,新千歳,成田,,,JAL,105,33500,35600,2,525,,3,,,,
A-18,,,新千歳,成田,,,ANA,105,33500,35600,1,575,,3,,,,
A-18,,,新千歳,成田,,,IBX,105,33500,35600,1,0,,3,,,,
A-19,,,成田,大阪,,,JAL,85,22500,24600,2,0,,2,,,,
A-19,,,成田,大阪,,,ANA,85,22500,24600,2,0,,2,,,,
A-19,,,大阪,成田,,,JAL,85,22500,24600,2,530,,2,,,,
A-19,,,大阪,成田,,,ANA,85,22500,24600,2,525,,2,,,,
A-20,,,成田,福岡,,,JAL,120,36700,38900,2,0,,2,,,,
A-20,,,成田,福岡,,,ANA,120,36700,38900,2,0,,2,,,,
A-20,,,福岡,成田,,,JAL,120,36700,38900,2,660,,2,,,,
A-20,,,福岡,成田,,,ANA,120,36700,38900,2,540,,2,,,,
A-21,,,成田,那覇,,,ANA,155,40800,42900,1,0,,1,,,,
A-21,,,成田,那覇,,,ANA,155,40800,42900,1,200,,1,,,,
B-1,,,東京,稚内,,,ANA,110,42900,45100,1,55,,1,,,,
B-1,,,稚内,東京,,,ANA,110,42900,45100,1,0,,1,,,,
B-2,,,東京,オホーツク紋別,,,ANA,105,42400,44600,1,45,,1,,,,
B-2,,,オホーツク紋別,東京,,,ANA,105,42400,44600,1,0,,1,,,,
B-3,,,東京,女満別,,,JAL,110,41000,43300,3,640,,1,,,,
B-3,,,東京,女満別,,,ADO,110,32800,37200,2,315,,1,,,,
B-3,,,女満別,東京,,,JAL,110,41000,43300,3,330,,1,,,,
B-3,,,女満別,東京,,,ADO,110,32800,37200,2,45,,1,,,,
B-4,,,東京,根室中標津,,,,,,,,0,,,,,,
B-4,,,根室中標津,東京,,,,,,,,0,,,,,,
