OD,i,j,空港i,空港j,rk,k,航空会社,所要時間,費用,費用（多客期）,航空便数,滞在可能時間,アクセシビリティ指標,エアライン参入社数,DISk,cpma,Seatk,LFk
G-15,,,熊本,大阪,,,JEX,70,23500,25700,3,615,,3,,,,
G-16,,,神戸,熊本,,,AMX,90,18500,21500,1,0,,1,,,,
G-16,,,熊本,神戸,,,AMX,90,18500,21500,1,30,,1,,,,
G-18,,,大阪,長崎,,,,,,,,0,,,,,,
G-18,,,大阪,長崎,,,,,,,,0,,,,,,
G-18,,,長崎,大阪,,,,,,,,0,,,,,,
G-18,,,長崎,大阪,,,,,,,,0,,,,,,
G-22,,,大阪,宮崎,,,,,,,,0,,,,,,
G-22,,,大阪,宮崎,,,,,,,,0,,,,,,
G-22,,,大阪,宮崎,,,,,,,,0,,,,,,
G-22,,,宮崎,大阪,,,,,,,,0,,,,,,
G-22,,,宮崎,大阪,,,,,,,,0,,,,,,
G-22,,,宮崎,大阪,,,,,,,,0,,,,,,
G-23,,,関西,鹿児島,,,ANA,70,26800,29000,1,35,,1,,,,
G-23,,,鹿児島,関西,,,ANA,70,26800,29000,1,0,,1,,,,
G-24,,,大阪,鹿児島,,,ANA,70,26800,29000,5,585,,3,,,,
G-24,,,大阪,鹿児島,,,JAC,70,26800,29000,2,0,,3,,,,
G-24,,,大阪,鹿児島,,,JEX,70,26800,29000,5,615,,3,,,,
G-24,,,鹿児島,大阪,,,ANA,70,26800,29000,5,630,,3,,,,
G-24,,,鹿児島,大阪,,,JAC,70,26800,29000,2,625,,3,,,,
G-24,,,鹿児島,大阪,,,JEX,70,26800,29000,5,390,,3,,,,
G-26,,,大阪,種子島,,,,,,,,0,,,,,,
G-26,,,種子島,大阪,,,,,,,,0,,,,,,
G-27,,,大阪,奄美大島,,,,,,,,0,,,,,,
G-27,,,奄美大島,大阪,,,,,,,,0,,,,,,
G-28,,,関西,宮古,,,,,,,,0,,,,,,
G-28,,,宮古,関西,,,,,,,,0,,,,,,
G-30,,,関西,石垣,,,,,,,,0,,,,,,
G-30,,,石垣,関西,,,,,,,,0,,,,,,
G-32,,,神戸,石垣,,,,,,,,0,,,,,,
G-32,,,石垣,神戸,,,,,,,,0,,,,,,
H-3,,,福岡,仙台,,,JAL,105,43500,45700,3,325,,2,,,,
H-3,,,福岡,仙台,,,ANA,105,43500,45700,2,335,,2,,,,
H-3,,,仙台,福岡,,,JAL,105,43500,45700,3,300,,2,,,,
H-3,,,仙台,福岡,,,ANA,105,43500,45700,2,50,,2,,,,
H-5,,,福岡,新潟,,,ANA,95,41100,43300,1,40,,1,,,,
H-5,,,新潟,福岡,,,ANA,95,41100,43300,1,0,,1,,,,
H-6,,,福岡,信州まつもと,,,,,,,,0,,,,,,
H-6,,,信州まつもと,福岡,,,,,,,,0,,,,,,
H-8,,,福岡,小松,,,,,,,,0,,,,,,
H-8,,,小松,福岡,,,,,,,,0,,,,,,
H-11,,,福岡,出雲,,,,,,,,0,,,,,,
H-11,,,出雲,福岡,,,,,,,,0,,,,,,
H-12,,,福岡,徳島,,,,,,,,0,,,,,,
H-12,,,徳島,福岡,,,,,,,,0,,,,,,
H-14,,,福岡,高知,,,,,,,,0,,,,,,
H-14,,,高知,福岡,,,,,,,,0,,,,,,
H-15,,,福岡,松山,,,,,,,,0,,,,,,
H-15,,,松山,福岡,,,,,,,,0,,,,,,
H-16,,,福岡,宮崎,,,,,,,,0,,,,,,
H-16,,,福岡,宮崎,,,,,,,,0,,,,,,
H-16,,,宮崎,福岡,,,,,,,,0,,,,,,
H-16,,,宮崎,福岡,,,,,,,,0,,,,,,
H-17,,,福岡,鹿児島,,,JAC,45,18600,20800,6,620,,1,,,,
H-17,,,鹿児島,福岡,,,JAC,45,18600,20800,6,690,,1,,,,
H-18,,,福岡,対馬,,,,,,,,0,,,,,,
H-18,,,対馬,福岡,,,,,,,,0,,,,,,
H-22,,,福岡,五島福江,,,,,,,,0,,,,,,
H-22,,,五島福江,福岡,,,,,,,,0,,,,,,
H-23,,,福岡,天草,,,,,,,,0,,,,,,
H-23,,,天草,福岡,,,,,,,,0,,,,,,
H-24,,,福岡,石垣,,,,,,,,0,,,,,,
H-24,,,石垣,福岡,,,,,,,,0,,,,,,
I-1,,,新千歳,稚内,,,,,,,,0,,,,,,
I-1,,,稚内,新千歳,,,,,,,,0,,,,,,
I-2,,,丘珠,稚内,,,,,,,,0,,,,,,
I-2,,,稚内,丘珠,,,,,,,,0,,,,,,
I-5,,,新千歳,女満別,,,,,,,,0,,,,,,
I-5,,,女満別,新千歳,,,,,,,,0,,,,,,
I-6,,,丘珠,女満別,,,,,,,,0,,,,,,
I-6,,,女満別,丘珠,,,,,,,,0,,,,,,
I-8,,,丘珠,根室中標津,,,,,,,,0,,,,,,
I-8,,,根室中標津,丘珠,,,,,,,,0,,,,,,
I-9,,,新千歳,釧路,,,,,,,,0,,,,,,
I-9,,,釧路,新千歳,,,,,,,,0,,,,,,
I-10,,,丘珠,釧路,,,,,,,,0,,,,,,
I-10,,,丘珠,釧路,,,,,,,,0,,,,,,
I-10,,,釧路,丘珠,,,,,,,,0,,,,,,
I-10,,,釧路,丘珠,,,,,,,,0,,,,,,
I-11,,,新千歳,旭川,,,,,,,,0,,,,,,
I-11,,,旭川,新千歳,,,,,,,,0,,,,,,
I-13,,,丘珠,函館,,,ANA,40,16800,17900,5,600,,2,,,,
I-13,,,丘珠,函館,,,HAC,40,16800,17900,3,520,,2,,,,
I-13,,,函館,丘珠,,,ANA,40,16800,17900,5,455,,2,,,,
I-13,,,函館,丘珠,,,HAC,40,16800,17900,3,390,,2,,,,
I-14,,,新千歳,利尻,,,,,,,,0,,,,,,
I-14,,,利尻,新千歳,,,,,,,,0,,,,,,
I-15,,,新千歳,青森,,,,,,,,0,,,,,,
I-15,,,青森,新千歳,,,,,,,,0,,,,,,
I-17,,,新千歳,いわて花巻,,,,,,,,0,,,,,,
I-17,,,いわて花巻,新千歳,,,,,,,,0,,,,,,
I-18,,,新千歳,秋田,,,,,,,,0,,,,,,
I-18,,,秋田,新千歳,,,,,,,,0,,,,,,
I-20,,,新千歳,山形,,,,,,,,0,,,,,,
I-20,,,山形,新千歳,,,,,,,,0,,,,,,
I-21,,,新千歳,仙台,,,JAL,65,28400,30600,4,655,,3,,,,
I-21,,,新千歳,仙台,,,ANA,65,28400,30600,3,340,,3,,,,
I-21,,,新千歳,仙台,,,ADO,65,27400,29600,4,560,,3,,,,
I-21,,,仙台,新千歳,,,JAL,65,28400,30600,4,440,,3,,,,
I-21,,,仙台,新千歳,,,ANA,65,28400,30600,3,545,,3,,,,
I-21,,,仙台,新千歳,,,ADO,65,27400,29600,4,355,,3,,,,
I-22,,,新千歳,福島,,,,,,,,0,,,,,,
I-22,,,福島,新千歳,,,,,,,,0,,,,,,
I-23,,,新千歳,新潟,,,,,,,,0,,,,,,
I-23,,,新潟,新千歳,,,,,,,,0,,,,,,
I-24,,,新千歳,信州まつもと,,,,,,,,0,,,,,,
I-24,,,信州まつもと,新千歳,,,,,,,,0,,,,,,
I-25,,,新千歳,富山,,,,,,,,0,,,,,,
I-25,,,富山,新千歳,,,,,,,,0,,,,,,
I-26,,,新千歳,小松,,,,,,,,0,,,,,,
I-26,,,小松,新千歳,,,,,,,,0,,,,,,
I-29,,,新千歳,広島,,,,,,,,0,,,,,,
I-29,,,広島,新千歳,,,,,,,,0,,,,,,
J-2,,,函館,釧路,,,,,,,,0,,,,,,
J-2,,,釧路,函館,,,,,,,,0,,,,,,
J-4,,,函館,旭川,,,,,,,,0,,,,,,
J-4,,,旭川,函館,,,,,,,,0,,,,,,
J-5,,,函館,奥尻,,,,,,,,0,,,,,,
J-5,,,奥尻,函館,,,,,,,,0,,,,,,
L-5,,,仙台,小松,,,,,,,,0,,,,,,
L-5,,,小松,仙台,,,,,,,,0,,,,,,
L-7,,,仙台,広島,,,ANA,95,39000,40900,1,85,,1,,,,
L-7,,,広島,仙台,,,ANA,95,39000,40900,1,0,,1,,,,
Q-2,,,鹿児島,岡山,,,JAC,75,29500,30600,2,550,,1,,,,
Q-2,,,岡山,鹿児島,,,JAC,75,29500,30600,2,340,,1,,,,
Q-3,,,鹿児島,広島西,,,JAC,60,23700,30600,3,595,,1,,,,
Q-3,,,広島西,鹿児島,,,JAC,60,23700,30600,3,420,,1,,,,
