"","X.1","rk","i","j","X207ゾーンi","X207ゾーンj","X47ゾーンi","X47ゾーンj","X207ゾーン名i","X207ゾーン名j","最寄りi","最寄りj","X","x_ij.k","ODij","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","鉄道ダミー","エアライン参入数","prob","y","utility","sumexputility","Probability"
"29",55,55,1,28,22,201,10,18,"南部","長野","八戸","長野","八戸駅長野駅",2,2,271,13600,1,538,4.994543,1,0,0.999,6.90675477864855,2.64542266263385,15086.2060592785,0.000933925920930142
"30",56,56,1,28,22,201,10,18,"南部","長野","三沢","羽田","三沢駅羽田駅",0,2,80,29500,3,350,22.523849,0,1,0.001,-6.90675477864855,-4.10268616153873,15086.2060592785,1.09558481369201e-06
"31",57,57,1,29,22,203,10,24,"南部","上田","八戸","上田","八戸駅上田駅",1,1,259,14680,1,562,4.994543,1,0,0.999,6.90675477864855,3.04977951139585,55.8142776760404,0.378230985366866
"32",59,59,1,30,22,211,10,24,"南部","岐阜","八戸","岐阜羽島","八戸駅岐阜羽島駅",5,5,391,25280,1,298,4.994543,1,0,0.999,6.90675477864855,0.689166106917627,55.8142776760404,0.0356907544735066
"33",61,61,1,31,22,221,10,18,"南部","中部","八戸","静岡","八戸駅静岡駅",3,3,279,22240,1,522,4.994543,1,0,0.999,6.90675477864855,3.24494572205731,15086.2060592785,0.0017009125510001
"34",62,62,1,31,22,221,10,18,"南部","中部","三沢","羽田","三沢駅羽田駅",0,3,80,29500,3,350,22.523849,0,1,0.001,-6.90675477864855,-4.10268616153873,15086.2060592785,1.09558481369201e-06
"35",63,63,1,32,22,222,10,24,"南部","西部","八戸","浜松","八戸駅浜松駅",2,2,305,23320,1,470,4.994543,1,0,0.999,6.90675477864855,2.68639289999666,55.8142776760404,0.26299064731113
"36",65,65,1,33,22,223,10,18,"南部","東部","八戸","三島","八戸駅三島駅",13,13,273,20960,1,534,4.994543,1,0,0.999,6.90675477864855,3.27813358967386,15086.2060592785,0.00175830938265418
"37",66,66,1,33,22,223,10,18,"南部","東部","三沢","羽田","三沢駅羽田駅",0,13,80,29500,3,350,22.523849,0,1,0.001,-6.90675477864855,-4.10268616153873,15086.2060592785,1.09558481369201e-06
"38",67,67,1,34,22,231,10,24,"南部","名古屋","八戸","名古屋","八戸駅名古屋駅",3,3,310,24620,1,460,4.994543,1,0,0.999,6.90675477864855,2.68040179964498,55.8142776760404,0.26141975433896
"39",71,71,1,36,22,233,10,24,"南部","豊田","八戸","三河安城","八戸駅三河安城駅",3,3,367,24620,1,346,4.994543,1,0,0.999,6.90675477864855,1.23603729341099,55.8142776760404,0.0616678585095373
"40",75,75,1,38,22,261,10,25,"南部","京都","八戸","京都","八戸駅京都駅",6,10,346,27000,1,388,4.994543,1,0,0.6,0.405465108108164,1.98915923633492,19.468445997731,0.375447825320737
"41",77,77,1,39,22,271,10,25,"南部","大阪","八戸","新大阪","八戸駅新大阪駅",7,11,361,27640,1,358,4.994543,1,0,0.636363636363636,0.559615787935423,1.66848856437212,19.468445997731,0.272448292109793
"42",79,79,1,40,22,281,10,25,"南部","神戸","八戸","新神戸","八戸駅新神戸駅",1,4,374,28300,1,332,4.994543,1,0,0.25,-1.09861228866811,1.40035438785374,19.468445997731,0.208369858365074
"43",81,81,1,41,22,283,10,25,"南部","播磨","八戸","姫路","八戸駅姫路駅",2,3,391,28940,1,298,4.994543,1,0,0.666666666666667,0.693147180559945,1.02900425953185,19.468445997731,0.143734024204396
"44",83,83,1,42,22,331,10,30,"南部","県南","八戸","岡山","八戸駅岡山駅",4,4,406,30680,1,268,4.994543,1,0,0.999,6.90675477864855,0.810470737261856,2.24896640982709,1
"45",85,85,1,43,22,341,10,31,"南部","広島","八戸","広島","八戸駅広島駅",1,2,447,33040,1,186,4.994543,1,0,0.5,0,-0.00932750603124077,0.990715860215425,1
"46",99,99,1,50,22,401,10,37,"南部","福岡","八戸","博多","八戸駅博多駅",1,6,511,37360,1,58,4.994543,1,0,0.166666666666667,-1.6094379124341,-1.22994966709213,0.6990988352084,0.418120121598202
"47",101,101,1,51,22,402,10,37,"南部","北九州","八戸","小倉","八戸駅小倉駅",0,1,494,36280,1,92,4.994543,1,0,0.001,-6.90675477864855,-0.899454398647357,0.6990988352084,0.581879878401798
