"","空港i","空港j","航空会社","旅客数","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","エアライン参入数","鉄道ダミー","一便あたり座席数","一便あたり貨物","OD","DIS","Seat","Freq","MC","LF","observedprob","i","j","出発空港/駅","到着空港/駅","航空・鉄道会社","運賃（実績）","運賃（ベース）","運賃（反実仮想）","航空便数（実績）","航空便数（ベース）","航空便数（反実仮想）","シェア（実績）","シェア（ベース）","シェア（反実仮想）","需要（実績）","需要（ベース）","需要（反実仮想）"
"36","仙台","新千歳","ANA",103819,65,28400,3,545,56.355039,3,0,172.169287696577,860.031452358927,342089,664,172.169287696577,1081,7304,55.8,0.303485350303576,12,8,"仙台","新千歳","ANA",14200,12585.0513990563,13055.8050424534,1081,1090.56016385516,950.428883286328,0.303485350303576,0.306267139146456,0.266913412660584,103819,104770.619363472,91308.1424236464
"37","仙台","新千歳","ADO",109844,65,27400,4,355,56.355039,3,0,126,179.134715025907,342089,664,126,1351,5976,64.5,0.321097726030361,12,8,"仙台","新千歳","ADO",13700,11413.6448521288,11421.4199556737,1351,1436.71589977779,1440.48088748066,0.321097726030361,0.341320244658381,0.342214691865431,109844,116761.901174941,117067.881725554
"38","仙台","札幌","JR",11000,497,17930,1,636,2.057914,0,1,0,0,342089,NA,NA,NA,NA,NA,0.032155374770893,12,8,"仙台","札幌","JR",17930,17930,16800,1,1,1,0.032155374770893,0.0585283052415794,0.0428890129569825,11000,20021.8894117866,14671.8595534412
"39","仙台","成田","ANA",13257,60,18100,2,450,78.831177,2,0,73.7912087912088,0,22371,435,73.7912087912088,364,4785,49.4,0.592597559340217,12,18,"仙台","成田","ANA",9050,12312.7266615959,14186.884919405,364,326.950756721655,285.406831778617,0.592597559340217,0.532756212396563,0.465061663154145,13257,11918.2892275235,10403.8944664214
"40","仙台","成田","IBX",9114,60,18100,2,0,78.831177,2,0,50,0,22371,435,50,357,4785,51.1,0.407402440659783,12,18,"仙台","成田","IBX",9050,11508.3596550671,12486.6446500476,357,409.108053717279,468.37986432793,0.407402440659783,0.467243787603437,0.534938336845855,9114,10452.7107724765,11967.1055335786
"41","仙台","大阪","ANA",288522,75,30800,6,595,28.404095,3,0,207.327046918123,1397.43422263109,499572,803,207.327046918123,2174,8833,64,0.577538372847157,12,25,"仙台","大阪","ANA",15400,15963.8844916809,16301.6792340812,2174,1927.28107554826,1868.94868071949,0.577538372847157,0.511897376441728,0.496403943619058,288522,255729.596143747,247989.51092166
"42","仙台","大阪","JEX",201894,75,30800,6,625,28.404095,3,0,152.043238270469,105.848206071757,499572,803,152.043238270469,2174,8833,61.1,0.404133938651486,12,25,"仙台","大阪","JEX",15400,15262.4453459713,15407.9688656566,2174,2381.84971084466,2448.18414435418,0.404133938651486,0.442919281786121,0.455254568733049,201894,221270.071440456,227432.435411107
"43","仙台","大阪","IBX",9156,75,30800,1,55,28.404095,3,0,50,0,499572,803,50,421,8833,43.5,0.0183276885013572,12,25,"仙台","大阪","IBX",15400,12584.5032007718,12597.5837657327,421,1037.80838693319,1110.34729504522,0.0183276885013572,0.0451833417721507,0.0483414876478936,9156,22572.3324157969,24150.0536672335
"44","仙台","福岡","JAL",82514,105,43500,3,300,17.895864,2,0,146.253699788584,380.818181818182,111836,1256,146.253699788584,946,13816,59.6,0.737812511177081,12,37,"仙台","福岡","JAL",21750,22402.56816616,22587.697861727,946,756.212306872938,755.248491708414,0.737812511177081,0.589406928293868,0.588655711564913,82514,65916.913232673,65832.9001585736
"45","仙台","福岡","ANA",29322,105,43500,2,50,17.895864,2,0,125.407024793388,294.039256198347,111836,1256,125.407024793388,484,13816,48.3,0.262187488822919,12,37,"仙台","福岡","ANA",21750,20178.8417076526,20353.7199763263,484,758.096072958209,759.483077492394,0.262187488822919,0.410593071706132,0.411344288435087,29322,45919.086767327,46003.0998414264
"46","東京","函館","JAL",239803,80,31400,3,640,24.936932,3,0,344.278748850046,2744.45906163753,608501,786,344.278748850046,1087,8646,64.1,0.394088095171577,18,3,"東京","函館","JAL",15700,14367.0611170299,14597.1332587803,1087,1098.54681432413,1095.8396445212,0.394088095171577,0.398405677077879,0.397423878392343,239803,242430.252907566,241832.827425619
"47","東京","函館","ANA",176356,80,31400,2,425,24.936932,3,0,343.456908344733,3031.31326949384,608501,786,343.456908344733,731,8646,70.2,0.28982039470765,18,3,"東京","函館","ANA",15700,14001.8423411086,14059.948625829,731,825.965158999479,867.956738444611,0.28982039470765,0.327272715767303,0.343911066785661,176356,199145.77481712,209270.228050141
"48","東京","函館","ADO",115342,80,24200,2,525,24.936932,3,0,226.947658402204,523.707988980716,608501,786,226.947658402204,726,7074,70,0.18955104428752,18,3,"東京","函館","ADO",12100,10892.9294503073,10908.316238214,726,237.618304701928,252.94870897385,0.18955104428752,0.0620357936830389,0.0660381528349717,115342,37748.8424919228,40184.2820382331
"49","東京","函館","JR",77000,401,18850,1,580,4.96767775,0,1,0,0,608501,NA,NA,NA,NA,NA,0.126540465833253,18,3,"東京","新函館北斗","JR",18850,18850,18280,1,1,1,0.126540465833253,0.212285813471779,0.192626901987024,77000,129176.129783391,117213.662486006
"50","東京","新千歳","JAL",1754613,90,33500,18,800,58.783124,4,0,444.655208964264,5680.17549969715,4835376,894,444.655208964264,6604,9834,59.8,0.362870022930999,18,8,"東京","新千歳","JAL",16750,15522.1494114981,15695.8708649729,6604,6537.26218075847,7246.59668354887,0.362870022930999,0.35949281984721,0.398500076030632,1754613,1738282.95326152,1926897.70363669
"51","東京","新千歳","ANA",1715570,90,33500,16,780,58.783124,4,0,462.30157946693,6773.39404409345,4835376,894,462.30157946693,6078,9834,61.1,0.354795573291508,18,8,"東京","新千歳","ANA",16750,15461.1949021784,15885.6566371185,6078,6129.10650976875,6297.54344202529,0.354795573291508,0.358041613296327,0.367881127566098,1715570,1731265.82393434,1778843.57508605
"52","東京","新千歳","SKY",397362,90,21700,9,775,58.783124,4,0,177,0,4835376,894,177,2903,4917,77.3,0.0821780974219999,18,8,"東京","新千歳","SKY",10850,8567.10251890054,8578.481164989,2903,663.841402705874,772.939171555171,0.0821780974219999,0.0187839465968356,0.0218709590301458,397362,90827.4445596204,105754.31039135
"53","東京","新千歳","ADO",602707,90,25900,10,785,58.783124,4,0,242.955937052933,1394.61201716738,4835376,894,242.955937052933,3495,8046,71,0.124645322307924,18,8,"東京","新千歳","ADO",12950,11771.4316216145,11795.332350708,3495,1079.50096225439,1252.15407066635,0.124645322307924,0.0385104548564953,0.0446697358296657,602707,186212.529162181,215994.968557106
"54","成田","新千歳","JAL",63195,105,33500,2,60,104.604254,3,0,179.498432601881,272.62539184953,4835376,892,179.498432601881,638,9812,55.2,0.0130693042278408,18,8,"成田","新千歳","JAL",16750,15389.3420175186,15762.4005412369,638,657.809095945206,686.486066624784,0.0130693042278408,0.0134793627886912,0.014066991165759,63195,65177.7873237305,68019.1914751229
"55","成田","新千歳","ANA",34133,105,33500,1,0,104.604254,3,0,165.510989010989,333.851648351648,4835376,892,165.510989010989,364,9812,56.7,0.00705901671348826,18,8,"成田","新千歳","ANA",16750,15761.2714007943,16135.9212102597,364,335.172265583174,349.615537522731,0.00705901671348826,0.0065050062342548,0.00678532051934753,34133,31454.1510249661,32809.5759915606
"56","成田","新千歳","IBX",11796,105,33500,1,40,104.604254,3,0,50,0,4835376,892,50,361,9812,65.4,0.00243952073220366,18,8,"成田","新千歳","IBX",16750,13410.3787839153,13413.2931159754,361,677.263650195167,790.590389829849,0.00243952073220366,0.00458010325595816,0.00534649337454545,11796,22146.521361382,25852.3057474361
"57","東京","札幌","JR",256000,598,22780,1,452,7.452543,0,1,0,0,4835376,NA,NA,NA,NA,NA,0.0529431423740367,18,8,"東京","札幌","JR",22780,22780,21000,1,1,1,0.0529431423740367,0.200606693124228,0.140879296483807,256000,970008.789372256,681204.369114682
"58","成田","仙台","ANA",13572,60,18100,2,0,78.831177,2,0,73.9972527472527,0,21123,435,73.9972527472527,364,4785,50.4,0.642522368981679,18,12,"成田","仙台","ANA",9050,12657.5231119779,14443.5696414827,364,309.619147530522,271.956666447217,0.642522368981679,0.546661318130157,0.480164715070355,13572,11547.1270228633,10142.5192764311
"59","成田","仙台","IBX",7551,60,18100,2,270,78.831177,2,0,50,0,21123,435,50,359,4785,42.1,0.357477631018321,18,12,"成田","仙台","IBX",9050,11338.8399461715,12244.2800405003,359,454.910830267776,521.638039124413,0.357477631018321,0.453338681869843,0.519835284929645,7551,9575.87297713669,10980.4807235689
"60","東京","大阪","JAL",1262583,65,22500,15,770,30.83218,2,0,375.392092257002,4405.60150100677,25077066,514,375.392092257002,5463,5654,61.6,0.0503481148871244,18,25,"東京","大阪","JAL",11250,9625.43381660127,9603.47964448343,5463,3681.83131171649,3713.02547348845,0.0503481148871244,0.0339510332435476,0.0342386819524807,1262583,851392.301416638,858605.687075367
"61","東京","大阪","ANA",1324401,65,22500,14,735,30.83218,2,0,423.075745682889,3186.07476452119,25077066,514,423.075745682889,5096,5654,61.4,0.0528132358067726,18,25,"東京","大阪","ANA",11250,9431.96043990033,9541.03379201719,5096,3645.65336365107,3533.56887347885,0.0528132358067726,0.0377646226401205,0.0366035609447417,1324401,947025.934411397,917909.91364631
"62","東京","関西","JAL",249460,75,22500,6,870,54.078609,3,0,164.115300306883,83.0289346777729,25077066,678,164.115300306883,2281,7458,66.6,0.00994773471505797,18,25,"東京","関西","JAL",11250,11804.6461994268,11654.456700449,2281,795.780259678261,834.287956967925,0.00994773471505797,0.00346848435350163,0.00363632383420524,249460,86979.4110527278,91188.3327877378
"63","東京","関西","ANA",242305,75,22500,4,760,54.078609,3,0,227.097093382808,2047.57390228819,25077066,678,227.097093382808,1617,7458,66,0.00966241425531998,18,25,"東京","関西","ANA",11250,11373.1620343482,11893.0983905051,1617,642.271379735682,549.720139628596,0.00966241425531998,0.0038388165469844,0.00328564347532547,242305,96266.2559106199,82394.2982832061
"64","東京","関西","SFJ",150657,75,20700,4,490,54.078609,3,0,144,0,25077066,678,144,1455,6102,71.9,0.00600776023797999,18,25,"東京","関西","SFJ",10350,9692.50662980431,9692.06699612905,1455,557.611019092209,558.684892775417,0.00600776023797999,0.00230221567677538,0.00230664939265206,150657,57732.8144727309,57843.9990583956
"65","成田","大阪","JAL",105150,85,22500,2,0,76.65331,2,0,205.290809327846,661.068587105624,25077066,589,205.290809327846,729,6479,70.3,0.00419307426155835,18,25,"成田","大阪","JAL",11250,10442.2665625784,10642.5205881251,729,383.677920022122,361.757634171449,0.00419307426155835,0.00220808056883384,0.00208192851596783,105150,55372.1821579638,52208.6588022072
"66","成田","大阪","ANA",87751,85,22500,2,0,76.65331,2,0,212.053375196232,1937.72527472527,25077066,589,212.053375196232,637,6479,65,0.00349925306253929,18,25,"成田","大阪","ANA",11250,10592.8842552176,11017.1068486636,637,320.312826025947,282.215362673905,0.00349925306253929,0.00176058157363144,0.0015511809922939,87751,44150.2203203396,38899.0681216997
"67","東京","神戸","JAL",120191,70,22500,2,480,44.948443,3,0,229.603851444292,94.0453920220083,25077066,695,229.603851444292,727,7645,72,0.00479286532164488,18,25,"東京","神戸","JAL",11250,11890.0821470826,11731.7678403974,727,247.015778936198,259.606556529105,0.00479286532164488,0.00162839454312993,0.00171139634007728,120191,40835.3574321092,42916.7989722764
"68","東京","神戸","ANA",114621,70,22500,2,790,44.948443,3,0,249.665441176471,1327.75245098039,25077066,695,249.665441176471,816,7645,56.3,0.00457075002314864,18,25,"東京","神戸","ANA",11250,11574.0541144274,11579.5008221001,816,304.847277518511,304.890602912653,0.00457075002314864,0.00170872598527428,0.00170896883220864,114621,42849.8343086382,42855.924197239
"69","東京","神戸","SKY",258947,70,11400,6,690,44.948443,3,0,177,0,25077066,695,177,1895,3822.5,77.2,0.0103260485098217,18,25,"東京","神戸","SKY",5700,7406.40157659457,7406.41468266757,1895,86.8866132782353,87.0420136074417,0.0103260485098217,0.000473441924377883,0.00047428869499228,258947,11872.5343847912,11893.7689073753
"70","東京","新大阪","JR",21161000,150,14450,1,780,12.048303,0,1,0,0,25077066,NA,NA,NA,NA,NA,0.843838748919032,18,25,"東京","新大阪","JR",14450,14450,14450,1,1,1,0.843838748919032,0.910895602943823,0.912401377025055,21161000,22842589.154132,22880349.5501482
"71","東京","福岡","JAL",1526552,100,36700,19,785,20.323949,3,0,386.851157987904,4767.96592417761,5587903,1041,386.851157987904,6779,11451,58.2,0.273188707821163,18,37,"東京","福岡","JAL",18350,16551.0288969125,16612.82230849,6779,6335.84949083907,6148.27417076018,0.273188707821163,0.255283578580064,0.247725807671478,1526552,1426499.87459827,1384267.78386488
"72","東京","福岡","ANA",1605033,100,36700,18,805,20.323949,3,0,416.227159338946,5235.22061116308,5587903,1041,416.227159338946,6414,11451,60.1,0.287233511390588,18,37,"東京","福岡","ANA",18350,16529.1446011466,16373.051625538,6414,6035.62535188123,6256.27189474765,0.287233511390588,0.27019561868265,0.280073257814343,1605033,1509826.90822364,1565022.19756054
"73","東京","福岡","SKY",589790,100,21700,10,760,20.323949,3,0,198.6640044065,0,5587903,1041,198.6640044065,3631,5725.5,81.8,0.10554764461731,18,37,"東京","福岡","SKY",10850,9340.74442867273,9340.39166842384,3631,320.824416661536,317.238571488034,0.10554764461731,0.00933020193803375,0.00922591854235132,589790,52136.2634001446,51553.5379005606
"74","成田","福岡","JAL",68401,120,36700,2,0,66.145079,2,0,147.222363405337,94.7090216010165,5587903,1107,147.222363405337,787,12177,59,0.012240906830344,18,37,"成田","福岡","JAL",18350,17284.0288085141,17633.2615480934,787,589.449458300982,524.331600335989,0.012240906830344,0.00916270092588383,0.00815047596059639,68401,51200.283991849,45544.0690716445
"75","成田","福岡","ANA",49204,120,36700,2,0,66.145079,2,0,122.860082304527,6.86556927297668,5587903,1107,122.860082304527,729,12177,54.9,0.00880544991564814,18,37,"成田","福岡","ANA",18350,17572.1770171163,17831.9465135323,729,500.434701779649,457.370743855012,0.00880544991564814,0.00604062262858363,0.00552080831956219,49204,33754.4133081303,30849.7413713065
"76","東京","北九州","JAL",128677,100,36700,4,615,80.733392,2,0,164.131958762887,119.356701030928,5587903,958,164.131958762887,1455,10538,53.9,0.0230277798308238,18,37,"東京","北九州","JAL",18350,15852.8561164365,15238.1531030386,1455,1678.9870125626,1999.55321949413,0.0230277798308238,0.0265815557664366,0.0316567281427731,128677,148535.155211938,176894.726159186
"77","東京","北九州","SFJ",382047,100,29600,11,705,80.733392,2,0,144,708.053732133404,5587903,958,144,3778,8622,70.2,0.068370370781311,18,37,"東京","北九州","SFJ",14800,136393.145613003,171391.088336385,3778,1,1,0.068370370781311,1.37436798987132e-17,7.76440394158484e-22,382047,7.6798350137059e-11,4.33867360783937e-15
"78","東京","佐賀","ANA",127199,110,36700,4,570,69.447815,1,0,134.094579646018,4341.52157079646,5587903,1130,134.094579646018,1808,12430,52.5,0.0227632798922959,18,37,"東京","佐賀","ANA",18350,17671.0253224598,17979.989658705,1808,1202.81692281959,1083.06113921256,0.0227632798922959,0.015153787667703,0.0136450346045134,127199,84677.8955697205,76247.129801664
