"第4表  国内定期航空路線別, 区間別, 月別運航及び運送実績",,,,,,,,,,,,,,,,,,,,,
（平成２１年）,,,,,,,,,,,,,,,,,,,,,
空港i,空港j,航空会社,運航回数,運航キロメートル,運航時間,旅客数,座席数,,人キロメートル,座席キロメートル,座席利用率,貨物,超過手荷物,郵便物,旅客,貨物,超過手荷物,郵便物,計,"利用可能
トンキロメートル",重量利用率(%)
山形,東京,JAL,363,"160,083",371:32:00,"27,725","57,817",159,"12,226,725","25,497,297",48,"167,738",209,0,"917,004","73,973",92,0,"991,069","2,597,844",38.1
東京,庄内,ANA,"1,444","706,116","1,470:16","163,507","323,048",224,"79,954,923","157,970,472",50.6,"281,745","3,596",62,"5,996,620","137,774","1,758",30,"6,136,182","26,833,212",22.9
庄内,東京,ANA,"1,444","706,116","1,526:35","163,417","322,945",224,"79,910,913","157,920,105",50.6,"598,526","3,257",0,"5,993,318","292,679","1,595",0,"6,287,592","26,819,916",23.4
東京,大島,ANA,327,"52,974",208:00:00,"8,541","36,821",113,"1,383,642","5,965,002",23.2,"151,451","1,131","32,489","103,774","24,535",184,"5,264","133,757","645,877",20.7
大島,東京,ANA,321,"52,002",176:20:00,"11,083","36,208",113,"1,795,446","5,865,696",30.6,"185,637",761,"1,544","134,660","30,073",121,250,"165,104","634,035",26
東京,三宅島,ANA,135,"30,645",104:56:00,"1,370","7,560",56,"310,990","1,716,120",18.1,160,70,0,"23,325",35,15,0,"23,375","156,474",14.9
三宅島,東京,ANA,135,"30,645",93:53:00,"5,264","7,560",56,"1,194,928","1,716,120",69.6,31,386,0,"89,619",7,87,0,"89,713","156,474",57.3
東京,八丈島,ANA,"1,019","359,707",888:01:00,"83,469","150,780",148,"29,464,557","53,225,340",55.4,"553,769","7,900","42,525","2,209,841","195,482","2,788","15,012","2,423,123","6,606,667",36.7
八丈島,東京,ANA,"1,015","358,295",886:15:00,"86,997","151,105",149,"30,709,941","53,340,065",57.6,"1,055,858","6,835","16,825","2,303,245","372,718","2,413","5,940","2,684,316","6,607,445",40.6
東京,富山,ANA,"2,165","1,234,050","2,111:51","371,271","605,098",279,"211,624,470","344,905,860",61.4,"969,988","5,444","221,147","15,871,838","552,893","3,103","126,055","16,553,889","64,234,612",25.8
富山,東京,ANA,"2,159","1,230,630","2,410:45","368,798","603,539",280,"210,214,860","344,017,230",61.1,"831,634","5,371","86,828","15,766,115","474,031","3,061","49,493","16,292,700","64,079,970",25.4
東京,金沢,JAL,"2,183","1,152,624","2,255:07","386,652","729,471",334,"204,152,256","385,160,688",53,"843,071","2,900","477,429","15,311,420","445,142","1,531","252,082","16,010,175","47,581,301",33.6
金沢,東京,JAL,"2,184","1,153,152","2,348:37","398,653","729,590",334,"210,488,784","385,223,520",54.6,"890,129","2,989","190,660","15,786,659","469,989","1,580","100,670","16,358,898","47,596,613",34.4
東京,金沢,ANA,"1,821","961,488","1,885:21","368,950","677,406",372,"194,805,600","357,670,368",54.5,"412,036","3,019","2,244","14,610,420","217,554","1,593","1,185","14,830,752","67,697,610",21.9
金沢,東京,ANA,"1,821","961,488","2,076:12","363,498","687,071",377,"191,926,944","362,773,488",52.9,"612,170","3,044",299,"14,394,521","323,224","1,608",158,"14,719,511","69,005,340",21.3
東京,能登,ANA,728,"385,840",706:56:00,"76,045","120,477",165,"40,303,850","63,852,810",63.1,"1,367",943,0,"3,022,791",723,501,0,"3,024,015","8,405,758",36
能登,東京,ANA,728,"385,840",797:11:00,"71,567","120,478",165,"37,930,510","63,853,340",59.4,"1,501","1,028",0,"2,844,790",795,545,0,"2,846,130","8,405,758",33.9
東京,南紀白浜,JAL,932,"590,888","1,157:32","66,373","146,976",158,"42,080,482","93,182,784",45.2,"4,308",498,0,"3,156,036","2,732",315,0,"3,159,083","9,546,011",33.1
南紀白浜,東京,JAL,928,"588,352","1,013:01","67,727","146,024",157,"42,938,918","92,579,216",46.4,"38,551",507,0,"3,220,419","24,442",320,0,"3,245,181","9,491,867",34.2
東京,神戸,JAL,727,"505,265",905:20:00,"120,191","166,922",230,"83,532,745","116,010,790",72,"68,371",900,572,"6,264,957","47,517",625,398,"6,313,497","14,003,694",45.1
神戸,東京,JAL,726,"504,570",844:01:00,"111,429","166,757",230,"77,443,155","115,896,115",66.8,"738,085",834,0,"5,808,237","512,968",579,0,"6,321,784","14,047,340",45
東京,神戸,ANA,816,"567,120",978:32:00,"114,621","203,727",250,"79,661,595","141,590,265",56.3,"1,083,446","1,025",0,"5,974,621","752,994",714,0,"6,728,329","24,823,513",27.1
神戸,東京,ANA,818,"568,510","1,010:55","122,651","204,997",251,"85,242,445","142,472,915",59.8,"423,571","1,315","169,039","6,393,185","294,380",915,"117,480","6,805,960","25,024,001",27.2
東京,神戸,SKY,"1,895","1,317,025","2,394:47","258,947","335,415",177,"179,968,165","233,113,425",77.2,0,"1,835",0,"13,497,612",0,"1,275",0,"13,498,887","24,538,310",55
神戸,東京,SKY,"1,897","1,318,415","2,292:47","276,054","335,769",177,"191,857,530","233,359,455",82.2,0,"2,650",0,"14,389,315",0,"1,842",0,"14,391,157","24,564,206",58.6
東京,鳥取,ANA,"1,439","959,813","1,890:00","141,391","242,814",169,"94,307,797","161,956,938",58.2,"328,107","2,505",0,"7,073,084","218,849","1,670",0,"7,293,603","21,015,511",34.7
鳥取,東京,ANA,"1,436","957,812","1,760:09","139,953","242,287",169,"93,348,651","161,605,429",57.8,"566,062","2,194","12,861","7,001,147","377,564","1,461","8,578","7,388,750","20,974,974",35.2
東京,米子,ANA,"1,817","1,409,992","2,494:51","181,181","302,124",166,"140,596,456","234,448,224",60,"423,840","3,727","343,855","10,544,733","328,899","2,893","266,832","11,143,357","29,649,177",37.6
米子,東京,ANA,"1,813","1,406,888","2,406:27","177,434","301,458",166,"137,688,784","233,931,408",58.9,"1,300,715","3,194","76,116","10,326,658","1,009,355","2,478","59,067","11,397,558","29,584,087",38.5
東京,出雲,JAL,"1,820","1,457,820","2,578:20","248,807","438,584",241,"199,294,407","351,305,784",56.7,"287,095","1,868",71,"14,947,080","229,964","1,498",57,"15,178,599","48,869,571",31.1
出雲,東京,JAL,"1,818","1,456,218","2,431:42","244,565","438,269",241,"195,896,565","351,053,469",55.8,"1,695,368","1,833","5,824","14,692,242","1,357,991","1,470","4,666","16,056,369","48,843,458",32.9
東京,石見,ANA,364,"330,148",585:09:00,"23,659","46,612",128,"21,458,713","42,277,084",50.8,"3,702",889,0,"1,609,404","3,357",806,0,"1,613,567","4,783,244",33.7
石見,東京,ANA,360,"326,520",543:43:00,"19,610","46,109",128,"17,786,270","41,820,863",42.5,"3,715",836,0,"1,333,969","3,370",757,0,"1,338,096","4,732,879",28.3
東京,岡山,JAL,"1,457","998,045","1,910:32","132,689","229,713",158,"90,891,965","157,353,405",57.8,"114,281",995,"210,187","6,816,899","78,283",681,"143,979","7,039,842","17,199,326",40.9
岡山,東京,JAL,"1,456","997,360","1,765:10","134,629","229,598",158,"92,220,865","157,274,630",58.6,"152,676","1,011","11,745","6,916,567","104,584",693,"8,046","7,029,890","17,176,310",40.9
東京,岡山,ANA,"1,824","1,249,440","2,356:43","309,097","453,824",249,"211,731,445","310,869,440",68.1,"1,410,494","4,715","357,644","15,879,860","966,189","3,231","244,984","17,094,264","55,506,935",30.8
岡山,東京,ANA,"1,823","1,248,755","2,328:54","301,585","453,648",249,"206,585,725","310,748,880",66.5,"2,571,432","4,151","101,323","15,493,929","1,761,430","2,843","69,405","17,327,607","55,527,309",31.2
東京,広島,JAL,"2,578","2,036,620","3,672:20","365,048","662,084",257,"288,387,920","523,046,360",55.1,"1,905,514","2,737","453,218","21,629,096","1,505,355","2,163","358,043","23,494,657","71,413,551",32.9
広島,東京,JAL,"2,573","2,032,670","3,379:00","354,725","660,907",257,"280,232,750","522,116,530",53.7,"3,157,970","2,662",0,"21,017,459","2,494,795","2,105",0,"23,514,359","69,559,974",33.8
東京,広島,ANA,"2,976","2,351,040","4,251:37","653,611","1,096,669",369,"516,352,690","866,368,510",59.6,"6,937,332","8,313","1,061,058","38,726,454","5,480,493","6,565","838,235","45,051,747","173,783,761",25.9
広島,東京,ANA,"2,972","2,347,880","4,045:59","659,160","1,095,304",369,"520,736,400","865,290,160",60.2,"7,620,620","7,407","538,219","39,055,231","6,020,289","5,854","425,192","45,506,566","173,568,293",26.2
東京,山口宇部,JAL,"1,094","1,022,890","1,831:34","90,366","177,220",162,"84,492,210","165,700,700",51,"238,545",679,0,"6,336,916","223,040",634,0,"6,560,590","18,322,355",35.8
山口宇部,東京,JAL,"1,094","1,022,890","1,612:41","91,446","177,385",162,"85,502,010","165,854,975",51.6,"344,904",687,0,"6,412,652","322,486",642,0,"6,735,780","18,328,059",36.8
東京,山口宇部,ANA,"1,825","1,706,375","3,068:01","277,557","450,551",247,"259,515,795","421,265,185",61.6,"607,702","5,618",0,"19,463,685","568,201","5,254",0,"20,037,140","74,167,172",27
山口宇部,東京,ANA,"1,825","1,706,375","2,728:10","273,270","450,570",247,"255,507,450","421,282,950",60.6,"2,286,241","5,194","40,588","19,163,060","2,137,635","4,856","37,950","21,343,501","74,167,172",28.8
東京,徳島,JAL,"2,184","1,535,352","2,762:05","326,166","581,347",266,"229,294,698","408,686,941",56.1,"855,707","2,445","206,960","17,197,100","601,563","1,720","145,492","17,945,875","59,570,534",30.1
徳島,東京,JAL,"2,183","1,534,649","2,559:02","325,246","580,871",266,"228,647,938","408,352,313",56,"2,080,373","2,439","52,424","17,148,595","1,462,502","1,715","36,854","18,649,666","59,531,025",31.3
東京,高松,JAL,"1,820","1,294,020","2,379:44","262,187","510,198",280,"186,414,957","362,750,778",51.4,"1,638,349","1,966","144,215","13,981,120","1,164,867","1,398","102,536","15,249,921","52,690,504",28.9
高松,東京,JAL,"1,818","1,292,598","2,227:23","256,974","509,357",280,"182,708,514","362,152,827",50.5,"1,573,655","1,928","58,622","13,703,139","1,118,869","1,369","41,681","14,865,058","52,615,779",28.3
東京,高松,ANA,"1,824","1,296,864","2,368:21","310,496","488,753",268,"220,762,656","347,503,383",63.5,"2,998,570","5,165","294,661","16,557,200","2,131,983","3,673","209,504","18,902,360","63,204,022",29.9
高松,東京,ANA,"1,822","1,295,442","2,309:42","313,749","488,087",268,"223,075,539","347,029,857",64.3,"2,927,733","4,767",7,"16,730,667","2,081,619","3,389",5,"18,815,680","63,134,238",29.8
東京,松山,JAL,"1,823","1,565,957","2,755:09","229,803","420,833",231,"197,400,777","361,495,547",54.6,"204,103","1,725",848,"14,805,056","175,325","1,482",729,"14,982,592","46,505,401",32.2
松山,東京,JAL,"1,823","1,565,957","2,419:13","229,065","420,572",231,"196,766,835","361,271,348",54.5,"1,705,832","1,717",0,"14,757,515","1,465,309","1,475",0,"16,224,299","46,665,948",34.8
東京,松山,ANA,"2,188","1,879,492","3,262:38","444,040","754,677",345,"381,430,360","648,267,543",58.8,"1,802,081","8,342","372,623","28,607,278","1,547,988","7,165","320,085","30,482,516","132,634,297",23
松山,東京,ANA,"2,187","1,878,633","3,086:16","452,220","754,273",345,"388,456,980","647,920,507",60,"4,071,811","7,926","97,318","29,134,274","3,497,685","6,808","83,596","32,722,363","132,559,308",24.7
東京,高知,JAL,"1,457","1,200,568","2,076:44","144,218","233,739",160,"118,835,632","192,600,936",61.7,"84,045","1,082",0,"8,912,673","69,253",891,0,"8,982,817","20,915,097",42.9
高知,東京,JAL,"1,457","1,200,568","1,769:20","144,295","233,728",160,"118,899,080","192,591,872",61.7,"352,820","1,081","71,089","8,917,430","290,724",892,"58,576","9,267,622","21,138,072",43.8
東京,高知,ANA,"1,459","1,202,216","2,058:24","232,060","390,867",268,"191,217,440","322,074,408",59.4,"801,544","5,736","196,000","14,341,308","660,473","4,726","161,503","15,168,010","58,798,843",25.8
高知,東京,ANA,"1,459","1,202,216","1,884:05","229,026","390,869",268,"188,717,424","322,076,056",58.6,"2,747,595","5,089",68,"14,153,804","2,264,018","4,194",56,"16,422,072","58,798,843",27.9
東京,北九州,JAL,"1,455","1,393,890","2,462:37","128,677","238,812",164,"123,272,566","228,781,896",53.9,"173,664",965,211,"9,245,443","166,370",926,202,"9,412,941","25,306,720",37.2
北九州,東京,JAL,"1,454","1,392,932","2,145:02","123,165","238,662",164,"117,992,070","228,638,196",51.6,"556,935",925,0,"8,849,404","533,543",886,0,"9,383,833","25,291,584",37.1
東京,北九州,SFJ,"3,778","3,619,324","6,292:22","382,047","544,032",144,"366,001,026","521,182,656",70.2,"2,675,027","7,673",0,"27,450,078","2,562,677","7,351",0,"30,020,106","55,980,083",53.6
北九州,東京,SFJ,"3,777","3,618,366","5,583:42","372,587","543,888",144,"356,938,346","521,044,704",68.5,"2,581,300","7,107",0,"26,770,378","2,472,885","6,809",0,"29,250,072","55,965,267",52.3
東京,佐賀,ANA,"1,808","2,043,040","3,483:47","127,199","242,443",134,"143,734,870","273,960,590",52.5,"7,849,471","3,456","614,117","10,780,117","8,869,903","3,906","693,951","20,347,877","63,088,564",32.3
佐賀,東京,ANA,"1,468","1,658,840","2,334:11","128,686","242,116",165,"145,415,180","273,591,080",53.2,"867,664","3,436",0,"10,906,140","980,460","3,886",0,"11,890,486","36,520,804",32.6
東京,長崎,JAL,"1,460","1,668,780","2,850:41","231,017","415,309",284,"264,052,431","474,698,187",55.6,"1,056,866","1,734","406,503","19,803,933","1,207,997","1,981","464,633","21,478,544","70,959,612",30.3
長崎,東京,JAL,"1,461","1,669,923","2,344:21","244,794","415,472",284,"279,799,542","474,884,496",58.9,"4,798,345","1,836","90,533","20,984,965","5,484,508","2,099","103,477","26,575,049","70,978,357",37.4
東京,長崎,ANA,"1,468","1,677,924","2,833:44","324,231","519,909",354,"370,596,033","594,255,987",62.4,"1,408,289","6,159","856,200","27,794,704","1,609,672","7,039","978,637","30,390,052","122,270,300",24.9
長崎,東京,ANA,"1,466","1,675,638","2,365:19","301,697","519,305",354,"344,839,671","593,565,615",58.1,"5,594,133","4,830","472,954","25,862,976","6,394,095","5,519","540,588","32,803,178","122,086,339",26.9
東京,長崎,SNA,"1,423","1,626,489","2,834:22","141,433","213,381",150,"161,657,919","243,894,483",66.3,0,528,0,"12,124,345",0,603,0,"12,124,948","27,232,036",44.5
長崎,東京,SNA,"1,420","1,623,060","2,340:13","139,941","212,931",150,"159,952,563","243,380,133",65.7,0,894,0,"11,996,442",0,"1,022",0,"11,997,464","27,174,580",44.1
東京,熊本,JAL,"2,553","2,772,558","4,611:14","405,349","675,470",265,"440,209,014","733,560,420",60,"6,695,977","3,039","602,170","33,015,676","7,271,831","3,300","653,956","40,944,763","103,743,950",39.5
熊本,東京,JAL,"2,550","2,769,300","3,985:01","413,072","674,382",264,"448,596,192","732,378,852",61.3,"7,607,068","3,097","107,195","33,644,715","8,261,275","3,364","116,416","42,025,770","103,646,645",40.5
東京,熊本,ANA,"1,824","1,980,864","3,268:10","313,489","525,536",288,"340,449,054","570,732,096",59.7,"1,968,333","6,488","480,157","25,533,681","2,137,611","7,048","521,452","28,199,792","110,001,335",25.6
熊本,東京,ANA,"1,822","1,978,692","2,880:24","309,843","525,235",288,"336,489,498","570,405,210",59,"6,546,269","5,366","373,141","25,236,712","7,109,249","5,827","405,233","32,757,021","109,978,768",29.8
東京,熊本,SNA,"1,418","1,539,948","2,567:43","137,482","212,482",150,"149,305,452","230,755,452",64.7,0,732,0,"11,197,907",0,795,0,"11,198,702","25,772,404",43.5
熊本,東京,SNA,"1,414","1,535,604","2,283:38","138,692","211,882",150,"150,619,512","230,103,852",65.5,0,629,0,"11,296,462",0,683,0,"11,297,145","25,699,658",44
東京,大分,JAL,"2,186","2,028,608","3,600:49","331,834","608,501",278,"307,941,952","564,688,928",54.5,"2,769,405","2,490","511,871","23,095,646","2,570,008","2,311","475,016","26,142,981","80,842,904",32.3
大分,東京,JAL,"2,184","2,026,752","3,129:21","324,053","608,294",279,"300,721,184","564,496,832",53.3,"4,898,821","2,429","120,239","22,554,089","4,546,105","2,255","111,582","27,214,031","80,799,660",33.7
東京,大分,ANA,"1,823","1,691,744","2,962:19","211,759","378,375",208,"196,512,352","351,132,000",56,"541,422","4,414","246,678","14,738,426","502,440","4,094","228,917","15,473,877","55,078,682",28.1
大分,東京,ANA,"1,823","1,691,744","2,629:00","205,720","378,325",208,"190,908,160","351,085,600",54.4,"1,899,640","4,104",0,"14,318,112","1,762,865","3,809",0,"16,084,786","55,045,656",29.2
東京,宮崎,JAL,"1,574","1,610,202","2,735:34","153,605","256,754",163,"157,137,915","262,659,342",59.8,"364,264","1,152",2,"11,785,344","372,644","1,178",2,"12,159,168","28,979,339",42
宮崎,東京,JAL,"1,576","1,612,248","2,361:52","152,027","257,258",163,"155,523,621","263,174,934",59.1,"590,885","1,141",0,"11,664,272","604,475","1,169",0,"12,269,916","29,019,852",42.3
東京,宮崎,ANA,"1,835","1,877,205","3,180:09","272,088","430,867",235,"278,346,024","440,776,941",63.1,"1,517,147","8,279","928,587","20,875,954","1,552,040","8,469","949,946","23,386,409","75,096,711",31.1
宮崎,東京,ANA,"1,830","1,872,090","2,844:44","258,717","430,527",235,"264,667,491","440,429,121",60.1,"5,079,275","7,077","245,653","19,850,063","5,196,098","7,241","251,303","25,304,705","75,125,163",33.7
東京,宮崎,SNA,"2,437","2,493,051","4,297:42","233,057","365,139",150,"238,417,311","373,537,197",63.8,"55,409","1,301",0,"17,881,297","56,682","1,329",0,"17,939,308","41,720,990",43
宮崎,東京,SNA,"2,437","2,493,051","3,820:53","246,357","365,141",150,"252,023,211","373,539,243",67.5,"568,252",765,0,"18,901,743","581,323",783,0,"19,483,849","41,721,126",46.7
東京,鹿児島,JAL,"2,565","2,849,715","4,771:19","487,587","766,329",299,"541,709,157","851,391,519",63.6,"2,117,543","3,658","335,445","40,628,186","2,352,589","4,066","372,680","43,357,521","120,445,621",36
鹿児島,東京,JAL,"2,563","2,847,493","4,155:35","476,131","764,200",298,"528,981,541","849,026,200",62.3,"11,380,503","3,571","405,013","39,673,616","12,643,738","3,968","449,970","52,771,292","120,284,860",43.9
東京,鹿児島,ANA,"2,200","2,444,200","4,073:39","471,455","841,755",383,"523,786,505","935,189,805",56,"2,838,185","11,773","1,050,388","39,283,988","3,153,225","13,079","1,166,981","43,617,273","196,618,728",22.2
鹿児島,東京,ANA,"2,200","2,444,200","3,635:33","487,203","840,592",382,"541,282,533","933,897,712",58,"11,675,724","10,076","31,375","40,596,190","12,971,730","11,195","34,858","53,613,973","196,296,175",27.3
東京,鹿児島,SNA,"1,138","1,264,318","2,168:42","119,592","170,650",150,"132,866,712","189,592,150",70.1,0,368,0,"9,965,004",0,409,0,"9,965,413","21,168,622",47.1
鹿児島,東京,SNA,"1,134","1,259,874","1,860:58","115,216","170,051",150,"128,004,976","188,926,661",67.8,0,740,0,"9,600,374",0,823,0,"9,601,197","21,094,275",45.5
東京,奄美,JAL,363,"521,268",879:19:00,"40,337","59,169",163,"57,923,932","84,966,684",68.2,"28,854",302,0,"4,344,295","41,436",435,0,"4,386,166","8,548,793",51.3
奄美,東京,JAL,364,"522,704",719:09:00,"38,523","59,332",163,"55,319,028","85,200,752",64.9,"209,164",290,397,"4,148,927","300,360",417,567,"4,450,271","8,572,343",51.9
東京,久米島,JTA,76,"143,488",196:32:00,"5,507","11,370",150,"10,397,216","21,466,560",48.4,"6,367",0,0,"779,791","12,021",0,0,"791,812","1,626,866",48.7
久米島,東京,JTA,75,"139,125",227:25:00,"8,878","11,245",150,"11,975,292","20,859,475",57.4,"55,110",0,525,"898,148","24,413",0,88,"922,649","1,640,476",56.2
東京,宮古,JTA,363,"733,260","1,121:51","43,958","59,531",164,"88,795,160","120,252,620",73.8,"296,080",0,0,"6,659,640","598,082",0,0,"7,257,722","12,354,643",58.7
宮古,東京,JTA,364,"735,280",949:25:00,"38,652","59,525",164,"78,077,040","120,240,500",64.9,"343,296",0,0,"5,855,781","693,460",0,0,"6,549,241","12,370,675",52.9
東京,石垣,JTA,650,"1,411,150","2,136:42","65,994","97,360",150,"143,272,974","211,368,560",67.8,"297,767",0,0,"10,745,474","646,453",0,0,"11,391,927","21,247,250",53.6
石垣,東京,JTA,289,"636,635",873:10:00,"44,917","43,295",150,"71,555,603","95,374,085",75,"369,544",0,415,"5,366,675","618,032",0,74,"5,984,781","7,495,936",79.8
東京,石垣,JTA,0,0,0:00,0,0,#DIV/0!,0,0,0,0,0,0,0,0,0,0,0,0,0
石垣,東京,JTA,122,"263,398",411:38:00,"22,551","18,275",150,"32,109,723","39,455,725",81.4,"119,138",0,1,"2,408,229","134,358",0,0,"2,542,587","3,105,726",81.9
成田,仙台,ANA,364,"158,340",351:21:00,"13,572","26,935",74,"5,903,820","11,716,725",50.4,0,566,0,"442,787",0,246,0,"443,033","1,064,993",41.6
仙台,成田,ANA,364,"158,340",347:58:00,"13,257","26,860",74,"5,766,795","11,684,100",49.4,0,427,0,"432,509",0,186,0,"432,695","1,064,993",40.6
成田,仙台,IBX,359,"156,165",325:40:00,"7,551","17,950",50,"3,284,685","7,808,250",42.1,0,0,0,"246,352",0,0,0,"246,352","675,662",36.5
仙台,成田,IBX,357,"155,295",341:01:00,"9,114","17,850",50,"3,964,590","7,764,750",51.1,0,0,0,"297,346",0,0,0,"297,346","671,898",44.3
成田,金沢,IBX,354,"228,330",415:16:00,"9,526","17,700",50,"6,144,270","11,416,500",53.8,0,0,0,"460,821",0,0,0,"460,821","987,897",46.6
金沢,成田,IBX,360,"232,200",438:56:00,"9,256","18,000",50,"5,970,120","11,610,000",51.4,0,0,0,"447,761",0,0,0,"447,761","1,004,642",44.6
成田,中部,JAL,216,"108,000",263:07:00,"10,477","32,545",151,"5,238,500","16,272,500",32.2,903,77,606,"392,889",453,40,303,"393,685","1,711,050",23
中部,成田,JAL,213,"106,500",242:28:00,"16,930","32,090",151,"8,465,000","16,045,000",52.8,100,128,0,"634,877",51,65,0,"634,993","1,718,850",36.9
成田,中部,ANA,728,"364,000",892:21:00,"38,057","67,022",92,"19,028,500","33,511,000",56.8,"2,375","1,700","29,461","1,427,138","1,190",854,"14,733","1,443,915","4,444,905",32.5
中部,成田,ANA,729,"364,500",845:28:00,"41,990","67,097",92,"20,995,000","33,548,500",62.6,"4,716",766,"231,954","1,574,627","2,360",385,"115,978","1,693,350","4,448,268",38.1
成田,広島,IBX,362,"325,076",568:28:00,"13,153","18,100",50,"11,811,394","16,253,800",72.7,0,0,0,"885,854",0,0,0,"885,854","1,406,477",63
広島,成田,IBX,362,"325,076",532:41:00,"12,593","18,100",50,"11,308,514","16,253,800",69.6,0,0,0,"848,137",0,0,0,"848,137","1,406,477",60.3
大阪,釧路,ANA,45,"60,120",84:16:00,"3,442","7,470",166,"4,598,512","9,979,920",46.1,57,98,0,"344,888",76,131,0,"345,095","1,315,726",26.2
釧路,大阪,ANA,45,"60,120",93:09:00,"3,503","7,470",166,"4,680,008","9,979,920",46.9,"68,534",76,0,"351,001","91,561",102,0,"442,664","1,315,726",33.6
大阪,旭川,JAL,59,"77,880",109:24:00,"4,698","9,500",161,"6,201,360","12,540,000",49.5,103,28,0,"465,102",136,38,0,"465,276","1,270,104",36.6
旭川,大阪,JAL,59,"77,880",119:38:00,"4,523","9,500",161,"5,970,360","12,540,000",47.6,256,27,0,"447,777",338,35,0,"448,150","1,270,104",35.3
大阪,青森,JAL,749,"708,554","1,103:30","69,947","112,636",150,"66,169,862","106,553,656",62.1,"461,840",420,"180,037","4,962,740","436,901",395,"170,315","5,570,351","11,207,641",49.7
青森,大阪,JAL,747,"706,662","1,204:18","66,926","112,349",150,"63,311,996","106,282,154",59.6,"112,603",402,"38,258","4,748,403","106,521",379,"36,192","4,891,495","11,178,315",43.8
大阪,三沢,JAL,360,"354,600",522:06:00,"25,678","54,015",150,"25,292,830","53,204,775",47.5,"6,932",154,0,"1,896,964","6,827",154,0,"1,903,945","5,604,749",34
三沢,大阪,JAL,361,"355,585",610:29:00,"25,771","54,165",150,"25,384,435","53,352,525",47.6,"92,486",154,0,"1,903,833","91,097",154,0,"1,995,084","5,620,804",35.5
大阪,花巻,JEX,635,"552,450",858:21:00,"56,350","103,505",163,"49,024,500","90,049,350",54.4,"121,225",433,"62,799","3,676,837","105,465",377,"54,635","3,837,314","9,060,180",42.4
花巻,大阪,JEX,634,"551,580",972:54:00,"55,910","103,342",163,"48,641,700","89,907,540",54.1,"305,224",432,"11,388","3,648,129","265,545",375,"9,907","3,923,956","9,045,912",43.4
大阪,花巻,ジェイ・エア,361,"314,070",508:55:00,"10,225","18,050",50,"8,895,750","15,703,500",56.6,0,0,0,"667,182",0,0,0,"667,182","1,409,880",47.3
花巻,大阪,ジェイ・エア,359,"312,330",543:10:00,"11,923","17,950",50,"10,373,010","15,616,500",66.4,0,0,0,"777,977",0,0,0,"777,977","1,401,970",55.5
大阪,仙台,ANA,"2,178","1,748,934","2,676:41","285,683","451,336",207,"229,403,449","362,422,808",63.3,"2,945,464","2,549","314,590","17,205,259","2,365,207","2,048","252,613","19,825,127","59,551,512",33.3
仙台,大阪,ANA,"2,174","1,745,722","3,038:50","288,522","450,729",207,"231,683,166","361,935,387",64,"3,038,022","2,538",294,"17,376,237","2,439,531","2,038",236,"19,818,042","59,474,070",33.3
大阪,仙台,JEX,"2,175","1,746,525","2,673:53","200,544","340,088",156,"161,036,832","273,090,664",59,"435,226","1,545","255,929","12,077,763","349,486","1,241","205,511","12,634,001","28,321,086",44.6
仙台,大阪,JEX,"2,174","1,745,722","2,979:04","201,894","330,542",152,"162,120,882","265,425,226",61.1,"230,114","1,555","34,710","12,159,066","184,782","1,247","27,873","12,372,968","28,339,797",43.7
大阪,仙台,IBX,422,"338,866",478:58:00,"8,995","21,100",50,"7,222,985","16,943,300",42.6,0,0,0,"541,724",0,0,0,"541,724","1,466,140",36.9
仙台,大阪,IBX,421,"338,063",569:46:00,"9,156","21,050",50,"7,352,268","16,903,150",43.5,0,0,0,"551,420",0,0,0,"551,420","1,462,666",37.7
大阪,秋田,JAL,632,"501,176",801:17:00,"50,589","97,439",154,"40,117,077","77,269,127",51.9,"303,746",303,"127,194","3,008,781","240,872",241,"100,867","3,350,761","8,050,140",41.6
秋田,大阪,JAL,628,"498,004",885:27:00,"49,570","96,774",154,"39,309,010","76,741,782",51.2,"121,685",297,"4,412","2,948,177","96,496",236,"3,498","3,048,407","7,999,308",38.1
大阪,秋田,IBX,515,"408,395",634:36:00,"10,653","25,750",50,"8,447,829","20,419,750",41.4,0,0,0,"633,586",0,0,0,"633,586","1,766,965",35.9
秋田,大阪,IBX,517,"409,981",691:16:00,"11,686","25,850",50,"9,266,998","20,499,050",45.2,0,0,0,"695,024",0,0,0,"695,024","1,773,827",39.2
大阪,大館,ANA,365,"309,520",564:42:00,"11,916","27,654",76,"10,104,768","23,450,592",43.1,904,236,0,"757,857",767,198,0,"758,822","2,171,814",34.9
大館,大阪,ANA,364,"308,672",630:17:00,"9,275","27,580",76,"7,865,200","23,387,840",33.6,"1,024",183,0,"589,891",868,154,0,"590,913","2,166,110",27.3
大阪,山形,ジェイ・エア,"1,380","1,007,400","1,796:45","36,707","69,000",50,"26,796,110","50,370,000",53.2,65,0,0,"2,009,709",47,0,0,"2,009,756","4,510,222",44.6
山形,大阪,ジェイ・エア,"1,378","1,005,940","1,899:20","37,239","68,900",50,"27,184,470","50,297,000",54,"1,123",0,0,"2,038,838",820,0,0,"2,039,658","4,503,005",45.3
大阪,庄内,IBX,60,"43,140",68:56:00,959,"3,000",50,"689,521","2,157,000",32,0,0,0,"51,714",0,0,0,"51,714","186,650",27.7
庄内,大阪,IBX,60,"43,140",79:58:00,976,"3,000",50,"701,744","2,157,000",32.5,0,0,0,"52,631",0,0,0,"52,631","186,650",28.2
