"","i","j","207ゾーンi","207ゾーンj","47ゾーンi","47ゾーンj","207ゾーン名i","207ゾーン名j","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","鉄道ダミー","エアライン参入数","x","OD1","OD2","路線距離","一便あたり座席数","一便あたり貨物","一便あたり超過手荷物"
"48",1,48,22,354,10,32,"南部","岩国",NA,NA,NA,NA,113.469258,0,NA,0,0,0,0,0,0,0
"49",1,49,22,355,10,32,"南部","徳山",NA,NA,NA,NA,78.176152,0,NA,0,0,0,0,0,0,0
"50",1,51,22,402,10,37,"南部","北九州",NA,NA,NA,NA,67.653225,0,NA,1,1,1,0,0,0,0
"51",1,50,22,401,10,37,"南部","福岡",NA,NA,NA,NA,26.555547,0,NA,5,6,7,0,0,0,0
"52",1,52,22,432,10,41,"南部","八代・芦北",NA,NA,NA,NA,61.3052175,0,NA,0,0,0,0,0,0,0
"53",1,53,22,461,10,44,"南部","鹿児島",NA,NA,NA,NA,47.72907417,0,NA,1,1,1,0,0,0,0
"54",1,54,22,462,10,44,"南部","川北薩・串木野",NA,NA,NA,NA,57.73323917,0,NA,0,0,0,0,0,0,0
"55",3,1,32,22,11,10,"北上中部","南部",NA,NA,NA,NA,26.456241,0,NA,0,8,146,0,0,0,0
"56",2,1,31,22,11,10,"盛岡","南部",NA,NA,NA,NA,53.741119,0,NA,0,133,136,0,0,0,0
"57",4,1,33,22,11,10,"両磐","南部",NA,NA,NA,NA,76.497531,0,NA,0,5,28,0,0,0,0
"58",3,4,32,33,11,11,"北上中部","両磐",NA,NA,NA,NA,57.906074,0,NA,0,0,0,0,0,0,0
"59",2,2,31,31,11,11,"盛岡","盛岡",NA,NA,NA,NA,62.43454,0,NA,0,0,0,0,0,0,0
"60",2,4,31,33,11,11,"盛岡","両磐",NA,NA,NA,NA,85.190952,0,NA,0,0,0,0,0,0,0
"61",3,3,32,32,11,11,"北上中部","北上中部",NA,NA,NA,NA,7.864784,0,NA,0,0,0,0,0,0,0
"62",4,4,33,33,11,11,"両磐","両磐",NA,NA,NA,NA,107.947364,0,NA,0,0,0,0,0,0,0
"63",2,3,31,32,11,11,"盛岡","北上中部",NA,NA,NA,NA,35.149662,0,NA,0,0,0,0,0,0,0
"64",3,2,32,31,11,11,"北上中部","盛岡",NA,NA,NA,NA,35.149662,0,NA,0,0,0,0,0,0,0
"65",4,3,33,32,11,11,"両磐","北上中部",NA,NA,NA,NA,57.906074,0,NA,0,0,0,0,0,0,0
"66",4,2,33,31,11,11,"両磐","盛岡",NA,NA,NA,NA,85.190952,0,NA,0,0,0,0,0,0,0
"67",4,5,33,41,11,12,"両磐","仙台",NA,NA,NA,NA,69.264663,0,NA,0,39,663,0,0,0,0
"68",4,6,33,43,11,12,"両磐","古川",NA,NA,NA,NA,120.051397,0,NA,0,5,5,0,0,0,0
"69",4,9,33,63,11,12,"両磐","米沢",NA,NA,NA,NA,129.266135,0,NA,0,0,1,0,0,0,0
"70",2,9,31,63,11,12,"盛岡","米沢",NA,NA,NA,NA,106.509723,0,NA,0,3,8,0,0,0,0
"71",2,10,31,64,11,12,"盛岡","新庄",NA,NA,NA,NA,119.723498,0,NA,0,1,12,0,0,0,0
"72",2,11,31,71,11,12,"盛岡","福島",NA,NA,NA,NA,83.1973815,0,NA,0,21,43,0,0,0,0
