"","prob","out.share","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","鉄道ダミー","エアライン参入数","distance"
"249",0.75,0.25,173,12960,1,734,14.082083,1,0,395
"250",0,0.25,0,NA,NA,NA,117.648699,0,NA,0.001
"251",NA,NA,198,11880,1,684,13.736914,1,0,348.4
"252",NA,NA,0,NA,NA,NA,142.724063,0,NA,NA
"253",0.634920634920635,0.365079365079365,149,15120,1,782,10.608444,1,0,469.7
"254",0,0.365079365079365,0,NA,NA,NA,40.812967,0,NA,0.001
"255",0.8,0.2,163,14040,1,754,5.915609,1,0,435.3
"256",0,0.2,0,NA,NA,NA,79.352539,0,NA,0.001
"257",0.858823529411765,0.141176470588235,175,15760,1,730,NA,1,0,500
"258",0,0.141176470588235,0,NA,NA,NA,NA,0,NA,0.001
"259",0.8125,0.1875,194,16840,1,692,11.0686625,1,0,528.8
"260",0,0.1875,0,NA,NA,NA,24.115562,0,NA,0.001
"261",0.666666666666667,0.333333333333333,215,18580,1,650,6.475825,1,0,583.9
"262",0,0.333333333333333,0,NA,NA,NA,63.94406117,0,NA,0.001
"263",0,1,244,6040,1,592,7.312531667,1,0,166.1
"264",0,1,0,NA,NA,NA,16.04647117,0,NA,0.001
"265",0,1,221,8000,1,638,5.49719,1,0,229.4
"266",0,1,0,NA,NA,NA,62.78095459,0,NA,0.001
"267",NA,NA,232,7340,1,616,6.960457,1,0,206.2
"268",NA,NA,0,NA,NA,NA,41.819504,0,NA,NA
"269",NA,NA,211,9500,1,658,20.640384,1,0,271.1
"270",NA,NA,0,NA,NA,NA,101.161397,0,NA,NA
"271",0.5,0.5,235,9500,1,610,6.286275,1,0,277.6
"272",0,0.5,0,NA,NA,NA,192.163393,0,NA,0.001
"273",NA,NA,223,10800,1,634,5.739651,1,0,310.8
"274",NA,NA,0,NA,NA,NA,219.184273,0,NA,NA
"275",1,0,355,23320,1,370,19.426917,1,0,896.3
"276",0,0,0,NA,NA,NA,66.739098,0,NA,0.001
"277",NA,NA,243,20300,1,594,6.580189,1,0,680.2
"278",NA,NA,0,NA,NA,NA,123.5290873,0,NA,NA
"279",0.5,0.5,269,20960,1,542,6.981693167,1,0,757.1
"280",0,0.5,0,NA,NA,NA,75.883489,0,NA,0.001
"281",1,0,237,19220,1,606,10.7391815,1,0,620.7
"282",0,0,0,NA,NA,NA,86.16683233,0,NA,0.001
"283",0.857142857142857,0,274,22680,1,532,8.147107333,1,0,866
"284",0.142857142857143,0,0,NA,NA,NA,35.311469,0,NA,0.142857142857143
"285",NA,NA,312,21600,1,456,6.701510667,1,0,793.6
"286",NA,NA,0,NA,NA,NA,54.44988122,0,NA,NA
"287",0.428571428571429,0.0714285714285714,331,22240,1,418,15.514611,1,0,836.3
"288",0.5,0.0714285714285714,0,NA,NA,NA,38.865726,0,NA,0.5
"289",NA,NA,374,23980,1,332,10.638605,1,0,945.9
"290",NA,NA,0,NA,NA,NA,134.134565,0,NA,NA
"291",0.444444444444444,0,310,25280,1,460,7.722378,1,0,1013.6
"292",0.555555555555556,0,0,NA,NA,NA,82.374818,0,NA,0.555555555555556
"293",0.222222222222222,0.111111111111111,325,25920,1,430,6.311368,1,0,1052.6
"294",0.666666666666667,0.111111111111111,0,NA,NA,NA,39.809881,0,NA,0.666666666666667
"295",0.666666666666667,0,338,26360,1,404,6.932654,1,0,1089.5
"296",0.333333333333333,0,0,NA,NA,NA,32.176653,0,NA,0.333333333333333
"297",0,0,355,27000,1,370,6.635494667,1,0,1144.3
"298",1,0,0,NA,NA,NA,68.71368567,0,NA,0.999
"299",NA,NA,370,28300,1,340,6.395617167,1,0,1232.9
"300",NA,NA,0,NA,NA,NA,23.61651067,0,NA,NA
"301",0.5,0.25,411,30680,1,258,7.3110705,1,0,1394.2
"302",0.25,0.25,0,NA,NA,NA,49.05590817,0,NA,0.25
"303",NA,NA,388,29600,1,304,5.773512167,1,0,1291.2
"304",NA,NA,0,NA,NA,NA,46.9328315,0,NA,NA
"305",NA,NA,439,33040,1,202,16.10184374,1,0,1527
"306",NA,NA,0,NA,NA,NA,38.54410548,0,NA,NA
"307",NA,NA,582,33700,1,NA,10.679953,1,0,1588.7
"308",NA,NA,0,NA,NA,NA,35.105617,0,NA,NA
"309",NA,NA,571,33700,1,NA,18.788644,1,0,1562.1
"310",NA,NA,0,NA,NA,NA,7.543285,0,NA,NA
"311",NA,NA,521,31320,1,38,11.690908,1,0,1435.6
"312",NA,NA,0,NA,NA,NA,94.877801,0,NA,NA
"313",NA,NA,436,32620,1,208,12.496871,1,0,1482.7
"314",NA,NA,0,NA,NA,NA,59.584695,0,NA,NA
"315",0.5,0,475,35000,1,130,6.959906,1,0,1674.9
"316",0.5,0,0,NA,NA,NA,7.96409,0,NA,0.5
"317",1,0,458,34340,1,164,5.950720333,1,0,1607.7
"318",0,0,0,NA,NA,NA,49.061768,0,NA,0.001
"319",NA,NA,575,37360,1,NA,7.702758667,1,0,1826.2
"320",NA,NA,0,NA,NA,NA,42.7137605,0,NA,NA
"321",NA,NA,620,39740,1,NA,7.120811167,1,0,1963.8
"322",NA,NA,0,NA,NA,NA,29.13761717,0,NA,NA
"323",NA,NA,608,38660,1,NA,6.040221167,1,0,1917.7
"324",NA,NA,0,NA,NA,NA,39.14178217,0,NA,NA
"325",0.178571428571429,0.821428571428571,74,6700,1,932,6.379024,1,0,186.8
"326",0,0.821428571428571,0,NA,NA,NA,76.497531,0,NA,0.001
"327",NA,NA,38,3320,1,1004,2.909174,1,0,90.2
"328",NA,NA,0,NA,NA,NA,85.190952,0,NA,NA
"329",NA,NA,38,1940,1,1004,6.590728,1,0,54.9
"330",NA,NA,0,NA,NA,NA,57.906074,0,NA,NA
"331",NA,NA,0,NA,1,1080,2.768962,1,0,0
"332",NA,NA,0,NA,NA,NA,107.947364,0,NA,NA
"333",0.0588235294117647,0.941176470588235,36,3320,1,1008,2.702941,1,0,93.3
"334",0,0.941176470588235,0,NA,NA,NA,69.264663,0,NA,0.001
"335",1,0,12,1000,1,1056,6.448489,1,0,28.9
"336",0,0,0,NA,NA,NA,120.051397,0,NA,0.001
"337",0,1,133,7340,1,814,3.696015,1,0,217.5
"338",0,1,0,NA,NA,NA,69.303203,0,NA,0.001
"339",0.0606060606060606,0.939393939393939,131,2980,1,818,2.703089,1,0,85.2
"340",0,0.939393939393939,0,NA,NA,NA,71.342964,0,NA,0.001
"341",0,1,97,4540,1,886,3.139484,1,0,132.2
"342",0,1,0,NA,NA,NA,129.266135,0,NA,0.001
"343",0,1,179,820,1,722,1.824476,1,0,23.7
"344",0,1,0,NA,NA,NA,142.47991,0,NA,0.001
"345",0.0555555555555556,0.944444444444444,61,6040,1,958,3.365174833,1,0,172.3
"346",0,0.944444444444444,0,NA,NA,NA,105.9537935,0,NA,0.001
"347",0.111111111111111,0.888888888888889,76,7340,1,928,4.372759,1,0,218.4
"348",0,0.888888888888889,0,NA,NA,NA,75.8419635,0,NA,0.001
"349",0,1,85,8860,1,910,3.936460667,1,0,259.7
"350",0,1,0,NA,NA,NA,77.5276485,0,NA,0.001
"351",0.142857142857143,0.857142857142857,103,11240,1,874,3.533390667,1,0,335.6
"352",0,0.857142857142857,0,NA,NA,NA,150.96202433,0,NA,0.001
"353",0,1,42,12520,1,996,10.825583259,1,0,364.5
"354",0,1,0,NA,NA,NA,141.25634581,0,NA,0.001
"355",0,1,70,10160,1,940,8.291817,1,0,287.3
"356",0,1,0,NA,NA,NA,202.039748,0,NA,0.001
"357",0,1,135,11880,1,810,10.260317,1,0,340.1
"358",0,1,0,NA,NA,NA,167.689989,0,NA,0.001
"359",NA,NA,160,10160,1,760,9.915148,1,0,293.5
"360",NA,NA,0,NA,NA,NA,192.765353,0,NA,NA
"361",0.52,0.48,111,13600,1,858,6.786678,1,0,414.8
"362",0,0.48,0,NA,NA,NA,90.854257,0,NA,0.001
"363",1,0,125,12960,1,830,2.093843,1,0,380.4
"364",0,0,0,NA,NA,NA,129.393829,0,NA,0.001
"365",0.810126582278481,0.189873417721519,137,14680,1,806,NA,1,0,445.1
"366",0,0.189873417721519,0,NA,NA,NA,NA,0,NA,0.001
"367",0.714285714285714,0.285714285714286,156,15120,1,768,7.2468965,1,0,473.9
"368",0,0.285714285714286,0,NA,NA,NA,74.156852,0,NA,0.001
"369",NA,NA,177,16840,1,726,2.654059,1,0,529
"370",NA,NA,0,NA,NA,NA,113.98535117,0,NA,NA
"371",0.333333333333333,0.666666666666667,206,3880,1,668,3.490765667,1,0,111.2
"372",0,0.666666666666667,0,NA,NA,NA,66.08776117,0,NA,0.001
"373",1,0,183,6040,1,714,1.675424,1,0,174.5
"374",0,0,0,NA,NA,NA,112.82224459,0,NA,0.001
"375",NA,NA,194,5180,1,692,3.138691,1,0,151.3
"376",NA,NA,0,NA,NA,NA,91.860794,0,NA,NA
"377",1,0,173,7340,1,734,16.818618,1,0,216.2
"378",0,0,0,NA,NA,NA,151.202687,0,NA,0.001
"379",0,1,197,8000,1,686,2.464509,1,0,222.7
"380",0,1,0,NA,NA,NA,242.204683,0,NA,0.001
"381",NA,NA,185,8860,1,710,1.917885,1,0,255.9
"382",NA,NA,0,NA,NA,NA,269.225563,0,NA,NA
"383",NA,NA,317,22680,1,446,15.605151,1,0,841.4
"384",NA,NA,0,NA,NA,NA,116.780388,0,NA,NA
"385",NA,NA,205,19220,1,670,2.758423,1,0,625.3
"386",NA,NA,0,NA,NA,NA,173.5703773,0,NA,NA
"387",NA,NA,231,20300,1,618,3.159927167,1,0,702.2
"388",NA,NA,0,NA,NA,NA,125.924779,0,NA,NA
"389",1,0,199,17920,1,682,6.9174155,1,0,565.8
"390",0,0,0,NA,NA,NA,136.20812233,0,NA,0.001
"391",1,0,236,22240,1,608,4.325341333,1,0,811.1
"392",0,0,0,NA,NA,NA,85.352759,0,NA,0.001
"393",NA,NA,274,20960,1,532,2.879744667,1,0,738.7
"394",NA,NA,0,NA,NA,NA,104.49117122,0,NA,NA
"395",NA,NA,293,21600,1,494,11.692845,1,0,781.4
"396",NA,NA,0,NA,NA,NA,88.907016,0,NA,NA
