"","i","j","207ゾーンi","207ゾーンj","47ゾーンi","47ゾーンj","207ゾーン名i","207ゾーン名j","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","鉄道ダミー","エアライン参入数","x","OD1","OD2","路線距離","一便あたり座席数","一便あたり貨物","一便あたり超過手荷物"
"43",17,53,101,461,18,44,"前橋・高崎","鹿児島",494,16850,1,92,10.790400167,1,0,2,5,7,1568.8,0,0,0
"44",17,54,101,462,18,44,"前橋・高崎","川北薩・串木野",482,16520,1,116,9.709810167,1,0,0,0,0,1522.7,0,0,0
"45",17,7,101,51,18,13,"前橋・高崎","秋田臨海",226,10150,1,628,11.18737,1,0,11,15,23,707,0,0,0
"46",17,8,101,61,18,15,"前橋・高崎","山形",161,6800,1,758,10.194444,1,0,4,4,12,404.3,0,0,0
"47",17,9,101,63,18,12,"前橋・高崎","米沢",127,5940,1,826,10.630839,1,0,6,6,11,357.3,0,0,0
"48",17,10,101,64,18,12,"前橋・高崎","新庄",209,7560,1,662,9.315831,1,0,0,0,1,465.8,0,0,0
"49",17,11,101,71,18,12,"前橋・高崎","福島",91,5400,1,898,10.856529833,1,0,11,11,29,317.2,0,0,0
"50",17,12,101,73,18,17,"前橋・高崎","郡山",76,4750,1,928,11.864114,1,0,5,5,31,271.1,0,0,0
"51",17,13,101,76,18,17,"前橋・高崎","白河",83,4000,1,914,11.427815667,1,0,3,3,19,229.8,0,0,0
"52",17,14,101,91,18,18,"前橋・高崎","宇都宮",49,2590,1,982,11.024745667,1,0,36,36,915,153.9,0,0,0
"53",17,15,101,93,18,18,"前橋・高崎","栃木・小山",40,2270,1,1000,18.316938259,1,0,4,4,265,125,0,0,0
"54",17,16,101,95,18,18,"前橋・高崎","那須",68,3670,1,944,15.783172,1,0,2,2,71,202.2,0,0,0
"55",18,17,104,101,18,18,"沼田・利根","前橋・高崎",16,840,1,1048,17.406503,1,0,0,0,0,46.6,0,0,0
"56",18,18,104,104,18,18,"沼田・利根","沼田・利根",0,NA,1,1080,17.061334,1,0,0,0,0,0,0,0,0
"57",18,19,104,111,18,18,"沼田・利根","浦和",49,2270,1,982,13.932864,1,0,38,38,355,121.3,0,0,0
"58",18,20,104,113,18,18,"沼田・利根","児玉・大里",36,1490,1,1008,9.240029,1,0,2,2,214,86.9,0,0,0
"59",18,21,104,131,18,18,"沼田・利根","23区",74,2590,1,932,10.3307175,1,0,133,133,438,151.6,0,0,0
"60",18,22,104,141,18,18,"沼田・利根","横浜",93,3350,1,894,14.3930825,1,0,11,11,65,180.4,0,0,0
"61",18,23,104,144,18,18,"沼田・利根","小田原",114,4000,1,852,9.800245,1,0,1,1,5,235.5,0,0,0
"62",18,24,104,151,18,20,"沼田・利根","新潟",74,3350,1,932,10.636951667,1,0,7,7,67,182.3,0,0,0
"63",18,25,104,152,18,20,"沼田・利根","長岡",74,1940,1,932,8.82161,1,0,0,0,122,119,0,0,0
"64",18,26,104,154,18,20,"沼田・利根","三条・燕",74,2590,1,932,10.284877,1,0,0,0,21,142.2,0,0,0
"65",18,27,104,155,18,20,"沼田・利根","魚沼",74,1320,1,932,23.964804,1,0,0,0,203,77.3,0,0,0
"66",18,28,104,201,18,18,"沼田・利根","長野",70,3020,1,940,9.610695,1,0,0,0,17,164,0,0,0
"67",18,29,104,203,18,24,"沼田・利根","上田",58,2270,1,964,9.064071,1,0,8,8,43,130.8,0,0,0
"68",18,30,104,211,18,24,"沼田・利根","岐阜",254,8750,1,572,22.751337,1,0,0,0,0,547.9,0,0,0
"69",18,1,104,22,18,10,"沼田・利根","南部",234,10480,1,612,13.52521,1,0,0,0,0,722.9,0,0,0
"70",18,31,104,221,18,18,"沼田・利根","中部",142,5620,1,796,9.904609,1,0,0,0,0,331.8,0,0,0
"71",18,32,104,222,18,24,"沼田・利根","西部",168,6800,1,744,10.306113167,1,0,3,3,3,408.7,0,0,0
"72",18,33,104,223,18,18,"沼田・利根","東部",136,4750,1,808,14.0636015,1,0,3,3,8,272.3,0,0,0
