"","rk","i","j","X207ゾーンi","X207ゾーンj","X47ゾーンi","X47ゾーンj","X207ゾーン名i","X207ゾーン名j","最寄りi","最寄りj","X","x_ij.k","ODij","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","鉄道ダミー","エアライン参入数","V22","prob","out.share","share"
"1144",1144,11,32,71,222,12,24,"福島","西部","仙台","名古屋","仙台駅名古屋駅",0,3,0,NA,NA,NA,129.822461,0,NA,71.951097,0,0,0.001
"1145",1145,11,33,71,223,12,18,"福島","東部","福島","三島","福島駅三島駅",7,9,155,12960,1,770,6.9108585,1,0,5.5329345,0.777777777777778,0.222222222222222,0.777777777777778
"1146",1146,11,33,71,223,12,18,"福島","東部","仙台","羽田","仙台駅羽田駅",0,9,60,9050,1460,450,140.10580433,0,2,82.23444033,0,0.222222222222222,0.001
"1147",1147,11,34,71,231,12,24,"福島","名古屋","福島","名古屋","福島駅名古屋駅",2,4,192,19220,1,696,4.318784333,1,0,2.940860333,0.5,0.25,0.5
"1148",1148,11,34,71,231,12,24,"福島","名古屋","仙台","名古屋","仙台駅名古屋駅",1,4,0,NA,NA,NA,89.250441,0,NA,31.379077,0.25,0.25,0.25
"1149",1149,11,35,71,232,12,24,"福島","東三河","福島","豊橋","福島駅豊橋駅",0,0,230,17920,1,620,2.873187667,1,0,1.495263667,NA,NA,NA
"1150",1150,11,35,71,232,12,24,"福島","東三河","仙台","名古屋","仙台駅名古屋駅",0,0,0,NA,NA,NA,108.38885322,0,NA,50.51748922,NA,NA,NA
"1151",1151,11,36,71,233,12,24,"福島","豊田","福島","三河安城","福島駅三河安城駅",4,6,249,19220,1,582,11.686288,1,0,10.308364,0.666666666666667,0.166666666666667,0.666666666666667
"1152",1152,11,36,71,233,12,24,"福島","豊田","仙台","名古屋","仙台駅名古屋駅",1,6,0,NA,NA,NA,92.804698,0,NA,34.933334,0.166666666666667,0.166666666666667,0.166666666666667
"1153",1153,11,37,71,252,12,25,"福島","東北部","福島","米原","福島駅米原駅",0,0,292,20300,1,496,6.810282,1,0,5.432358,NA,NA,NA
"1154",1154,11,37,71,252,12,25,"福島","東北部","仙台","関西国際","仙台駅関西国際駅",0,0,0,NA,NA,NA,188.073537,0,NA,130.202173,NA,NA,NA
"1155",1155,11,38,71,261,12,25,"福島","京都","福島","京都","福島駅京都駅",4,14,228,21600,1,624,3.894055,1,0,2.516131,0.285714285714286,0.571428571428571,0.285714285714286
"1156",1156,11,38,71,261,12,25,"福島","京都","仙台","関西国際","仙台駅関西国際駅",2,14,0,NA,NA,NA,136.31379,0,NA,78.442426,0.142857142857143,0.571428571428571,0.142857142857143
"1157",1157,11,39,71,271,12,25,"福島","大阪","福島","新大阪","福島駅新大阪駅",13,23,243,22240,1,594,2.483045,1,0,1.105121,0.565217391304348,0.173913043478261,0.565217391304348
"1158",1158,11,39,71,271,12,25,"福島","大阪","仙台","関西国際","仙台駅関西国際駅",6,23,0,NA,NA,NA,93.748853,0,NA,35.877489,0.260869565217391,0.173913043478261,0.260869565217391
"1159",1159,11,40,71,281,12,25,"福島","神戸","福島","新神戸","福島駅新神戸駅",7,17,256,22680,1,568,3.104331,1,0,1.726407,0.411764705882353,0.470588235294118,0.411764705882353
"1160",1160,11,40,71,281,12,25,"福島","神戸","仙台","関西国際","仙台駅関西国際駅",2,17,0,NA,NA,NA,86.115625,0,NA,28.244261,0.117647058823529,0.470588235294118,0.117647058823529
"1161",1161,11,41,71,283,12,25,"福島","播磨","福島","姫路","福島駅姫路駅",1,102,273,23320,1,534,2.807171667,1,0,1.429247667,0.00980392156862745,0.990196078431373,0.00980392156862745
"1162",1162,11,41,71,283,12,25,"福島","播磨","仙台","関西国際","仙台駅関西国際駅",0,102,0,NA,NA,NA,122.65265767,0,NA,64.78129367,0,0.990196078431373,0.001
"1163",1163,11,42,71,331,12,30,"福島","県南","福島","岡山","福島駅岡山駅",1,4,288,25280,1,504,2.567294167,1,0,1.189370167,0.25,0.75,0.25
"1164",1164,11,42,71,331,12,30,"福島","県南","仙台","岡山","仙台駅岡山駅",0,4,0,NA,NA,NA,77.55548267,0,NA,19.68411867,0,0.75,0.001
"1165",1165,11,43,71,341,12,31,"福島","広島","福島","広島","福島駅広島駅",2,5,329,27640,1,422,3.4827475,1,0,2.1048235,0.4,0.4,0.4
"1166",1166,11,43,71,341,12,31,"福島","広島","仙台","広島","仙台駅広島駅",1,5,95,19500,365,85,102.99488017,0,1,45.12351617,0.2,0.4,0.2
"1167",1167,11,44,71,342,12,31,"福島","備後","福島","福山","福島駅福山駅",0,1,306,25920,1,468,1.945189167,1,0,0.567265167,0,0,0.001
"1168",1168,11,44,71,342,12,31,"福島","備後","仙台","広島","仙台駅広島駅",1,1,95,19500,365,85,100.8718035,0,1,43.0004395,1,0,0.999
"1169",1169,11,45,71,351,12,32,"福島","山口","福島","新山口","福島駅新山口駅",1,2,357,29600,1,366,12.27352074,1,0,10.89559674,0.5,0.5,0.5
"1170",1170,11,45,71,351,12,32,"福島","山口","仙台","山口宇部","仙台駅山口宇部駅",0,2,0,NA,NA,NA,92.48307748,0,NA,34.61171348,0,0.5,0.001
"1171",1171,11,46,71,352,12,32,"福島","下関","福島","新下関","福島駅新下関駅",2,2,500,30680,1,80,6.85163,1,0,5.473706,1,0,0.999
"1172",1172,11,46,71,352,12,32,"福島","下関","仙台","山口宇部","仙台駅山口宇部駅",0,2,0,NA,NA,NA,89.044589,0,NA,31.173225,0,0,0.001
"1173",1173,11,47,71,353,12,32,"福島","宇部","福島","厚狭","福島駅厚狭駅",0,0,489,30020,1,102,14.960321,1,0,13.582397,NA,NA,NA
"1174",1174,11,47,71,353,12,32,"福島","宇部","仙台","山口宇部","仙台駅山口宇部駅",0,0,0,NA,NA,NA,61.482257,0,NA,3.610893,NA,NA,NA
"1175",1175,11,48,71,354,12,32,"福島","岩国","福島","新岩国","福島駅新岩国駅",0,0,439,28300,1,202,7.862585,1,0,6.484661,NA,NA,NA
"1176",1176,11,48,71,354,12,32,"福島","岩国","仙台","山口宇部","仙台駅山口宇部駅",0,0,0,NA,NA,NA,148.816773,0,NA,90.945409,NA,NA,NA
"1177",1177,11,49,71,355,12,32,"福島","徳山","福島","徳山","福島駅徳山駅",0,0,354,28940,1,372,8.668548,1,0,7.290624,NA,NA,NA
"1178",1178,11,49,71,355,12,32,"福島","徳山","仙台","山口宇部","仙台駅山口宇部駅",0,0,0,NA,NA,NA,113.523667,0,NA,55.652303,NA,NA,NA
"1179",1179,11,50,71,401,12,37,"福島","福岡","福島","博多","福島駅博多駅",3,14,393,31960,1,294,3.131583,1,0,1.753659,0.214285714285714,0.428571428571429,0.214285714285714
"1180",1180,11,50,71,401,12,37,"福島","福岡","仙台","福岡","仙台駅福岡駅",5,14,105,21750,1825,300,61.903062,0,2,4.031698,0.357142857142857,0.428571428571429,0.357142857142857
"1181",1181,11,51,71,402,12,37,"福島","北九州","福島","小倉","福島駅小倉駅",0,2,376,30680,1,328,2.122397333,1,0,0.744473333,0,0.5,0.001
"1182",1182,11,51,71,402,12,37,"福島","北九州","仙台","福岡","仙台駅福岡駅",1,2,105,21750,1825,300,103.00074,0,2,45.129376,0.5,0.5,0.5
"1183",1183,11,52,71,432,12,41,"福島","八代・芦北","福島","新八代","福島駅新八代駅",0,0,493,33700,1,94,3.874435667,1,0,2.496511667,NA,NA,NA
"1184",1184,11,52,71,432,12,41,"福島","八代・芦北","仙台","熊本","仙台駅熊本駅",0,0,0,NA,NA,NA,96.6527325,0,NA,38.7813685,NA,NA,NA
"1185",1185,11,53,71,461,12,44,"福島","鹿児島","福島","鹿児島中央","福島駅鹿児島中央駅",0,1,538,36280,1,4,3.292488167,1,0,1.914564167,0,1,0.001
"1186",1186,11,53,71,461,12,44,"福島","鹿児島","仙台","鹿児島","仙台駅鹿児島駅",0,1,0,NA,NA,NA,83.07658917,0,NA,25.20522517,0,1,0.001
"1187",1187,11,54,71,462,12,44,"福島","川北薩・串木野","福島","川内","福島駅川内駅",0,0,526,35640,1,28,2.211898167,1,0,0.833974167,NA,NA,NA
"1188",1188,11,54,71,462,12,44,"福島","川北薩・串木野","仙台","鹿児島","仙台駅鹿児島駅",0,0,0,NA,NA,NA,93.08075417,0,NA,35.20939017,NA,NA,NA
"1189",1189,12,1,73,22,17,10,"郡山","南部","郡山","八戸","郡山駅八戸駅",6,12,78,13600,1,924,9.989086,1,0,4.994543,0.5,0.5,0.5
"1190",1190,12,1,73,22,17,10,"郡山","南部","福島","三沢","福島駅三沢駅",0,12,0,NA,NA,NA,45.047698,0,NA,22.523849,0,0.5,0.001
"1191",1191,12,2,73,31,17,11,"郡山","盛岡","郡山","盛岡","郡山駅盛岡駅",31,54,116,10800,1,848,6.519236,1,0,1.524693,0.574074074074074,0.425925925925926,0.574074074074074
"1192",1192,12,2,73,31,17,11,"郡山","盛岡","福島","花巻","福島駅花巻駅",0,54,0,NA,NA,NA,53.741119,0,NA,31.21727,0,0.425925925925926,0.001
"1193",1193,12,3,73,32,17,11,"郡山","北上中部","郡山","新花巻","郡山駅新花巻駅",2,19,104,9500,1,872,10.20079,1,0,5.206247,0.105263157894737,0.894736842105263,0.105263157894737
"1194",1194,12,3,73,32,17,11,"郡山","北上中部","福島","花巻","福島駅花巻駅",0,19,0,NA,NA,NA,26.456241,0,NA,3.932392,0,0.894736842105263,0.001
"1195",1195,12,4,73,33,17,11,"郡山","両磐","郡山","一ノ関","郡山駅一ノ関駅",1,13,76,7340,1,928,6.379024,1,0,1.384481,0.0769230769230769,0.923076923076923,0.0769230769230769
"1196",1196,12,4,73,33,17,11,"郡山","両磐","福島","花巻","福島駅花巻駅",0,13,0,NA,NA,NA,76.497531,0,NA,53.973682,0,0.923076923076923,0.001
"1197",1197,12,5,73,41,17,12,"郡山","仙台","郡山","仙台","郡山駅仙台駅",337,1438,36,4540,1,1008,6.313003,1,0,1.31846,0.234353268428373,0.765646731571627,0.234353268428373
"1198",1198,12,5,73,41,17,12,"郡山","仙台","福島","仙台","福島駅仙台駅",0,1438,0,NA,NA,NA,37.81483,0,NA,15.290981,0,0.765646731571627,0.001
"1199",1199,12,6,73,43,17,12,"郡山","古川","郡山","くりこま高原","郡山駅くりこま高原駅",2,46,64,6700,1,952,10.058551,1,0,5.064008,0.0434782608695652,0.956521739130435,0.0434782608695652
"1200",1200,12,6,73,43,17,12,"郡山","古川","福島","仙台","福島駅仙台駅",0,46,0,NA,NA,NA,88.601564,0,NA,66.077715,0,0.956521739130435,0.001
"1201",1201,12,7,73,51,17,13,"郡山","秋田臨海","郡山","秋田","郡山駅秋田駅",8,19,211,14040,1,658,7.306077,1,0,2.311534,0.421052631578947,0.578947368421053,0.421052631578947
"1202",1202,12,7,73,51,17,13,"郡山","秋田臨海","福島","秋田","福島駅秋田駅",0,19,0,NA,NA,NA,37.85337,0,NA,15.329521,0,0.578947368421053,0.001
"1203",1203,12,8,73,61,17,15,"郡山","山形","郡山","山形","郡山駅山形駅",3,130,85,4540,1,910,6.313151,1,0,1.318608,0.0230769230769231,0.976923076923077,0.0230769230769231
"1204",1204,12,8,73,61,17,15,"郡山","山形","福島","山形","福島駅山形駅",0,130,0,NA,NA,NA,39.893131,0,NA,17.369282,0,0.976923076923077,0.001
"1205",1205,12,9,73,63,17,12,"郡山","米沢","郡山","米沢","郡山駅米沢駅",0,285,51,2980,1,978,6.749546,1,0,1.755003,0,1,0.001
"1206",1206,12,9,73,63,17,12,"郡山","米沢","福島","仙台","福島駅仙台駅",0,285,0,NA,NA,NA,97.816302,0,NA,75.292453,0,1,0.001
"1207",1207,12,10,73,64,17,12,"郡山","新庄","郡山","新庄","郡山駅新庄駅",1,3,133,6700,1,814,3.02702,1,0,0.439995,0.333333333333333,0.666666666666667,0.333333333333333
"1208",1208,12,10,73,64,17,12,"郡山","新庄","福島","仙台","福島駅仙台駅",0,3,0,NA,NA,NA,110.243396,0,NA,88.506228,0,0.666666666666667,0.001
"1209",1209,12,11,73,71,17,12,"郡山","福島","郡山","福島","郡山駅福島駅",0,0,15,1680,1,1050,4.567718833,1,0,1.980693833,NA,NA,NA
"1210",1210,12,11,73,71,17,12,"郡山","福島","福島","仙台","福島駅仙台駅",0,0,0,NA,NA,NA,73.7172795,0,NA,51.9801115,NA,NA,NA
"1211",1211,12,12,73,73,17,17,"郡山","郡山","郡山","郡山","郡山駅郡山駅",0,0,0,NA,1,1080,5.575303,1,0,2.988278,NA,NA,NA
"1212",1212,12,12,73,73,17,17,"郡山","郡山","福島","福島","福島駅福島駅",0,0,0,NA,NA,NA,43.6054495,0,NA,21.8682815,NA,NA,NA
"1213",1213,12,13,73,76,17,17,"郡山","白河","郡山","新白河","郡山駅新白河駅",0,0,12,1520,1,1056,5.139004667,1,0,2.551979667,NA,NA,NA
"1214",1214,12,13,73,76,17,17,"郡山","白河","福島","福島","福島駅福島駅",0,0,0,NA,NA,NA,45.2911345,0,NA,23.5539665,NA,NA,NA
"1215",1215,12,14,73,91,17,18,"郡山","宇都宮","郡山","宇都宮","郡山駅宇都宮駅",54,324,27,3880,1,1026,4.735934667,1,0,2.148909667,0.166666666666667,0.833333333333333,0.166666666666667
"1216",1216,12,14,73,91,17,18,"郡山","宇都宮","福島","羽田","福島駅羽田駅",0,324,0,NA,NA,NA,118.72551033,0,NA,96.98834233,0,0.833333333333333,0.001
"1217",1217,12,15,73,93,17,18,"郡山","栃木・小山","郡山","小山","郡山駅小山駅",20,98,55,5180,1,970,12.028127259,1,0,9.441102259,0.204081632653061,0.795918367346939,0.204081632653061
"1218",1218,12,15,73,93,17,18,"郡山","栃木・小山","福島","羽田","福島駅羽田駅",0,98,0,NA,NA,NA,109.01983181,0,NA,87.28266381,0,0.795918367346939,0.001
"1219",1219,12,16,73,95,17,18,"郡山","那須","郡山","那須塩原","郡山駅那須塩原駅",8,727,27,2280,1,1026,9.494361,1,0,6.907336,0.0110041265474553,0.988995873452545,0.0110041265474553
"1220",1220,12,16,73,95,17,18,"郡山","那須","福島","羽田","福島駅羽田駅",0,727,0,NA,NA,NA,169.803234,0,NA,148.066066,0,0.988995873452545,0.001
"1221",1221,12,17,73,101,17,18,"郡山","前橋・高崎","郡山","高崎","郡山駅高崎駅",5,40,76,4540,1,928,11.462861,1,0,8.875836,0.125,0.875,0.125
"1222",1222,12,17,73,101,17,18,"郡山","前橋・高崎","福島","羽田","福島駅羽田駅",0,40,0,NA,NA,NA,135.453475,0,NA,113.716307,0,0.875,0.001
"1223",1223,12,18,73,104,17,18,"郡山","沼田・利根","郡山","上毛高原","郡山駅上毛高原駅",5,7,101,2640,1,878,11.117692,1,0,8.530667,0.714285714285714,0.285714285714286,0.714285714285714
"1224",1224,12,18,73,104,17,18,"郡山","沼田・利根","福島","羽田","福島駅羽田駅",0,7,0,NA,NA,NA,160.528839,0,NA,138.791671,0,0.285714285714286,0.001
"1225",1225,12,19,73,111,17,18,"郡山","浦和","郡山","大宮","郡山駅大宮駅",161,409,52,6700,1,976,7.989222,1,0,5.402197,0.393643031784841,0.606356968215159,0.393643031784841
"1226",1226,12,19,73,111,17,18,"郡山","浦和","福島","羽田","福島駅羽田駅",0,409,0,NA,NA,NA,58.617743,0,NA,36.880575,0,0.606356968215159,0.001
"1227",1227,12,20,73,113,17,18,"郡山","児玉・大里","郡山","熊谷","郡山駅熊谷駅",7,15,66,6040,1,948,3.296387,1,0,0.709362,0.466666666666667,0.533333333333333,0.466666666666667
"1228",1228,12,20,73,113,17,18,"郡山","児玉・大里","福島","羽田","福島駅羽田駅",0,15,0,NA,NA,NA,97.157315,0,NA,75.420147,0,0.533333333333333,0.001
"1229",1229,12,21,73,131,17,18,"郡山","23区","郡山","東京","郡山駅東京駅",607,776,78,8000,1,924,NA,1,0,NA,0.782216494845361,0.217783505154639,0.782216494845361
"1230",1230,12,21,73,131,17,18,"郡山","23区","福島","羽田","福島駅羽田駅",0,776,0,NA,NA,NA,NA,0,NA,NA,0,0.217783505154639,0.001
"1231",1231,12,22,73,141,17,18,"郡山","横浜","郡山","新横浜","郡山駅新横浜駅",62,102,97,8860,1,886,8.4494405,1,0,5.8624155,0.607843137254902,0.392156862745098,0.607843137254902
"1232",1232,12,22,73,141,17,18,"郡山","横浜","福島","羽田","福島駅羽田駅",0,102,0,NA,NA,NA,41.920338,0,NA,20.18317,0,0.392156862745098,0.001
"1233",1233,12,23,73,144,17,18,"郡山","小田原","郡山","小田原","郡山駅小田原駅",6,9,118,10800,1,844,3.856603,1,0,1.269578,0.666666666666667,0.333333333333333,0.666666666666667
"1234",1234,12,23,73,144,17,18,"郡山","小田原","福島","羽田","福島駅羽田駅",0,9,0,NA,NA,NA,81.74883717,0,NA,60.01166917,0,0.333333333333333,0.001
"1235",1235,12,24,73,151,17,20,"郡山","新潟","郡山","新潟","郡山駅新潟駅",1,138,147,3880,1,786,4.693309667,1,0,2.106284667,0.0072463768115942,0.992753623188406,0.0072463768115942
"1236",1236,12,24,73,151,17,20,"郡山","新潟","福島","新潟","福島駅新潟駅",0,138,0,NA,NA,NA,33.85124717,0,NA,12.11407917,0,0.992753623188406,0.001
"1237",1237,12,25,73,152,17,20,"郡山","長岡","郡山","長岡","郡山駅長岡駅",0,16,124,1520,1,832,2.877968,1,0,0.290943,0,1,0.001
"1238",1238,12,25,73,152,17,20,"郡山","長岡","福島","新潟","福島駅新潟駅",0,16,0,NA,NA,NA,80.58573059,0,NA,58.84856259,0,1,0.001
"1239",1239,12,26,73,154,17,20,"郡山","三条・燕","郡山","燕三条","郡山駅燕三条駅",0,35,135,2280,1,810,4.341235,1,0,1.75421,0,1,0.001
"1240",1240,12,26,73,154,17,20,"郡山","三条・燕","福島","新潟","福島駅新潟駅",0,35,0,NA,NA,NA,59.62428,0,NA,37.887112,0,1,0.001
"1241",1241,12,27,73,155,17,20,"郡山","魚沼","郡山","浦佐","郡山駅浦佐駅",0,3,114,280,1,852,18.021162,1,0,15.434137,0,1,0.001
"1242",1242,12,27,73,155,17,20,"郡山","魚沼","福島","新潟","福島駅新潟駅",0,3,0,NA,NA,NA,118.966173,0,NA,97.229005,0,1,0.001
"1243",1243,12,28,73,201,17,18,"郡山","長野","郡山","長野","郡山駅長野駅",5,10,138,380,1,804,3.667053,1,0,1.080028,0.5,0.5,0.5
"1244",1244,12,28,73,201,17,18,"郡山","長野","福島","羽田","福島駅羽田駅",0,10,0,NA,NA,NA,209.968169,0,NA,188.231001,0,0.5,0.001
"1245",1245,12,29,73,203,17,24,"郡山","上田","郡山","上田","郡山駅上田駅",5,8,126,1340,1,828,3.120429,1,0,0.533404,0.625,0.375,0.625
"1246",1246,12,29,73,203,17,24,"郡山","上田","福島","名古屋","福島駅名古屋駅",0,8,0,NA,NA,NA,236.989049,0,NA,215.251881,0,0.375,0.001
"1247",1247,12,30,73,211,17,24,"郡山","岐阜","郡山","岐阜羽島","郡山駅岐阜羽島駅",1,1,258,19220,1,564,16.807695,1,0,14.22067,1,0,0.999
"1248",1248,12,30,73,211,17,24,"郡山","岐阜","福島","名古屋","福島駅名古屋駅",0,1,0,NA,NA,NA,84.543874,0,NA,62.806706,0,0,0.001
"1249",1249,12,31,73,221,17,18,"郡山","中部","郡山","静岡","郡山駅静岡駅",1,3,146,13600,1,788,3.960967,1,0,1.373942,0.333333333333333,0.666666666666667,0.333333333333333
"1250",1250,12,31,73,221,17,18,"郡山","中部","福島","羽田","福島駅羽田駅",0,3,0,NA,NA,NA,141.3338633,0,NA,119.5966953,0,0.666666666666667,0.001
"1251",1251,12,32,73,222,17,24,"郡山","西部","郡山","浜松","郡山駅浜松駅",1,2,172,15760,1,736,4.362471167,1,0,1.775446167,0.5,0.5,0.5
"1252",1252,12,32,73,222,17,24,"郡山","西部","福島","名古屋","福島駅名古屋駅",0,2,0,NA,NA,NA,93.688265,0,NA,71.951097,0,0.5,0.001
"1253",1253,12,33,73,223,17,18,"郡山","東部","郡山","三島","郡山駅三島駅",9,16,140,11880,1,800,8.1199595,1,0,5.5329345,0.5625,0.4375,0.5625
"1254",1254,12,33,73,223,17,18,"郡山","東部","福島","羽田","福島駅羽田駅",0,16,0,NA,NA,NA,103.97160833,0,NA,82.23444033,0,0.4375,0.001
"1255",1255,12,34,73,231,17,24,"郡山","名古屋","郡山","名古屋","郡山駅名古屋駅",11,12,177,18580,1,726,5.527885333,1,0,2.940860333,0.916666666666667,0.0833333333333334,0.916666666666667
"1256",1256,12,34,73,231,17,24,"郡山","名古屋","福島","名古屋","福島駅名古屋駅",0,12,0,NA,NA,NA,53.116245,0,NA,31.379077,0,0.0833333333333334,0.001
"1257",1257,12,35,73,232,17,24,"郡山","東三河","郡山","豊橋","郡山駅豊橋駅",7,7,215,16840,1,650,4.082288667,1,0,1.495263667,1,0,0.999
"1258",1258,12,35,73,232,17,24,"郡山","東三河","福島","名古屋","福島駅名古屋駅",0,7,0,NA,NA,NA,72.25465722,0,NA,50.51748922,0,0,0.001
"1259",1259,12,36,73,233,17,24,"郡山","豊田","郡山","三河安城","郡山駅三河安城駅",7,10,234,17920,1,612,12.895389,1,0,10.308364,0.7,0.3,0.7
"1260",1260,12,36,73,233,17,24,"郡山","豊田","福島","名古屋","福島駅名古屋駅",0,10,0,NA,NA,NA,56.670502,0,NA,34.933334,0,0.3,0.001
"1261",1261,12,37,73,252,17,25,"郡山","東北部","郡山","米原","郡山駅米原駅",0,0,277,19660,1,526,8.019383,1,0,5.432358,NA,NA,NA
"1262",1262,12,37,73,252,17,25,"郡山","東北部","福島","関西国際","福島駅関西国際駅",0,0,0,NA,NA,NA,151.939341,0,NA,130.202173,NA,NA,NA
"1263",1263,12,38,73,261,17,25,"郡山","京都","郡山","京都","郡山駅京都駅",7,8,213,20960,1,654,5.103156,1,0,2.516131,0.875,0,0.875
"1264",1264,12,38,73,261,17,25,"郡山","京都","福島","関西国際","福島駅関西国際駅",1,8,0,NA,NA,NA,100.179594,0,NA,78.442426,0.125,0,0.125
"1265",1265,12,39,73,271,17,25,"郡山","大阪","郡山","新大阪","郡山駅新大阪駅",11,22,228,21600,1,624,3.692146,1,0,1.105121,0.5,0.0454545454545454,0.5
"1266",1266,12,39,73,271,17,25,"郡山","大阪","福島","関西国際","福島駅関西国際駅",10,22,0,NA,NA,NA,57.614657,0,NA,35.877489,0.454545454545455,0.0454545454545454,0.454545454545455
"1267",1267,12,40,73,281,17,25,"郡山","神戸","郡山","新神戸","郡山駅新神戸駅",1,10,241,22240,1,598,4.313432,1,0,1.726407,0.1,0.5,0.1
"1268",1268,12,40,73,281,17,25,"郡山","神戸","福島","関西国際","福島駅関西国際駅",4,10,0,NA,NA,NA,49.981429,0,NA,28.244261,0.4,0.5,0.4
"1269",1269,12,41,73,283,17,25,"郡山","播磨","郡山","姫路","郡山駅姫路駅",0,30,258,22680,1,564,4.016272667,1,0,1.429247667,0,0.966666666666667,0.001
"1270",1270,12,41,73,283,17,25,"郡山","播磨","福島","関西国際","福島駅関西国際駅",1,30,0,NA,NA,NA,86.51846167,0,NA,64.78129367,0.0333333333333333,0.966666666666667,0.0333333333333333
"1271",1271,12,42,73,331,17,30,"郡山","県南","郡山","岡山","郡山駅岡山駅",5,5,273,23980,1,534,3.776395167,1,0,1.189370167,1,0,0.999
"1272",1272,12,42,73,331,17,30,"郡山","県南","福島","岡山","福島駅岡山駅",0,5,0,NA,NA,NA,41.42128667,0,NA,19.68411867,0,0,0.001
"1273",1273,12,43,73,341,17,31,"郡山","広島","郡山","広島","郡山駅広島駅",6,7,314,27000,1,452,4.6918485,1,0,2.1048235,0.857142857142857,0,0.857142857142857
"1274",1274,12,43,73,341,17,31,"郡山","広島","福島","広島","福島駅広島駅",1,7,0,NA,NA,NA,66.86068417,0,NA,45.12351617,0.142857142857143,0,0.142857142857143
"1275",1275,12,44,73,342,17,31,"郡山","備後","郡山","福山","郡山駅福山駅",1,1,291,25280,1,498,3.154290167,1,0,0.567265167,1,0,0.999
"1276",1276,12,44,73,342,17,31,"郡山","備後","福島","広島","福島駅広島駅",0,1,0,NA,NA,NA,64.7376075,0,NA,43.0004395,0,0,0.001
"1277",1277,12,45,73,351,17,32,"郡山","山口","郡山","新山口","郡山駅新山口駅",2,2,342,28940,1,396,13.48262174,1,0,10.89559674,1,0,0.999
"1278",1278,12,45,73,351,17,32,"郡山","山口","福島","山口宇部","福島駅山口宇部駅",0,2,0,NA,NA,NA,56.34888148,0,NA,34.61171348,0,0,0.001
"1279",1279,12,46,73,352,17,32,"郡山","下関","郡山","新下関","郡山駅新下関駅",0,1,485,29600,1,110,8.060731,1,0,5.473706,0,0,0.001
"1280",1280,12,46,73,352,17,32,"郡山","下関","福島","山口宇部","福島駅山口宇部駅",1,1,0,NA,NA,NA,52.910393,0,NA,31.173225,1,0,0.999
"1281",1281,12,47,73,353,17,32,"郡山","宇部","郡山","厚狭","郡山駅厚狭駅",0,0,474,29600,1,132,16.169422,1,0,13.582397,NA,NA,NA
"1282",1282,12,47,73,353,17,32,"郡山","宇部","福島","山口宇部","福島駅山口宇部駅",0,0,0,NA,NA,NA,25.348061,0,NA,3.610893,NA,NA,NA
"1283",1283,12,48,73,354,17,32,"郡山","岩国","郡山","新岩国","郡山駅新岩国駅",3,3,424,27640,1,232,9.071686,1,0,6.484661,1,0,0.999
"1284",1284,12,48,73,354,17,32,"郡山","岩国","福島","山口宇部","福島駅山口宇部駅",0,3,0,NA,NA,NA,112.682577,0,NA,90.945409,0,0,0.001
"1285",1285,12,49,73,355,17,32,"郡山","徳山","郡山","徳山","郡山駅徳山駅",0,0,339,28300,1,402,9.877649,1,0,7.290624,NA,NA,NA
"1286",1286,12,49,73,355,17,32,"郡山","徳山","福島","山口宇部","福島駅山口宇部駅",0,0,0,NA,NA,NA,77.389471,0,NA,55.652303,NA,NA,NA
"1287",1287,12,50,73,401,17,37,"郡山","福岡","郡山","博多","郡山駅博多駅",5,11,378,31320,1,324,4.340684,1,0,1.753659,0.454545454545455,0,0.454545454545455
"1288",1288,12,50,73,401,17,37,"郡山","福岡","福島","福岡","福島駅福岡駅",6,11,0,NA,NA,NA,25.768866,0,NA,4.031698,0.545454545454545,0,0.545454545454545
"1289",1289,12,51,73,402,17,37,"郡山","北九州","郡山","小倉","郡山駅小倉駅",0,3,361,30020,1,358,3.331498333,1,0,0.744473333,0,0,0.001
"1290",1290,12,51,73,402,17,37,"郡山","北九州","福島","福岡","福島駅福岡駅",3,3,0,NA,NA,NA,66.866544,0,NA,45.129376,1,0,0.999
"1291",1291,12,52,73,432,17,41,"郡山","八代・芦北","郡山","新八代","郡山駅新八代駅",0,0,478,33040,1,124,5.083536667,1,0,2.496511667,NA,NA,NA
"1292",1292,12,52,73,432,17,41,"郡山","八代・芦北","福島","熊本","福島駅熊本駅",0,0,0,NA,NA,NA,60.5185365,0,NA,38.7813685,NA,NA,NA
"1293",1293,12,53,73,461,17,44,"郡山","鹿児島","郡山","鹿児島中央","郡山駅鹿児島中央駅",10,14,523,35640,1,34,4.501589167,1,0,1.914564167,0.714285714285714,0,0.714285714285714
"1294",1294,12,53,73,461,17,44,"郡山","鹿児島","福島","鹿児島","福島駅鹿児島駅",4,14,0,NA,NA,NA,46.94239317,0,NA,25.20522517,0.285714285714286,0,0.285714285714286
"1295",1295,12,54,73,462,17,44,"郡山","川北薩・串木野","郡山","川内","郡山駅川内駅",0,0,511,35000,1,58,3.420999167,1,0,0.833974167,NA,NA,NA
"1296",1296,12,54,73,462,17,44,"郡山","川北薩・串木野","福島","鹿児島","福島駅鹿児島駅",0,0,0,NA,NA,NA,56.94655817,0,NA,35.20939017,NA,NA,NA
"1297",1297,13,1,76,22,17,10,"白河","南部","新白河","八戸","新白河駅八戸駅",2,4,85,14680,1,910,9.989086,1,0,4.994543,0.5,0.5,0.5
