"","rk","i","j","X207ゾーンi","X207ゾーンj","X47ゾーンi","X47ゾーンj","X207ゾーン名i","X207ゾーン名j","最寄りi","最寄りj","X","x_ij.k","ODij","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","鉄道ダミー","エアライン参入数","V22","prob","out.share","share"
"35",35,1,18,22,104,10,18,"南部","沼田・利根","八戸","上毛高原","八戸駅上毛高原駅",0,0,234,15760,1,612,13.52521,1,0,8.530667,NA,NA,NA
"36",36,1,18,22,104,10,18,"南部","沼田・利根","三沢","羽田","三沢駅羽田駅",0,0,80,14750,1095,350,161.31552,0,1,138.791671,NA,NA,NA
"37",37,1,19,22,111,10,18,"南部","浦和","八戸","大宮","八戸駅大宮駅",41,55,185,19220,1,710,10.39674,1,0,5.402197,0.745454545454545,0.236363636363636,0.745454545454545
"38",38,1,19,22,111,10,18,"南部","浦和","三沢","羽田","三沢駅羽田駅",1,55,80,14750,1095,350,59.404424,0,1,36.880575,0.0181818181818182,0.236363636363636,0.0181818181818182
"39",39,1,20,22,113,10,18,"南部","児玉・大里","八戸","熊谷","八戸駅熊谷駅",1,1,199,17920,1,682,5.703905,1,0,0.709362,1,0,0.999
"40",40,1,20,22,113,10,18,"南部","児玉・大里","三沢","羽田","三沢駅羽田駅",0,1,80,14750,1095,350,97.943996,0,1,75.420147,0,0,0.001
"41",41,1,21,22,131,10,18,"南部","23区","八戸","東京","八戸駅東京駅",356,413,211,19220,1,658,NA,1,0,NA,0.861985472154964,0.0532687651331719,0.861985472154964
"42",42,1,21,22,131,10,18,"南部","23区","三沢","羽田","三沢駅羽田駅",35,413,80,14750,1095,350,NA,0,1,NA,0.0847457627118644,0.0532687651331719,0.0847457627118644
"43",43,1,22,22,141,10,18,"南部","横浜","八戸","新横浜","八戸駅新横浜駅",42,55,230,19660,1,620,10.8569585,1,0,5.8624155,0.763636363636364,0.0545454545454545,0.763636363636364
"44",44,1,22,22,141,10,18,"南部","横浜","三沢","羽田","三沢駅羽田駅",10,55,80,14750,1095,350,42.707019,0,1,20.18317,0.181818181818182,0.0545454545454545,0.181818181818182
"45",45,1,23,22,144,10,18,"南部","小田原","八戸","小田原","八戸駅小田原駅",2,4,251,20300,1,578,6.264121,1,0,1.269578,0.5,0.5,0.5
