,,origin,destination,airline,railway,ship,bus,car,all
3,40,函館,対馬,0,0,0,0,0,0
3,41,函館,熊本,6,1,0,0,1,8
3,42,函館,大分,2,0,0,0,0,2
3,43,函館,宮崎,4,0,0,0,0,4
3,44,函館,鹿児島,5,0,0,0,0,5
3,45,函館,奄美大島,0,0,0,0,0,0
3,46,函館,那覇,25,0,0,0,0,25
3,47,函館,石垣島,1,0,0,0,0,1
4,1,旭川,稚内,0,0,0,0,0,0
4,2,旭川,釧路,1,5,0,0,80,80
4,3,旭川,函館,5,16,0,0,0,0
4,4,旭川,旭川,0,0,0,0,0,0
4,5,旭川,帯広,0,4,0,0,0,0
4,6,旭川,根室中標津,0,1,0,0,34,34
4,7,旭川,女満別,0,0,0,0,0,0
4,8,旭川,新千歳,8,994,0,35,240,315
4,9,旭川,青森,1,3,0,0,0,0
4,10,旭川,三沢,0,3,0,0,0,0
4,11,旭川,花巻,2,3,0,0,0,0
4,12,旭川,仙台,9,3,0,0,0,1
4,13,旭川,秋田,1,2,1,0,0,0
4,14,旭川,大館,0,0,0,0,0,0
4,15,旭川,山形,1,1,0,0,0,0
4,16,旭川,庄内,0,0,0,0,0,0
4,17,旭川,福島,1,0,0,0,0,0
4,18,旭川,羽田,327,24,3,0,0,29
4,19,旭川,八丈島,0,0,0,0,0,0
4,20,旭川,新潟,2,1,0,0,0,0
4,21,旭川,富山,0,0,0,0,0,0
4,22,旭川,小松,4,2,5,1,0,1
4,23,旭川,松本,2,0,0,0,0,0
4,24,旭川,名古屋,29,10,1,0,5,8
4,25,旭川,関西国際,69,19,3,0,0,4
4,26,旭川,鳥取,0,0,0,0,0,0
4,27,旭川,米子,0,0,0,0,0,0
4,28,旭川,出雲,0,0,0,0,0,0
4,29,旭川,石見,0,0,0,0,0,0
4,30,旭川,岡山,2,0,0,0,0,0
4,31,旭川,広島,5,1,0,0,0,0
4,32,旭川,山口宇部,0,0,0,0,0,0
4,33,旭川,徳島,2,1,0,0,0,0
4,34,旭川,高松,0,0,0,0,0,0
4,35,旭川,松山,1,0,0,0,0,0
4,36,旭川,高知,1,0,0,0,0,0
4,37,旭川,福岡,9,1,0,0,0,1
4,38,旭川,長崎,2,1,0,0,0,1
4,39,旭川,五島福江,0,0,0,0,0,0
4,40,旭川,対馬,0,0,0,0,0,0
4,41,旭川,熊本,2,0,0,0,0,0
4,42,旭川,大分,1,0,0,0,0,0
4,43,旭川,宮崎,1,0,0,0,0,0
4,44,旭川,鹿児島,3,2,0,0,0,0
4,45,旭川,奄美大島,0,0,0,0,0,0
4,46,旭川,那覇,18,0,0,0,0,1
4,47,旭川,石垣島,0,0,0,0,0,0
5,1,帯広,稚内,1,0,0,0,0,1
5,2,帯広,釧路,0,0,0,0,0,0
5,3,帯広,函館,0,10,0,1,3,16
5,4,帯広,旭川,0,4,0,2,48,55
5,5,帯広,帯広,0,0,0,0,0,0
5,6,帯広,根室中標津,0,0,0,0,0,0
5,7,帯広,女満別,0,1,0,5,554,558
5,8,帯広,新千歳,1,429,0,14,331,677
5,9,帯広,青森,0,2,0,1,1,8
5,10,帯広,三沢,0,5,0,0,0,3
5,11,帯広,花巻,1,0,0,1,0,4
5,12,帯広,仙台,5,2,0,0,2,9
5,13,帯広,秋田,2,1,0,0,2,4
5,14,帯広,大館,0,0,0,0,0,0
5,15,帯広,山形,2,0,0,0,1,5
5,16,帯広,庄内,0,1,0,0,0,0
5,17,帯広,福島,1,0,0,0,0,0
5,18,帯広,羽田,182,12,1,29,45,273
5,19,帯広,八丈島,0,0,0,0,0,0
5,20,帯広,新潟,2,1,1,0,2,10
5,21,帯広,富山,0,0,0,0,0,1
5,22,帯広,小松,1,1,0,1,0,3
5,23,帯広,松本,0,0,0,0,0,0
5,24,帯広,名古屋,25,8,0,0,4,21
5,25,帯広,関西国際,39,7,0,13,13,52
5,26,帯広,鳥取,0,0,0,0,1,1
5,27,帯広,米子,0,0,0,0,0,0
5,28,帯広,出雲,0,0,0,0,0,0
5,29,帯広,石見,0,0,0,0,0,0
5,30,帯広,岡山,0,1,0,0,0,1
5,31,帯広,広島,6,0,0,0,0,3
5,32,帯広,山口宇部,1,3,0,0,0,4
5,33,帯広,徳島,2,0,0,0,0,2
5,34,帯広,高松,1,0,0,1,1,2
5,35,帯広,松山,0,0,0,0,0,0
5,36,帯広,高知,0,0,0,0,0,2
5,37,帯広,福岡,5,4,0,0,0,10
5,38,帯広,長崎,1,0,0,0,1,3
5,39,帯広,五島福江,0,0,0,0,0,0
5,40,帯広,対馬,0,0,0,0,0,0
5,41,帯広,熊本,1,0,0,0,0,1
5,42,帯広,大分,1,0,0,0,0,8
5,43,帯広,宮崎,0,1,0,0,0,2
5,44,帯広,鹿児島,1,0,0,0,0,2
5,45,帯広,奄美大島,0,0,0,0,0,0
5,46,帯広,那覇,10,0,0,0,0,9
5,47,帯広,石垣島,1,0,0,0,0,0
6,1,根室中標津,稚内,0,0,0,0,7,8
6,2,根室中標津,釧路,0,0,0,0,0,0
6,3,根室中標津,函館,0,0,0,0,11,21
6,4,根室中標津,旭川,0,1,0,9,329,342
6,5,根室中標津,帯広,0,0,0,0,0,0
6,6,根室中標津,根室中標津,0,0,0,0,0,0
6,7,根室中標津,女満別,0,0,0,0,1038,1038
6,8,根室中標津,新千歳,35,22,0,42,2078,2552
6,9,根室中標津,青森,0,0,0,0,0,2
6,10,根室中標津,三沢,0,1,0,0,0,6
6,11,根室中標津,花巻,1,0,0,0,0,1
6,12,根室中標津,仙台,0,0,0,0,0,8
6,13,根室中標津,秋田,0,0,0,0,0,3
6,14,根室中標津,大館,0,0,0,0,0,0
6,15,根室中標津,山形,0,0,0,0,0,2
6,16,根室中標津,庄内,0,0,0,0,0,1
6,17,根室中標津,福島,0,0,0,0,4,4
6,18,根室中標津,羽田,41,1,0,0,0,197
6,19,根室中標津,八丈島,0,0,0,0,0,0
6,20,根室中標津,新潟,0,0,0,0,0,4
6,21,根室中標津,富山,0,0,0,0,0,0
6,22,根室中標津,小松,0,0,0,0,0,2
6,23,根室中標津,松本,0,0,0,1,0,1
6,24,根室中標津,名古屋,1,0,0,0,0,34
6,25,根室中標津,関西国際,3,0,0,0,0,47
6,26,根室中標津,鳥取,0,0,0,0,0,0
6,27,根室中標津,米子,0,0,0,0,0,0
6,28,根室中標津,出雲,0,0,0,0,0,0
6,29,根室中標津,石見,0,0,0,0,0,0
6,30,根室中標津,岡山,0,0,0,0,0,1
6,31,根室中標津,広島,1,0,0,0,0,7
6,32,根室中標津,山口宇部,0,0,0,0,0,4
6,33,根室中標津,徳島,1,0,0,0,0,2
6,34,根室中標津,高松,0,0,0,0,0,1
6,35,根室中標津,松山,0,0,0,0,0,0
6,36,根室中標津,高知,0,0,0,0,0,0
6,37,根室中標津,福岡,1,0,0,0,0,7
6,38,根室中標津,長崎,0,0,0,0,0,1
6,39,根室中標津,五島福江,0,0,0,0,0,0
6,40,根室中標津,対馬,0,0,0,0,0,0
6,41,根室中標津,熊本,0,0,0,0,0,1
6,42,根室中標津,大分,0,0,0,0,0,1
6,43,根室中標津,宮崎,0,0,0,0,0,1
6,44,根室中標津,鹿児島,0,0,0,0,0,1
6,45,根室中標津,奄美大島,0,0,0,0,0,0
6,46,根室中標津,那覇,0,0,0,0,0,10
6,47,根室中標津,石垣島,0,0,0,0,0,1
7,1,女満別,稚内,0,0,0,0,0,0
7,2,女満別,釧路,0,0,0,4,32,41
7,3,女満別,函館,1,1,0,1,15,34
7,4,女満別,旭川,0,0,0,0,0,0
7,5,女満別,帯広,0,1,0,13,148,166
7,6,女満別,根室中標津,0,0,0,0,11,12
7,7,女満別,女満別,0,0,0,0,0,0
7,8,女満別,新千歳,46,160,0,234,6139,7302
7,9,女満別,青森,0,7,0,0,0,3
7,10,女満別,三沢,0,0,0,0,0,3
7,11,女満別,花巻,1,0,0,0,1,7
7,12,女満別,仙台,3,1,0,0,1,15
7,13,女満別,秋田,1,0,0,1,0,4
7,14,女満別,大館,0,0,0,0,0,0
7,15,女満別,山形,0,0,0,1,1,3
7,16,女満別,庄内,0,0,0,0,0,0
7,17,女満別,福島,0,0,0,0,0,1
7,18,女満別,羽田,182,1,0,43,93,488
7,19,女満別,八丈島,0,0,0,0,0,0
7,20,女満別,新潟,0,0,0,1,1,5
7,21,女満別,富山,0,0,0,0,1,1
7,22,女満別,小松,1,0,0,1,2,15
7,23,女満別,松本,0,0,3,0,0,2
7,24,女満別,名古屋,34,0,0,3,5,47
7,25,女満別,関西国際,48,1,1,9,11,115
7,26,女満別,鳥取,0,0,0,0,0,0
7,27,女満別,米子,0,0,0,0,0,0
7,28,女満別,出雲,0,0,0,0,0,0
7,29,女満別,石見,0,0,0,0,0,0
7,30,女満別,岡山,1,0,0,0,1,3
7,31,女満別,広島,2,0,0,0,0,6
7,32,女満別,山口宇部,0,0,0,0,0,0
7,33,女満別,徳島,1,0,0,0,0,3
7,34,女満別,高松,1,0,0,0,0,0
7,35,女満別,松山,0,0,0,0,0,1
7,36,女満別,高知,0,0,0,0,0,1
7,37,女満別,福岡,4,0,0,0,1,10
7,38,女満別,長崎,2,0,1,0,1,4
7,39,女満別,五島福江,0,0,0,0,0,0
7,40,女満別,対馬,0,0,0,0,0,0
7,41,女満別,熊本,1,0,0,0,0,2
7,42,女満別,大分,0,0,0,0,0,2
7,43,女満別,宮崎,3,0,0,0,0,1
7,44,女満別,鹿児島,4,0,0,0,2,9
7,45,女満別,奄美大島,0,0,0,0,0,0
7,46,女満別,那覇,4,0,0,0,0,19
7,47,女満別,石垣島,0,0,0,0,0,0
8,1,新千歳,稚内,19,60,0,21,236,339
8,2,新千歳,釧路,42,287,0,18,330,679
8,3,新千歳,函館,51,614,1,49,2094,2815
8,4,新千歳,旭川,8,994,0,204,6121,7330
8,5,新千歳,帯広,1,429,0,44,1836,2310
8,6,新千歳,根室中標津,35,22,0,22,42,122
8,7,新千歳,女満別,48,160,0,117,1348,1675
8,8,新千歳,新千歳,0,80,0,183,2545,2998
8,9,新千歳,青森,29,37,11,1,11,94
8,10,新千歳,三沢,7,23,37,0,0,69
8,11,新千歳,花巻,37,13,7,2,4,64
8,12,新千歳,仙台,262,11,21,0,58,353
8,13,新千歳,秋田,33,4,8,0,5,53
8,14,新千歳,大館,2,1,7,0,0,10
8,15,新千歳,山形,16,1,2,2,8,29
8,16,新千歳,庄内,8,0,0,0,0,8
8,17,新千歳,福島,30,4,0,2,0,36
8,18,新千歳,羽田,4020,233,28,271,227,4828
8,19,新千歳,八丈島,1,0,0,0,0,1
8,20,新千歳,新潟,64,4,12,0,0,78
8,21,新千歳,富山,34,1,2,2,1,40
8,22,新千歳,小松,44,4,0,1,3,53
8,23,新千歳,松本,17,0,0,0,0,17
8,24,新千歳,名古屋,483,39,8,8,28,574
8,25,新千歳,関西国際,1053,74,11,50,82,1273
8,26,新千歳,鳥取,6,0,0,0,0,6
8,27,新千歳,米子,4,0,0,0,0,4
8,28,新千歳,出雲,16,2,0,1,1,20
8,29,新千歳,石見,0,0,0,0,0,0
8,30,新千歳,岡山,60,4,1,1,1,67
8,31,新千歳,広島,82,2,1,0,1,87
8,32,新千歳,山口宇部,31,2,0,1,4,38
8,33,新千歳,徳島,18,0,0,1,1,22
8,34,新千歳,高松,29,2,0,1,0,31
8,35,新千歳,松山,46,3,1,0,0,49
8,36,新千歳,高知,14,0,0,0,0,15
8,37,新千歳,福岡,194,8,0,2,1,206
8,38,新千歳,長崎,27,3,0,1,1,32
8,39,新千歳,五島福江,1,0,0,0,0,0
8,40,新千歳,対馬,0,0,0,0,0,0
8,41,新千歳,熊本,31,1,1,1,1,34
8,42,新千歳,大分,20,1,0,2,2,26
8,43,新千歳,宮崎,14,0,0,0,0,16
8,44,新千歳,鹿児島,33,0,0,0,0,31
8,45,新千歳,奄美大島,3,0,0,0,0,3
8,46,新千歳,那覇,71,0,0,0,0,68
8,47,新千歳,石垣島,10,0,0,0,0,10
9,1,青森,稚内,0,0,0,0,0,0
9,2,青森,釧路,3,4,0,0,0,3
9,3,青森,函館,0,177,8,0,0,60
9,4,青森,旭川,1,4,0,0,0,4
9,5,青森,帯広,0,2,0,0,0,5
9,6,青森,根室中標津,0,0,0,0,0,2
9,7,青森,女満別,0,7,0,0,0,0
9,8,青森,新千歳,29,37,11,1,347,442
9,9,青森,青森,0,0,0,0,0,2
9,10,青森,三沢,0,0,0,0,0,3
9,11,青森,花巻,0,85,0,6,3862,4018
9,12,青森,仙台,0,183,0,22,233,533
9,13,青森,秋田,0,27,0,2,127,148
9,14,青森,大館,0,5,0,0,129,129
9,15,青森,山形,3,7,0,0,8,19
9,16,青森,庄内,0,4,0,0,2,10
9,17,青森,福島,0,18,0,0,9,18
9,18,青森,羽田,227,319,0,5,84,864
9,19,青森,八丈島,0,0,0,0,0,0
9,20,青森,新潟,0,8,0,0,5,7
9,21,青森,富山,0,1,0,0,1,8
9,22,青森,小松,2,2,0,0,0,3
9,23,青森,松本,0,0,0,0,0,2
9,24,青森,名古屋,37,13,0,0,69,94
9,25,青森,関西国際,57,8,0,0,3,56
9,26,青森,鳥取,0,0,0,0,0,0
9,27,青森,米子,0,0,0,0,0,0
9,28,青森,出雲,1,0,0,0,0,1
9,29,青森,石見,0,0,0,0,0,0
9,30,青森,岡山,2,2,0,0,0,4
9,31,青森,広島,14,0,0,0,0,2
9,32,青森,山口宇部,1,0,0,0,1,1
9,33,青森,徳島,1,0,0,0,0,3
9,34,青森,高松,0,0,0,0,0,1
9,35,青森,松山,2,0,0,0,0,2
9,36,青森,高知,1,0,0,0,0,0
9,37,青森,福岡,16,8,0,0,2,9
9,38,青森,長崎,1,3,0,0,1,2
9,39,青森,五島福江,0,0,0,0,0,0
9,40,青森,対馬,0,0,0,0,0,0
9,41,青森,熊本,6,1,0,0,0,1
9,42,青森,大分,2,0,0,0,0,1
9,43,青森,宮崎,0,0,0,0,0,0
9,44,青森,鹿児島,1,0,0,0,0,2
9,45,青森,奄美大島,0,0,0,0,0,0
9,46,青森,那覇,6,0,0,0,0,6
9,47,青森,石垣島,0,0,0,0,0,0
10,1,三沢,稚内,0,0,0,0,0,0
10,2,三沢,釧路,1,2,0,1,1,9
10,3,三沢,函館,0,52,31,0,0,186
10,4,三沢,旭川,0,3,0,0,0,5
10,5,三沢,帯広,0,5,0,0,0,2
10,6,三沢,根室中標津,0,2,0,0,0,0
10,7,三沢,女満別,0,0,0,0,0,7
10,8,三沢,新千歳,7,22,43,1,8,88
10,9,三沢,青森,0,0,0,0,0,0
10,10,三沢,三沢,0,0,0,0,0,0
10,11,三沢,花巻,0,153,0,38,718,844
10,12,三沢,仙台,0,302,0,89,296,570
10,13,三沢,秋田,0,20,0,0,697,724
10,14,三沢,大館,0,0,0,1,719,724
10,15,三沢,山形,0,11,0,9,10,29
10,16,三沢,庄内,0,7,0,0,85,90
10,17,三沢,福島,0,8,0,6,143,167
10,18,三沢,羽田,73,758,0,106,161,817
10,19,三沢,八丈島,0,0,0,0,0,0
10,20,三沢,新潟,0,5,0,0,4,13
10,21,三沢,富山,2,5,0,0,0,2
10,22,三沢,小松,0,3,0,0,0,4
10,23,三沢,松本,0,1,0,0,58,58
10,24,三沢,名古屋,0,25,0,7,202,262
10,25,三沢,関西国際,35,22,0,17,11,92
10,26,三沢,鳥取,0,0,0,0,0,0
10,27,三沢,米子,0,0,0,0,0,0
10,28,三沢,出雲,2,0,0,0,0,2
10,29,三沢,石見,0,0,0,0,0,0
10,30,三沢,岡山,0,4,0,1,0,5
10,31,三沢,広島,1,3,0,0,2,18
10,32,三沢,山口宇部,0,0,0,0,0,2
10,33,三沢,徳島,1,1,0,2,0,3
10,34,三沢,高松,1,1,0,0,0,1
10,35,三沢,松山,2,0,0,0,0,2
10,36,三沢,高知,1,0,0,0,1,3
10,37,三沢,福岡,8,1,0,0,0,25
10,38,三沢,長崎,1,0,0,3,0,8
10,39,三沢,五島福江,0,0,0,0,0,0
10,40,三沢,対馬,0,0,0,0,0,0
10,41,三沢,熊本,1,0,0,0,0,7
10,42,三沢,大分,1,0,0,0,0,3
10,43,三沢,宮崎,1,0,0,0,0,0
10,44,三沢,鹿児島,1,0,0,0,0,1
10,45,三沢,奄美大島,0,0,0,0,0,0
10,46,三沢,那覇,5,0,0,0,0,7
10,47,三沢,石垣島,0,0,0,0,0,0
11,1,花巻,稚内,0,0,0,0,0,0
11,2,花巻,釧路,1,1,0,1,0,3
11,3,花巻,函館,0,27,2,0,4,55
11,4,花巻,旭川,2,3,0,0,1,7
11,5,花巻,帯広,1,0,1,0,0,2
11,6,花巻,根室中標津,1,0,0,0,0,2
11,7,花巻,女満別,1,0,0,0,0,1
11,8,花巻,新千歳,38,13,7,1,4,62
11,9,花巻,青森,0,85,0,38,762,889
11,10,花巻,三沢,0,153,0,4,3948,4102
11,11,花巻,花巻,0,0,0,0,42,45
11,12,花巻,仙台,0,812,0,246,7025,8080
11,13,花巻,秋田,0,104,0,2,2154,2260
11,14,花巻,大館,0,1,0,31,506,537
11,15,花巻,山形,0,31,0,11,160,202
11,16,花巻,庄内,0,0,0,4,61,65
11,17,花巻,福島,0,37,0,2,92,131
11,18,花巻,羽田,1,1629,0,69,508,2176
11,19,花巻,八丈島,0,0,0,0,0,0
11,20,花巻,新潟,0,17,7,4,27,57
11,21,花巻,富山,0,4,0,0,29,33
11,22,花巻,小松,2,3,0,2,2,10
11,23,花巻,松本,0,0,0,0,0,0
