"","i","j","àÍï÷Ç†ÇΩÇËç¿ê»êî","àÍï÷Ç†ÇΩÇËâ›ï®","àÍï÷Ç†ÇΩÇËí¥âﬂéËâ◊ï®","òHê¸ãóó£"
"1",1,8,127.087087087087,2.10510510510511,0.279279279279279,357
"2",1,18,170.817987152034,331.732334047109,1.90578158458244,1195
"3",1,24,134.619565217391,3.78260869565217,0.760869565217391,1383
"4",1,25,121.573770491803,0.0819672131147541,0.737704918032787,1604
"5",2,3,36,1.42162162162162,0,407
"6",2,8,36,6.35768261964736,0,276
"7",2,18,215.634167507542,2329.1221282449,1.99919263201962,1032
"8",2,24,149.501661129568,110.823920265781,0.684385382059801,1280
"9",2,25,158,770.15193236715,1.13792270531401,1413
"10",3,2,36,0.641304347826087,0,407
"11",3,4,36,1.01078167115903,0,282
"12",3,8,46,0.492424242424242,0,160
"13",3,18,304.892002146311,3562.00540296174,3.87278961451536,786
"14",3,24,152.42471042471,503.583011583012,1.64285714285714,960
"15",3,25,123.34435261708,151.724517906336,3.15151515151515,1197
"16",4,3,36,3.07859078590786,0,282
"17",4,8,177,0,1.02298850574713,224
"18",4,18,211.461895653138,1131.72697456394,1.92240986190606,1052
"19",4,24,133.834710743802,63.9531680440771,1.90633608815427,1222
"20",4,25,160.603712671509,65.2134475693798,0.552989383497858,1390.5
"21",5,18,285.724376731302,3271.1135734072,1.22368421052632,999
"22",5,24,50,0,0,1153
"23",5,25,150,80.0217391304348,0.456521739130435,1449
"24",6,18,185.64364640884,856.613259668508,5.09944751381216,1118
"25",7,8,157.358543417367,21.1792717086835,0.369747899159664,354
"26",7,18,183.897612488522,1163.51461827008,1.52508870701722,1156
"27",7,24,124,82.3812154696133,1.70718232044199,1368
"28",7,25,135.364754098361,162.886988882608,1.08484077633314,1589
"29",8,1,127.087087087087,6.71471471471471,0.18018018018018,357
"30",8,2,36,25.175187032419,0,276
"31",8,3,NA,NA,NA,NA
"32",8,4,177,0,1.59340659340659,224
"33",8,7,157.353271028037,55.3168224299065,0.374766355140187,354
"34",8,9,150.405646359584,293.163447251114,0.427934621099554,307
"35",8,11,138.149791955617,134.565880721221,0.424410540915395,467
"36",8,12,150.783510094962,348.162876797508,0.904197282401698,664
"37",8,13,126.819121447028,85.0103359173127,0.325581395348837,443
"38",8,15,50,0,0,620
"39",8,17,135.799331103679,179.248541971862,1.62353851681915,720
"40",8,18,245.741913282559,2108.4287902248,2.49630892846172,893.142857142857
"41",8,20,145.874576271186,306.878178747889,1.70066608293202,755
"42",8,21,196.51,546.608333333333,1.405,875
"43",8,22,197.98,941.746475409836,1.83598360655738,959
"44",8,23,74,1.52849740932642,0.284974093264249,889
"45",8,24,187.883173354609,1108.95731772325,1.51700572080637,1084
"46",8,25,238.784186864026,2720.25707688528,1.96983310270222,1229
"47",8,28,163,0,0.538461538461538,1295
"48",8,30,272.538461538462,1536.67307692308,3.24038461538462,1266
"49",8,31,210.601787612972,326.878728070175,2.16409489633174,1361
"50",8,33,163,1.02777777777778,0.555555555555556,1366
"51",8,37,316.188031308314,3514.80310491395,3.04704022392702,1614
"52",9,8,150.16393442623,69.9880774962742,0.417287630402384,307
"53",9,18,275.57372531006,842.383555351401,1.08222324299495,690
"54",9,24,150.104258443465,235.591776798825,0.494860499265786,882
"55",9,25,150.400267737617,150.740294511379,0.538152610441767,946
"56",10,18,159.971375807941,176.678670360111,0.677746999076639,685
"57",10,25,150.041551246537,256.193905817175,0.426592797783933,985
"58",11,8,138.307371349096,13.7148817802503,0.425591098748261,467
"59",11,24,150.32838038633,100.705794947994,0.50074294205052,787
"60",11,25,125.333333333333,169.11973361374,0.349351559761654,919.666666666667
"61",12,8,150.756824672993,423.917915297154,0.71091806981982,664
"62",12,18,61.8956043956044,0,0.586538461538462,435
"63",12,22,99.7821576763485,9.44398340248963,0.491701244813278,601
"64",12,24,123.967817679558,142.147513812155,0.543922651933702,657
"65",12,25,143.842571297148,375.85993301841,0.678541341492408,822.5
"66",12,31,117.987654320988,4.31275720164609,1.01028806584362,1002
"67",12,37,113.886908193991,224.952479338843,0.633865077839708,1256
"68",12,46,269.988980716253,2225.04132231405,3.13774104683196,2010
"69",13,8,126.787096774194,33.3548387096774,0.313548387096774,443
"70",13,18,253.635587576973,407.567138632312,1.59168388429752,555
"71",13,24,79.4416031358993,1.08425414364641,0.230662983425414,674.5
"72",13,25,118.032908704883,64.7176734470242,0.232912129306212,842.333333333333
"73",14,18,126.423776223776,14.8923076923077,2.11888111888112,628
"74",14,25,75.7692307692308,2.81318681318681,0.502747252747253,848
"75",15,8,50,0,0,620
"76",15,18,159.275482093664,462.088154269972,0.575757575757576,441
"77",15,24,50,0,0,582
"78",15,25,50,0.814949201741655,0,730
"79",16,18,223.646121883657,414.491689750693,2.25554016620499,489
"80",16,25,50,0,0,719
"81",17,8,135.761666666667,117.694634986226,1.48962809917355,720
"82",17,25,113.333333333333,105.788888888889,0.188888888888889,628.333333333333
"83",17,46,149.677419354839,600.032258064516,0,1858
"84",18,1,170.734864300626,10.5866388308977,2.13361169102296,1195
"85",18,2,215.516987518027,387.346654039122,2.16118401007495,1032
"86",18,3,304.894438532328,2099.8267733707,3.44855907881241,786
"87",18,4,211.362258953168,992.576074032611,2.17138102623735,1052
"88",18,5,285.727335640138,2519.16678200692,1.319723183391,999
"89",18,6,185.578512396694,61.7575757575758,5.48484848484848,1118
"90",18,7,183.786697247706,315.494266055046,1.47940567382204,1156
"91",18,8,245.988878156714,2064.95122873702,2.60557175062433,893.142857142857
