"","X","i","j","空港i","空港j","航空会社","旅客数","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","エアライン参入数","鉄道ダミー","一便あたり座席数","一便あたり貨物","OD","DIS","Seat","Freq","MC","LF","observedprob","airlineNo","utility2","exputility","alpha"
"122",122,37,8,"博多","札幌","JR",9000,614,43950,1,0,2.412527,0,1,0,0,233962,NA,NA,1,NA,NA,0.0384677853668544,0,-9.79708326539022,5.56135731337289e-05,3.25919120859227
"123",123,37,12,"福岡","仙台","JAL",82099,105,43500,3,325,17.895864,2,0,146.116156282999,594.189017951426,113236,1256,146.116156282999,947,13816,59.3,0.725025610229962,1,-8.52240809990872,0.000198959733107358,1
"124",124,37,12,"福岡","仙台","ANA",31137,105,43500,2,335,17.895864,2,0,125.416494845361,281.259793814433,113236,1256,125.416494845361,485,13816,51.2,0.274974389770038,2,-9.42178939560721,8.09410540811463e-05,0.932256098945553
"125",125,37,18,"福岡","東京","JAL",1546302,100,36700,19,680,20.323949,3,0,386.968422605873,6056.001770695,5649674,1041,386.968422605873,6777,11451,59,0.273697562018623,1,6.47033608636022,645.700701700519,1
"126",126,37,18,"福岡","東京","ANA",1639873,100,36700,18,690,20.323949,3,0,415.274372172828,5046.00545936671,5649674,1041,415.274372172828,6411,11451,61.6,0.290259756580645,2,5.17144448389286,176.169127247845,3.88702517424457
"127",127,37,18,"福岡","東京","SKY",601398,100,21700,10,685,20.323949,3,0,198.681918412348,0,5649674,1041,198.681918412348,3628,5725.5,83.4,0.106448265864544,4,-2.57425925988018,0.0762102538882404,3295.22832303512
"128",128,37,18,"福岡","成田","JAL",73111,120,36700,2,660,66.145079,2,0,147.213924050633,13.0189873417722,5649674,1107,147.213924050633,790,12177,62.9,0.0129407466696309,1,-9.39144999665917,8.3434388899788e-05,365910.250229277
"129",129,37,18,"福岡","成田","ANA",52552,120,36700,2,540,66.145079,2,0,122.790410958904,12.4054794520548,5649674,1107,122.790410958904,730,12177,58.6,0.009301775642276,2,-9.76848754835269,5.72268394569706e-05,383465.616019921
"130",130,37,18,"北九州","東京","JAL",123165,100,36700,4,625,80.733392,2,0,164.141678129298,383.036451169188,5649674,958,164.141678129298,1454,10538,51.6,0.0218003729064721,1,-8.71792435979432,0.000163626468367503,314319.044110464
"131",131,37,18,"北九州","東京","SFJ",372587,100,29600,11,980,80.733392,2,0,144,683.425999470479,5649674,958,144,3777,8622,68.5,0.0659484069346302,3,-6.45400481856126,0.00157420512197447,98833.3047581936
"132",132,37,18,"佐賀","東京","ANA",128686,110,36700,4,600,69.447815,1,0,164.929155313351,591.051771117166,5649674,1130,164.929155313351,1468,12430,53.2,0.0227775974330554,2,-8.08641846206096,0.000307689788706564,174644.598835244
"133",133,37,18,"博多","東京","JR",1112000,300,22950,1,480,8.70507,0,1,0,0,5649674,NA,NA,1,NA,NA,0.196825515950124,0,-0.609595188915871,0.543570868054881,854.251115822584
"134",134,37,25,"福岡","大阪","JAL",79190,70,21900,2,725,15.717997,3,0,144.727982162765,653.397993311037,3058865,578,144.727982162765,897,6358,71.05,0.0258886874706795,1,-1.94959675874491,0.142331453930393,1
"135",135,37,25,"福岡","大阪","ANA",286273,70,21900,7,675,15.717997,3,0,156.281673769857,1314.69817900039,3058865,578,156.281673769857,2581,6358,71,0.0935879811629477,2,-0.564199170578827,0.568815488586117,0.904564455830417
"136",136,37,25,"福岡","大阪","JAC",38401,70,21900,2,495,15.717997,3,0,74,103.273115220484,3058865,578,74,703,6358,73.8,0.0125540028736149,5,-3.97819358528731,0.0187194238567877,3.68706334316481
"137",137,37,25,"福岡","関西","JAL",46002,70,21900,3,725,38.964426,2,0,62.2648648648649,10.6945945945946,3058865,553,62.2648648648649,1110,6083,74.9,0.0150389114916807,1,-5.05386396327656,0.00638461580198101,12.9500810927471
"138",138,37,25,"福岡","関西","ANA",68597,70,21900,4,640,38.964426,2,0,78.5941265060241,3.40888554216867,3058865,553,78.5941265060241,1328,6083,65.7,0.0224256382677889,2,-4.805078704531,0.00818805655186261,15.0575679640646
"139",139,37,25,"佐賀","大阪","ANA",23402,80,21900,2,60,64.841863,1,0,74,35.8145048814505,3058865,660,74,717,7260,44.1,0.0076505501223493,2,-5.84311600763435,0.002899792757036,14.5049607189252
"140",140,37,25,"博多","新大阪","JR",2517000,150,15310,1,780,7.008287,0,1,0,0,3058865,NA,NA,1,NA,NA,0.822854228610939,0,3.26845087415127,26.2706113219346,0.172204136466797
"141",141,37,46,"福岡","那覇","JAL",199883,100,27500,5,575,5.6347,4,0,192.205128205128,3303.68357883252,655254,1008,192.205128205128,1833,11088,56.7,0.305046592619045,1,1.78198737597671,5.9416529910124,1
"142",142,37,46,"福岡","那覇","ANA",373204,100,27500,8,540,5.6347,4,0,209.456828345373,3345.96388028896,655254,1008,209.456828345373,2907,11088,61.3,0.569556233155387,2,2.15121742310998,8.59531616666002,1.29067191166412
"143",143,37,46,"福岡","那覇","JTA",35297,100,27500,1,0,5.6347,4,0,145.506849315069,1113.48767123288,655254,1008,145.506849315069,365,11088,66.5,0.0538676604797529,8,-2.78745098053905,0.0615779774964133,17.0389880966601
"144",144,37,46,"福岡","那覇","SKY",46870,100,19800,2,70,5.6347,4,0,177,0,655254,1008,177,594,5544,44.6,0.0715295137458146,4,-2.022757557321,0.132290163932129,10.5317083543111
"145",145,46,18,"那覇","東京","JAL",1285780,160,40800,11,550,20.748883,4,0,478.944839015152,6419.83972537879,2566015,1687,478.944839015152,4224,18557,63.6,0.501080469132098,1,6.61295607333285,744.681100212756,1
"146",146,46,18,"那覇","東京","ANA",1075612,160,40800,9,575,20.748883,4,0,457.463219026549,6569.33296460177,2566015,1687,457.463219026549,3616,18557,65,0.419176037552392,2,6.53063459276361,685.833298273871,0.908323891212335
"147",147,46,18,"那覇","東京","JTA",32881,160,40800,1,0,20.748883,4,0,149.688715953307,163.007782101167,2566015,1687,149.688715953307,257,18557,85.5,0.0128140326537452,8,-9.26583307741554,9.46018924437676e-05,201302.356311472
"148",148,46,18,"那覇","東京","SKY",171742,160,24700,3,195,20.748883,4,0,192.24861878453,0,2566015,1687,192.24861878453,1086,9278.5,82.3,0.0669294606617654,4,-4.29255379254179,0.0136699704141124,7276.333683962
"149",149,46,25,"那覇","大阪","JAL",134550,130,34200,1,0,16.142931,2,0,462.777517564403,7449.3981264637,990790,1304,462.777517564403,427,14344,68.1,0.13580072467425,1,10.280561620366,29160.2459435761,1
"150",150,46,25,"那覇","大阪","ANA",145413,130,34200,1,0,16.142931,2,0,478.016431924883,5387.23474178404,990790,1304,478.016431924883,426,14344,71.4,0.146764702913836,2,6.99275588971707,1088.71773161614,28.9464572893811
"151",151,46,25,"那覇","関西","JAL",226618,130,34200,4,635,39.38936,2,0,226.713120326309,2932.16519374575,990790,1261,226.713120326309,1471,13871,68,0.228724553134368,1,-1.68072763197254,0.186238413701322,263713.655633869
"152",152,46,25,"那覇","関西","ANA",240932,130,34200,4,435,39.38936,2,0,245.92912371134,3872.01159793814,990790,1261,245.92912371134,1552,13871,63.1,0.243171610533009,2,0.217963927203391,1.2435422087648,41989.5707935076
"153",153,46,25,"那覇","神戸","ANA",152136,125,34200,3,140,30.259194,2,0,243.256585365854,1233.44780487805,990790,1308,243.256585365854,1025,14388,61,0.153550197317292,2,-3.9957082257929,0.0183944143977364,1792476.65316235
"154",154,46,25,"那覇","神戸","JTA",91141,125,34200,3,600,30.259194,2,0,204.206477732794,2587.68286099865,990790,1308,204.206477732794,741,14388,60.2,0.0919882114272449,8,-2.3017246115762,0.10008608517382,197354.74269022
"155",155,46,37,"那覇","福岡","JAL",210209,100,27500,5,150,5.6347,4,0,192.146608315098,1514.38730853392,655691,1008,192.146608315098,1828,11088,59.8,0.320591559133799,1,-1.27194492966533,0.280285954840139,1
"156",156,46,37,"那覇","福岡","ANA",371051,100,27500,8,685,5.6347,4,0,207.701271914747,2095.67720866277,655691,1008,207.701271914747,2909,11088,61.4,0.565893080734675,2,-0.00850868330059917,0.991527413095006,0.498975141657432
"157",157,46,37,"那覇","福岡","JTA",27577,100,27500,1,615,5.6347,4,0,145.313351498638,953.659400544959,655691,1008,145.313351498638,367,11088,51.7,0.042057920575393,8,-3.06264973654503,0.0467636196368511,0.78630118334093
"158",158,46,37,"那覇","福岡","SKY",46854,100,19800,2,470,5.6347,4,0,177,0,655691,1008,177,591,5544,44.8,0.0714574395561324,4,-2.02315112476649,0.132238109074468,0.472432832835609
