"","X","i","j","空港i","空港j","航空会社","旅客数","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","エアライン参入数","鉄道ダミー","一便あたり座席数","一便あたり貨物","OD","DIS","Seat","Freq","MC","LF","observedprob","airlineNo","utility2","exputility","alpha"
"23",23,8,18,"新千歳","成田","IBX",14013,105,33500,1,0,104.604254,3,0,50,0,4893273,892,50,357,9812,78.5,0.00286372740699323,7,-11.1683135477729,1.41144205697716e-05,2443063.79137526
"24",24,8,18,"札幌","東京","JR",233000,314,21000,1,452,7.452543,0,1,0,0,4893273,NA,NA,1,NA,NA,0.0476163909105419,0,-0.180989485237241,0.834444132631752,687.108616703946
"25",25,8,25,"新千歳","大阪","JAL",159098,110,41400,2,485,54.177172,2,0,271.382653061225,4179.46683673469,1114939,1161,271.382653061225,784,12771,77.3,0.142696595957268,1,-1.20343110847532,0.300162552778292,1
"26",26,8,25,"新千歳","大阪","ANA",99150,110,41400,1,0,54.177172,2,0,300.64858490566,3800.3608490566,1114939,1161,300.64858490566,424,12771,77.8,0.0889286319700002,2,-1.45484567226596,0.233436386830033,0.801338402741981
"27",27,8,25,"新千歳","関西","JAL",230816,110,41300,4,525,77.423601,2,0,230.550546448087,2247.16393442623,1114939,1309,230.550546448087,1464,14399,68.4,0.207021191293873,1,-5.81763790882811,0.00297462318405632,146.394830793981
"28",28,8,25,"新千歳","関西","ANA",235646,110,41300,4,270,77.423601,2,0,215.215395003376,2090.26130992573,1114939,1309,215.215395003376,1481,14399,73.9,0.211353266860339,2,-6.31666606014885,0.0018059544240674,246.175640273578
"29",29,8,25,"新千歳","神戸","JAL",174514,115,41400,3,125,68.293435,2,0,233.766605166052,2210.74723247232,1114939,1251,233.766605166052,1084,13761,68.9,0.156523361367752,1,-5.63404215369803,0.00357409903171853,92.1203291790993
"30",30,8,25,"新千歳","神戸","ANA",141715,115,41400,3,305,68.293435,2,0,182.922294172063,983.197039777983,1114939,1251,182.922294172063,1081,13761,71.7,0.127105608468266,2,-8.49860768079998,0.00020375185923606,1312.21812081826
"31",31,8,25,"札幌","新大阪","JR",74000,464,35450,1,152,5.75576,0,1,0,0,1114939,NA,NA,1,NA,NA,0.0663713440825014,0,-5.84707529722898,0.00288833433631795,48.3365941864521
"32",32,8,37,"新千歳","福岡","JAL",119560,145,51100,2,105,43.668941,2,0,230.931318681319,1662.84340659341,230475,1614,230.931318681319,728,17754,71.1,0.518754745634017,1,-8.86704092748415,0.000140959079293482,1
"33",33,8,37,"新千歳","福岡","ANA",102915,145,51100,1,0,43.668941,2,0,401.44474393531,5366.7628032345,230475,1614,401.44474393531,371,17754,69.1,0.446534331272372,2,-0.017816921701888,0.982340861189453,0.000123516113294462
"34",34,8,37,"札幌","博多","JR",8000,614,43950,1,0,2.412527,0,1,0,0,230475,NA,NA,1,NA,NA,0.034710923093611,0,-9.79708326539022,5.56135731337289e-05,0.169596285426625
"35",35,12,8,"仙台","新千歳","JAL",117426,65,28400,4,440,56.355039,3,0,154.101186322401,232.587578506629,342089,664,154.101186322401,1433,7304,53.2,0.343261548895171,1,-5.60330596396947,0.00368565889773369,1
"36",36,12,8,"仙台","新千歳","ANA",103819,65,28400,3,545,56.355039,3,0,172.169287696577,860.031452358927,342089,664,172.169287696577,1081,7304,55.8,0.303485350303576,2,-4.28108456626728,0.0138276569406395,0.235656333946274
"37",37,12,8,"仙台","新千歳","ADO",109844,65,27400,4,355,56.355039,3,0,126,179.134715025907,342089,664,126,1351,5976,64.5,0.321097726030361,6,-5.84544339648951,0.00289305165931175,1.19171120543755
"38",38,12,8,"仙台","札幌","JR",11000,222,16800,1,636,2.057914,0,1,0,0,342089,NA,NA,1,NA,NA,0.032155374770893,0,2.20714801959837,9.08975558599368,3.79831826241346e-05
"39",39,12,18,"仙台","成田","ANA",13257,60,18100,2,450,78.831177,2,0,73.7912087912088,0,22371,435,73.7912087912088,364,4785,49.4,0.592597559340217,2,-5.14073547503673,0.00585338311267134,1
"40",40,12,18,"仙台","成田","IBX",9114,60,18100,2,0,78.831177,2,0,50,0,22371,435,50,357,4785,51.1,0.407402440659783,7,-5.50252078058129,0.0040764825578353,0.98715450040879
"41",41,12,25,"仙台","大阪","ANA",288522,75,30800,6,595,28.404095,3,0,207.327046918123,1397.43422263109,499572,803,207.327046918123,2174,8833,64,0.577538372847157,2,-2.62762862478598,0.072249590141624,1
"42",42,12,25,"仙台","大阪","JEX",201894,75,30800,6,625,28.404095,3,0,152.043238270469,105.848206071757,499572,803,152.043238270469,2174,8833,61.1,0.404133938651486,10,-5.66846275776395,0.00345316955616689,14.6407040852757
"43",43,12,25,"仙台","大阪","IBX",9156,75,30800,1,55,28.404095,3,0,50,0,499572,803,50,421,8833,43.5,0.0183276885013572,7,-7.52192998907003,0.000541087264953133,4.23735573307284
"44",44,12,37,"仙台","福岡","JAL",82514,105,43500,3,300,17.895864,2,0,146.253699788584,380.818181818182,111836,1256,146.253699788584,946,13816,59.6,0.737812511177081,1,-8.88445311844118,0.000138525917699259,1
"45",45,12,37,"仙台","福岡","ANA",29322,105,43500,2,50,17.895864,2,0,125.407024793388,294.039256198347,111836,1256,125.407024793388,484,13816,48.3,0.262187488822919,2,-9.40028936985671,8.27001311687478e-05,0.595238188353184
"46",46,18,3,"東京","函館","JAL",239803,80,31400,3,640,24.936932,3,0,344.278748850046,2744.45906163753,608501,786,344.278748850046,1087,8646,64.1,0.394088095171577,1,1.58250463412594,4.86713093999894,1
"47",47,18,3,"東京","函館","ANA",176356,80,31400,2,425,24.936932,3,0,343.456908344733,3031.31326949384,608501,786,343.456908344733,731,8646,70.2,0.28982039470765,2,2.02863959352946,7.60373514895306,0.470740622025325
