"","空港i","空港j","航空会社","運航回数","運航キロメートル","運航時間","旅客数","座席数","X","人キロメートル","座席キロメートル","座席利用率","貨物","超過手荷物","郵便物","旅客","貨物.1","超過手荷物.1","郵便物.1","計","利用可能.トンキロメートル","重量利用率...","DIS","Seat","Freq","MC","i","j","airlineNo","所要時間","費用","航空便数","滞在可能時間","エアライン参入数","ODairline","ODrailway","OD","アクセシビリティ","鉄道ダミー","一便あたり座席数","一便あたり貨物"
"19","新千歳","大阪","JAL",784,910224,"62",159098,212764,"508","184,712,778","247,019,004",77.3,3276702,"868","1,337","13,853,461","3,804,252","1,007","1,552","17,660,272","29,580,258",63.15,1161,271.382653061225,758.408413838649,12771,8,25,1,110,41400,2,485,2,1040939,74000,1114939,54.177172,0,271.382653061225,4179.46683673469
"20","新千歳","大阪","ANA",424,492264,"810:53:00",99150,127475,"301","115,113,150","147,998,475",77.8,1611353,"1,922","15,021","8,633,486","1,870,782","2,230","17,440","10,523,938","28,482,624",36.9,1161,300.64858490566,423.890767432094,12771,8,25,2,110,41400,1,0,2,1040939,74000,1114939,54.177172,0,300.64858490566,3800.3608490566
"21","新千歳","関西","JAL",1464,1916376,"3,185:43",230816,337526,"231","302,138,144","441,821,534",68.4,3289848,"1,383","39,420","22,660,361","4,306,413","1,811","51,603","27,020,188","54,089,188",50,1309,230.550546448087,1463.67162254219,14399,8,25,1,110,41300,4,525,2,1040939,74000,1114939,77.423601,0,230.550546448087,2247.16393442623
"22","新千歳","関西","ANA",1481,1938629,"3,216:52",235646,318734,"215","308,460,614","417,222,806",73.9,3095677,"3,823","101,755","23,134,546","4,052,240","5,006","133,198","27,324,990","70,394,728",38.8,1309,215.215395003376,1481.638652744,14399,8,25,2,110,41300,4,270,2,1040939,74000,1114939,77.423601,0,215.215395003376,2090.26130992573
"23","新千歳","神戸","JAL",1084,1356084,"2,089:07",174514,253403,"234","218,317,014","317,007,153",68.9,2396450,"1,046","333,536","16,373,778","2,997,960","1,308","417,255","19,790,301","35,004,233",56.5,1251,233.766605166052,1083.4991655272,13761,8,25,1,115,41400,3,125,2,1040939,74000,1114939,68.293435,0,233.766605166052,2210.74723247232
"24","新千歳","神戸","ANA",1081,1352331,"2,093:45",141715,197739,"183","177,285,465","247,371,489",71.7,1062836,"2,943","193,993","13,296,409","1,329,607","3,682","242,684","14,872,382","35,626,436",41.7,1251,182.922294172063,1080.51307337681,13761,8,25,2,115,41400,3,305,2,1040939,74000,1114939,68.293435,0,182.922294172063,983.197039777983
"25","新千歳","福岡","JAL",728,1174992,"1,812:12",119560,168118,"231","192,969,840","271,342,452",71.1,1210550,"718","34,315","14,472,740","1,953,828","1,157","55,384","16,483,109","31,636,500",52.1,1614,230.931318681319,728.171153109273,17754,8,37,1,145,51100,2,105,2,222475,8000,230475,43.668941,0,230.931318681319,1662.84340659341
"26","新千歳","福岡","ANA",371,598794,"905:29:00",102915,148936,"401","166,104,810","240,382,704",69.1,1991069,"1,895","202,102","12,457,861","3,213,585","3,059","326,193","16,000,698","51,516,812",31.1,1614,401.44474393531,371.000807503094,17754,8,37,2,145,51100,1,0,2,222475,8000,230475,43.668941,0,401.44474393531,5366.7628032345
"27","仙台","新千歳","JAL",1433,951512,"1,665:49",117426,220827,"154","77,970,864","146,629,128",53.2,333298,"705","71","5,847,815","221,310","468","48","6,069,641","15,015,497",40.4,664,154.101186322401,1432.34175659094,7304,12,8,1,65,28400,4,440,3,331089,11000,342089,56.355039,0,154.101186322401,232.587578506629
"28","仙台","新千歳","ANA",1081,717784,"1,277:17",103819,186115,"172","68,935,816","123,580,360",55.8,929694,"1,328","34,247","5,170,186","617,316","881","22,740","5,811,123","16,879,492",34.4,664,172.169287696577,1080.65473258768,7304,12,8,2,65,28400,3,545,3,331089,11000,342089,56.355039,0,172.169287696577,860.031452358927
"29","仙台","新千歳","ADO",1351,897064,"1,623:26",109844,170226,"126","72,936,416","113,030,064",64.5,242011,"557","0","5,470,232","160,695","370","0","5,631,297","13,021,064",43.2,664,126,1351.59345391904,5976,12,8,7,65,27400,4,355,3,331089,11000,342089,56.355039,0,126,179.134715025907
"30","仙台","成田","ANA",364,158340,"347:58:00",13257,26860,"74","5,766,795","11,684,100",49.4,0,"427","0","432,509","0","186","0","432,695","1,064,993",40.6,435,73.7912087912088,363.675196927539,4785,12,18,2,60,18100,2,450,2,22371,6402000,6424371,78.831177,0,73.7912087912088,0
"31","仙台","成田","IBX",357,155295,"341:01:00",9114,17850,"50","3,964,590","7,764,750",51.1,0,"0","0","297,346","0","0","0","297,346","671,898",44.3,435,50,356.712328767123,4785,12,18,5,60,18100,2,0,2,22371,6402000,6424371,78.831177,0,50,0
"32","仙台","大阪","ANA",2174,1745722,"3,038:50",288522,450729,"207","231,683,166","361,935,387",64,3038022,"2,538","294","17,376,237","2,439,531","2,038","236","19,818,042","59,474,070",33.3,803,207.327046918123,2174.41781813462,8833,12,25,2,75,30800,6,595,3,499572,205000,704572,28.404095,0,207.327046918123,1397.43422263109
