"","空港i","空港j","航空会社","運航回数","運航キロメートル","運航時間","旅客数","座席数","X","人キロメートル","座席キロメートル","座席利用率","貨物","超過手荷物","郵便物","旅客","貨物.1","超過手荷物.1","郵便物.1","計","利用可能.トンキロメートル","重量利用率...","DIS","Seat","Freq","MC","i","j","airlineNo","所要時間","費用","航空便数","滞在可能時間","エアライン参入数","ODairline","ODrailway","OD","アクセシビリティ","鉄道ダミー","一便あたり座席数","一便あたり貨物"
"75","関西","新千歳","ANA",1481,1938629,"2,704:54",231669,317568,"214","303,254,721","415,696,512",73,2967117,"4,071","26,918","22,744,105","3,883,957","5,328","35,235","26,668,625","70,027,220",38.1,1309,214.428089128967,1480.00570172351,14399,25,8,2,110,41300,4,590,2,1037931,83000,1120931,77.423601,0,214.428089128967,2003.45509790682
"76","神戸","新千歳","JAL",1085,1357335,"1,943:14",176178,253664,"234","220,398,678","317,333,664",69.5,2219539,"1,057","195,228","16,529,902","2,776,643","1,325","244,229","19,552,099","36,262,362",53.9,1251,233.791705069124,1084.27082605393,13761,25,8,1,115,41400,3,400,2,1037931,83000,1120931,68.293435,0,233.791705069124,2045.65806451613
"77","神戸","新千歳","ANA",1089,1362339,"1,963:52",133550,198574,"182","167,071,050","248,416,074",67.3,698746,"3,636","349,018","12,530,329","874,132","4,550","436,621","13,845,632","35,689,199",38.8,1251,182.345270890725,1088.26415253087,13761,25,8,2,115,41400,3,380,2,1037931,83000,1120931,68.293435,0,182.345270890725,641.640036730946
"78","大阪","仙台","ANA",2178,1748934,"2,676:41",285683,451336,"207","229,403,449","362,422,808",63.3,2945464,"2,549","314,590","17,205,259","2,365,207","2,048","252,613","19,825,127","59,551,512",33.3,803,207.224977043159,2177.90327307985,8833,25,12,2,75,30800,6,575,3,495222,208000,703222,28.404095,0,207.224977043159,1352.3709825528
"79","大阪","仙台","JEX",2175,1746525,"2,673:53",200544,340088,"156","161,036,832","273,090,664",59,435226,"1,545","255,929","12,077,763","349,486","1,241","205,511","12,634,001","28,321,086",44.6,803,156.362298850575,2173.83018313505,8833,25,12,11,75,30800,6,605,3,495222,208000,703222,28.404095,0,156.362298850575,200.103908045977
"80","大阪","仙台","IBX",422,338866,"478:58:00",8995,21100,"50","7,222,985","16,943,300",42.6,0,"0","0","541,724","0","0","0","541,724","1,466,140",36.9,803,50,422.300469483568,8833,25,12,5,75,30800,1,0,3,495222,208000,703222,28.404095,0,50,0
"81","大阪","東京","JAL",5462,2807468,"6,161:32",1315634,2049517,"375","676,235,876","1,053,451,738",64.2,15608944,"7,895","810,766","50,717,691","8,022,997","4,059","416,733","59,161,480","129,032,298",45.9,514,375.231966312706,5461.3527824929,5654,25,18,1,65,22500,15,660,2,4002092,21164000,25166092,30.83218,0,375.231966312706,2857.73416331014
"82","大阪","東京","ANA",5091,2616774,"5,975:26",1347162,2154392,"423","692,441,268","1,107,357,488",62.5,12415705,"9,974","1,088,445","51,933,096","6,381,673","5,128","559,462","58,879,359","238,506,341",24.7,514,423.17658613239,5093.52187865532,5654,25,18,2,65,22500,14,655,2,4002092,21164000,25166092,30.83218,0,423.17658613239,2438.75564722059
"83","関西","東京","JAL",2280,1545840,"2,564:35",243321,375328,"165","164,971,638","254,472,384",64.8,689417,"1,459","517,432","12,372,874","467,425","989","350,818","13,192,106","27,885,124",47.3,678,164.617543859649,2281.01672255852,7458,25,18,1,75,22500,6,755,3,4002092,21164000,25166092,54.078609,0,164.617543859649,302.375877192982
"84","関西","東京","ANA",1934,1311252,"2,269:21",230813,367208,"190","156,491,214","248,967,024",62.9,2691252,"2,041","950,047","11,736,841","1,824,668","1,384","644,132","14,207,025","64,697,152",22,678,189.869700103413,1932.65331459713,7458,25,18,2,75,22500,4,780,3,4002092,21164000,25166092,54.078609,0,189.869700103413,1391.54705274043
"85","関西","東京","SFJ",1456,987168,"1,721:20",158283,209664,"144","107,315,874","142,152,192",75.5,0,"539","0","8,048,691","0","366","0","8,049,057","15,268,529",52.7,678,144,1455.87748344371,6102,25,18,3,75,20700,4,755,3,4002092,21164000,25166092,54.078609,0,144,0
"86","大阪","成田","JAL",728,428792,"909:09:00",108098,148948,"205","63,669,722","87,730,372",72.6,834087,"811","906,812","4,775,230","491,278","476","534,112","5,801,096","12,795,260",45.3,589,204.598901098901,727.742504992406,6479,25,18,1,85,22500,2,530,2,4002092,21164000,25166092,76.65331,0,204.598901098901,1145.7239010989
"87","大阪","成田","ANA",637,375193,"809:06:00",88647,135132,"212","52,213,083","79,592,748",65.6,6792,"1,650","0","3,915,982","4,001","971","0","3,920,954","23,916,292",16.4,589,212.138147566719,637.002931821677,6479,25,18,2,85,22500,2,525,2,4002092,21164000,25166092,76.65331,0,212.138147566719,10.6624803767661
"88","神戸","東京","JAL",726,504570,"844:01:00",111429,166757,"230","77,443,155","115,896,115",66.8,738085,"834","0","5,808,237","512,968","579","0","6,321,784","14,047,340",45,695,229.692837465565,726.230221543277,7645,25,18,1,70,22500,2,715,3,4002092,21164000,25166092,44.948443,0,229.692837465565,1016.64600550964
"89","神戸","東京","ANA",818,568510,"1,010:55",122651,204997,"251","85,242,445","142,472,915",59.8,423571,"1,315","169,039","6,393,185","294,380","915","117,480","6,805,960","25,024,001",27.2,695,250.607579462103,818.419008432182,7645,25,18,2,70,22500,2,710,3,4002092,21164000,25166092,44.948443,0,250.607579462103,517.812958435208
"90","神戸","東京","SKY",1897,1318415,"2,292:47",276054,335769,"177","191,857,530","233,359,455",82.2,0,"2,650","0","14,389,315","0","1,842","0","14,391,157","24,564,206",58.6,695,177,1897.35659202441,3822.5,25,18,4,70,11400,6,695,3,4002092,21164000,25166092,44.948443,0,177,0
"91","大阪","福岡","JAL",896,517888,"43.85763889",86430,129360,"201","49956540","74770080",69.2,790057,"504","115787","3746740","456654","292","66924","4270610","8098747",55.9,578,144.375,865.100217701374,6358,25,37,1,70,21900,2,630,3,538094,2516000,3054094,15.717997,0,144.375,881.760044642857
"92","大阪","福岡","ANA",2585,1494130,"3,296:16",286928,403613,"156","165,844,384","233,288,314",71.1,3808755,"2,864","730","12,438,330","2,201,459","1,657","423","14,641,869","36,347,628",40.3,578,156.136557059961,2584.63208843895,6358,25,37,2,70,21900,7,615,3,538094,2516000,3054094,15.717997,0,156.136557059961,1473.40618955513
"93","大阪","福岡","JAC",710,410380,"902:42:00",37593,52540,"74","21,728,754","30,368,120",71.6,44395,"225","84","1,629,656","25,662","130","49","1,655,497","2,911,238",56.9,578,74,709.516080326136,6358,25,37,6,70,21900,2,30,3,538094,2516000,3054094,15.717997,0,74,62.5281690140845
"94","関西","福岡","JAL",1110,613830,"",43976,69065,"115","24318728","38192945",72,134696,"218","3767","1823903","74487","123","2083","1900596","3609122",59.55,553,62.2207207207207,981.630830859818,6083,25,37,1,70,21900,3,515,2,538094,2516000,3054094,38.964426,0,62.2207207207207,121.347747747748
"95","関西","福岡","ANA",1327,733831,"1,664:37",62171,104101,"78","34,380,563","57,567,853",59.7,31716,"1,642","2,671","2,578,543","17,541","909","1,476","2,598,469","5,450,029",47.7,553,78.4483798040693,1327.4847579492,6083,25,37,2,70,21900,4,410,2,538094,2516000,3054094,38.964426,0,78.4483798040693,23.9005275056518
"96","大阪","佐賀","ANA",721,475860,"963:18:00",20996,53354,"74","13,857,360","35,213,640",39.4,2287,"679","0","1,039,306","1,508","448","0","1,041,262","3,200,636",32.5,660,74,720.126217588147,7260,25,37,2,80,21900,2,275,1,538094,2516000,3054094,64.841863,0,74,3.17198335644938
"97","大阪","那覇","JAL",428,558112,"909:11:00",140677,197867,"462","183,442,808","258,018,568",71.1,3882909,"1,055","1,962","13,758,211","5,063,314","1,378","2,558","18,825,461","31,250,361",60.2,1304,462.306074766355,427.980416770739,14344,25,46,1,130,34200,1,415,2,993179,32000,1025179,16.142931,0,462.306074766355,9072.21728971963
"98","大阪","那覇","ANA",426,555504,"919:01:00",156335,203749,"478","203,860,840","265,688,696",76.7,3739216,"3,696","5,128","15,289,563","4,875,937","4,820","6,686","20,177,006","58,627,343",34.4,1304,478.284037558685,426.162240688771,14344,25,46,2,130,34200,1,0,2,993179,32000,1025179,16.142931,0,478.284037558685,8777.50234741784
"99","関西","那覇","JAL",1473,1857453,"3,118:54",217810,330837,"225","274,658,410","417,185,457",65.8,4071928,"1,634","507,652","20,599,380","5,134,699","2,059","640,149","26,376,287","49,856,032",52.9,1261,224.600814663951,1473.80692976265,13871,25,46,1,130,34200,4,615,2,993179,32000,1025179,39.38936,0,224.600814663951,2764.37746096402
"100","関西","那覇","ANA",1565,1973465,"3,321:23",227843,381746,"244","287,310,023","481,381,706",59.7,8111928,"4,020","394,352","21,548,252","10,229,141","5,070","497,278","32,279,741","92,750,596",34.8,1261,243.927156549521,1564.59236258376,13871,25,46,2,130,34200,4,495,2,993179,32000,1025179,39.38936,0,243.927156549521,5183.34057507987
"101","神戸","那覇","ANA",1024,1339392,"2,155:47",157229,249278,"243","205,655,532","326,055,624",63.1,1755528,"3,496","84,056","15,424,165","2,296,231","4,572","109,945","17,834,913","56,884,670",31.4,1308,243.435546875,1023.57412327245,14388,25,46,2,125,34200,3,520,2,993179,32000,1025179,30.259194,0,243.435546875,1714.3828125
"102","神戸","那覇","JTA",743,971844,"1,535:47",93285,151798,"204","122,016,780","198,551,784",61.5,2334934,"0","201,540","9,151,260","3,054,094","0","263,613","12,468,967","22,892,016",54.5,1308,204.304172274563,742.436755649919,14388,25,46,9,125,34200,2,300,2,993179,32000,1025179,30.259194,0,204.304172274563,3142.57604306864
"103","福岡","新千歳","JAL",729,1176606,"1,595:57",120647,168230,"231","194,724,258","271,523,220",71.7,2429707,"723","310,569","14,604,319","3,921,548","1,167","501,257","19,028,291","31,765,296",59.9,1614,230.76817558299,729.15768086976,17754,37,8,1,145,51100,2,405,2,224962,9000,233962,43.668941,0,230.76817558299,3332.93141289438
"104","福岡","新千歳","ANA",372,600408,"806:15:00",104315,149517,"402","168,364,410","241,320,438",69.8,1780381,"2,122","85,978","12,627,331","2,873,535","3,425","138,771","15,643,062","51,590,249",30.3,1614,401.927419354839,371.829382301555,17754,37,8,2,145,51100,1,60,2,224962,9000,233962,43.668941,0,401.927419354839,4785.97043010753
"105","福岡","仙台","JAL",947,1189432,"1,621:10",82099,138372,"146","103,116,344","173,795,232",59.3,562697,"631","83,448","7,733,727","706,747","794","104,811","8,546,079","18,474,630",46.3,1256,146.116156282999,947.512470843193,13816,37,12,1,105,43500,3,325,2,113236,34000,147236,17.895864,0,146.116156282999,594.189017951426
"106","福岡","仙台","ANA",485,609160,"854:26:00",31137,60827,"125","39,108,072","76,398,712",51.2,136411,"427","22,306","2,933,106","171,331","539","28,017","3,132,993","8,575,384",36.5,1256,125.416494845361,484.899958334703,13816,37,12,2,105,43500,2,335,2,113236,34000,147236,17.895864,0,125.416494845361,281.259793814433
"107","福岡","東京","JAL",6777,7054857,"10,470:03",1546302,2622485,"387","1,609,700,382","2,730,006,885",59,41041524,"9,279","1,311,643","120,727,529","42,724,227","9,658","1,365,419","164,826,833","332,673,099",49.5,1041,386.968422605873,6772.77703903753,11451,37,18,1,100,36700,19,680,3,4537674,1112000,5649674,20.323949,0,386.968422605873,6056.001770695
"108","福岡","東京","ANA",6411,6673851,"10,159:50",1639873,2662324,"415","1,707,107,793","2,771,479,284",61.6,32349941,"22,588","991,021","128,033,085","33,676,288","23,514","1,031,653","162,764,540","545,913,915",29.8,1041,415.274372172828,6410.53643541137,11451,37,18,2,100,36700,18,690,3,4537674,1112000,5649674,20.323949,0,415.274372172828,5046.00545936671
"109","福岡","東京","SKY",3628,3776748,"5,723:40",601398,720818,"199","626,055,318","750,371,538",83.4,0,"12,824","0","46,954,148","0","13,351","0","46,967,499","90,870,810",51.7,1041,198.681918412348,3629.42297510876,5725.5,37,18,4,100,21700,10,685,3,4537674,1112000,5649674,20.323949,0,198.681918412348,0
"110","福岡","成田","JAL",790,874530,"1,387:34",73111,116299,"147","80,933,877","128,742,993",62.9,10285,"549","463,637","6,070,041","11,384","607","513,246","6,595,278","13,969,676",47.2,1107,147.213924050633,789.556456986707,12177,37,18,1,120,36700,2,660,2,4537674,1112000,5649674,66.145079,0,147.213924050633,13.0189873417722
"111","福岡","成田","ANA",730,808110,"1,304:12",52552,89637,"123","58,175,064","99,228,159",58.6,9056,"1,188","191,600","4,363,130","10,025","1,315","212,101","4,586,571","11,320,209",40.5,1107,122.790410958904,730.343519392456,12177,37,18,2,120,36700,2,540,2,4537674,1112000,5649674,66.145079,0,122.790410958904,12.4054794520548
"112","北九州","東京","JAL",1454,1392932,"2,145:02",123165,238662,"164","117,992,070","228,638,196",51.6,556935,"925","0","8,849,404","533,543","886","0","9,383,833","25,291,584",37.1,958,164.141678129298,1454.18191884874,10538,37,18,1,100,36700,4,625,2,4537674,1112000,5649674,80.733392,0,164.141678129298,383.036451169188
"113","北九州","東京","SFJ",3777,3618366,"5,583:42",372587,543888,"144","356,938,346","521,044,704",68.5,2581300,"7,107","0","26,770,378","2,472,885","6,809","0","29,250,072","55,965,267",52.3,958,144,3777.2404703974,8622,37,18,3,100,29600,11,980,2,4537674,1112000,5649674,80.733392,0,144,683.425999470479
"114","佐賀","東京","ANA",1468,1658840,"2,334:11",128686,242116,"165","145,415,180","273,591,080",53.2,867664,"3,436","0","10,906,140","980,460","3,886","0","11,890,486","36,520,804",32.6,1130,164.929155313351,1466.63564112747,12430,37,18,2,110,36700,4,600,1,4537674,1112000,5649674,69.447815,0,164.929155313351,591.051771117166
"115","福岡","大阪","JAL",897,518466,"39.61041667",79190,129821,"202","45771820","75036538",71.05,586098,"461","81752","3432888","338765","266","47253","3819172","8130362",56.95,578,144.727982162765,770.111756922964,6358,37,25,1,70,21900,2,725,3,541865,2517000,3058865,15.717997,0,144.727982162765,653.397993311037
"116","福岡","大阪","ANA",2581,1491818,"2,964:08",286273,403363,"156","165,465,794","233,143,814",71,3393236,"2,649","430,711","12,409,937","1,961,289","1,531","248,951","14,621,708","36,343,777",40.2,578,156.281673769857,2579.96602368405,6358,37,25,2,70,21900,7,675,3,541865,2517000,3058865,15.717997,0,156.281673769857,1314.69817900039
"117","福岡","大阪","JAC",703,406334,"778:29:00",38401,52022,"74","22,195,778","30,068,716",73.8,72601,"229","0","1,664,685","41,962","132","0","1,706,779","2,882,534",59.2,578,74,703.160477550722,6358,37,25,6,70,21900,2,495,3,541865,2517000,3058865,15.717997,0,74,103.273115220484
"118","福岡","関西","JAL",1110,613830,"46.93194444",46002,69114,"115","25439106","38220042",74.9,11871,"225","15569","1907932","6565","124","8610","1923231","3610780",60.9,553,62.2648648648649,986.397234684299,6083,37,25,1,70,21900,3,725,2,541865,2517000,3058865,38.964426,0,62.2648648648649,10.6945945945946
"119","福岡","関西","ANA",1328,734384,"1,432:54",68597,104373,"79","37,934,141","57,718,269",65.7,4527,"1,430","13,860","2,845,061","2,505","792","7,665","2,856,023","5,477,249",52.1,553,78.5941265060241,1328.46360759658,6083,37,25,2,70,21900,4,640,2,541865,2517000,3058865,38.964426,0,78.5941265060241,3.40888554216867
"120","佐賀","大阪","ANA",717,473220,"832:23:00",23402,53058,"74","15,445,320","35,018,280",44.1,25679,"699","0","1,158,403","16,948","462","0","1,175,813","3,182,880",36.9,660,74,717.104859962003,7260,37,25,2,80,21900,2,60,1,541865,2517000,3058865,64.841863,0,74,35.8145048814505
"121","福岡","那覇","JAL",1833,1847664,"3,116:07",199883,352312,"192","201,482,064","355,130,496",56.7,6055652,"1,499","156,093","15,111,155","6,104,097","1,511","157,340","21,374,103","42,251,228",50.6,1008,192.205128205128,1834.12034919506,11088,37,46,1,100,27500,5,575,4,655254,14000,669254,5.6347,0,192.205128205128,3303.68357883252
"122","福岡","那覇","ANA",2907,2930256,"4,790:39",373204,608891,"209","376,189,632","613,762,128",61.3,9726717,"4,775","348,092","28,214,223","9,804,531","4,814","350,876","38,374,444","100,214,960",38.3,1008,209.456828345373,2906.64031101091,11088,37,46,2,100,27500,8,540,4,655254,14000,669254,5.6347,0,209.456828345373,3345.96388028896
"123","福岡","那覇","JTA",365,367920,"586:21:00",35297,53110,"146","35,579,376","53,534,880",66.5,406423,"0","1,758","2,668,453","409,674","0","1,773","3,079,900","5,673,148",54.3,1008,145.506849315069,364.781422583006,11088,37,46,9,100,27500,1,0,4,655254,14000,669254,5.6347,0,145.506849315069,1113.48767123288
"124","福岡","那覇","SKY",594,598752,"1,002:17",46870,105138,"177","47,244,960","105,979,104",44.6,0,"2,765","0","3,543,372","0","2,786","0","3,546,158","11,155,717",31.8,1008,177,593.727040105394,5544,37,46,4,100,19800,2,70,4,655254,14000,669254,5.6347,0,177,0
"125","那覇","東京","JAL",4224,7125888,"9,476:17",1285780,2023063,"479","2,169,110,860","3,412,907,281",63.6,27117403,"9,645","243,093","162,683,316","45,747,058","16,272","410,098","208,856,744","376,734,767",55.4,1687,478.944839015152,4221.08456335764,18557,46,18,1,160,40800,11,550,4,2566015,45000,2611015,20.748883,0,478.944839015152,6419.83972537879
"126","那覇","東京","ANA",3616,6100192,"8,247:37",1075612,1654187,"457","1,814,557,444","2,790,613,469",65,23754708,"17,448","843,244","136,091,808","40,074,192","29,436","1,422,553","177,617,989","462,875,600",38.4,1687,457.463219026549,3617.31309421765,18557,46,18,2,160,40800,9,575,4,2566015,45000,2611015,20.748883,0,457.463219026549,6569.33296460177
"127","那覇","東京","JTA",257,433559,"588:27:00",32881,38470,"150","55,470,247","64,898,890",85.5,41893,"0","0","4,160,269","70,675","0","0","4,230,944","6,465,021",65.4,1687,149.688715953307,256.91522368003,18557,46,18,9,160,40800,1,0,4,2566015,45000,2611015,20.748883,0,149.688715953307,163.007782101167
"128","那覇","東京","SKY",1086,1832082,"2,525:32",171742,208782,"192","289,728,754","352,215,234",82.3,0,"11,632","0","21,729,658","0","19,623","0","21,749,281","41,180,018",52.8,1687,192.24861878453,1085.45907174649,9278.5,46,18,4,160,24700,3,195,4,2566015,45000,2611015,20.748883,0,192.24861878453,0
"129","那覇","大阪","JAL",427,556808,"790:02:00",134550,197606,"463","175,453,200","257,678,224",68.1,3180893,"1,008","58,689","13,158,990","4,147,884","1,315","76,532","17,384,721","31,599,832",55,1304,462.777517564403,426.9375348026,14344,46,25,1,130,34200,1,0,2,990790,22000,1012790,16.142931,0,462.777517564403,7449.3981264637
"130","那覇","大阪","ANA",426,555504,"787:54:00",145413,203635,"478","189,618,552","265,540,040",71.4,2294962,"2,836","588","14,221,391","2,992,629","3,698","767","17,218,485","58,590,952",29.4,1304,478.016431924883,426.051596271381,14344,46,25,2,130,34200,1,0,2,990790,22000,1012790,16.142931,0,478.016431924883,5387.23474178404
"131","那覇","関西","JAL",1471,1854931,"2,698:34",226618,333495,"227","285,765,298","420,537,195",68,4313215,"1,700","247,207","21,432,399","5,438,965","2,143","311,726","27,185,233","50,120,085",54.2,1261,226.713120326309,1469.97123159973,13871,46,25,1,130,34200,4,635,2,990790,22000,1012790,39.38936,0,226.713120326309,2932.16519374575
"132","那覇","関西","ANA",1552,1957072,"2,855:43",240932,381682,"246","303,815,252","481,301,002",63.1,6009362,"3,375","308,331","22,786,145","7,577,806","4,257","388,805","30,757,013","91,836,108",33.5,1261,245.92912371134,1552.58420707521,13871,46,25,2,130,34200,4,435,2,990790,22000,1012790,39.38936,0,245.92912371134,3872.01159793814
"133","那覇","神戸","ANA",1025,1340700,"1,859:51",152136,249338,"243","198,993,888","326,134,104",61,1264284,"3,008","0","14,924,542","1,653,684","3,936","0","16,582,162","56,877,731",29.2,1308,243.256585365854,1025.26835322228,14388,46,25,2,125,34200,3,140,2,990790,22000,1012790,30.259194,0,243.256585365854,1233.44780487805
"134","那覇","神戸","JTA",741,969228,"1,372:56",91141,151317,"204","119,212,428","197,922,636",60.2,1917473,"0","29","8,940,933","2,508,054","0","38","11,449,025","22,834,057",50.1,1308,204.206477732794,741.39180915153,14388,46,25,9,125,34200,3,600,2,990790,22000,1012790,30.259194,0,204.206477732794,2587.68286099865
"135","那覇","福岡","JAL",1828,1842624,"2,940:38",210209,351244,"192","211,890,672","354,053,952",59.8,2768300,"1,578","16,839","15,891,801","2,790,448","1,590","16,974","18,700,813","42,105,168",44.4,1008,192.146608315098,1829.43675130179,11088,46,37,1,100,27500,5,150,4,655691,13000,668691,5.6347,0,192.146608315098,1514.38730853392
"136","那覇","福岡","ANA",2909,2932272,"4,634:04",371051,604203,"208","374,019,408","609,036,624",61.4,6096325,"4,119","167,036","28,051,456","6,145,094","4,151","168,371","34,369,072","99,570,840",34.5,1008,207.701271914747,2909.55170377866,11088,46,37,2,100,27500,8,685,4,655691,13000,668691,5.6347,0,207.701271914747,2095.67720866277
"137","那覇","福岡","JTA",367,369936,"587:50:00",27577,53330,"145","27,797,616","53,756,640",51.7,349993,"0","336","2,084,821","352,794","0","339","2,437,954","5,704,233",42.7,1008,145.313351498638,367.071745175563,11088,46,37,9,100,27500,1,615,4,655691,13000,668691,5.6347,0,145.313351498638,953.659400544959
"138","那覇","福岡","SKY",591,595728,"962:21:00",46854,104607,"177","47,228,832","105,443,856",44.8,0,"1,541","0","3,542,162","0","1,554","0","3,543,716","11,099,376",31.9,1008,177,590.874697336562,5544,46,37,4,100,19800,2,470,4,655691,13000,668691,5.6347,0,177,0
