"","空港i","空港j","航空会社","運航回数","運航キロメートル","運航時間","旅客数","座席数","X","人キロメートル","座席キロメートル","座席利用率","貨物","超過手荷物","郵便物","旅客","貨物.1","超過手荷物.1","郵便物.1","計","利用可能.トンキロメートル","重量利用率...","DIS","Seat","Freq","MC","V27","V28","V29"
"15","東京","関西","ANA",1617,1096326,"2,033:02",242305,367216,"227","164,282,790","248,972,448",66,3310927,"2,624","383,507","12,321,211","2,244,809","1,779","260,018","14,827,817","49,495,847",30,678,227.097093382808,1616.61596989238,7458,18,25,2
"16","関西","東京","ANA",1934,1311252,"2,269:21",230813,367208,"190","156,491,214","248,967,024",62.9,2691252,"2,041","950,047","11,736,841","1,824,668","1,384","644,132","14,207,025","64,697,152",22,678,189.869700103413,1932.65331459713,7458,25,18,2
"17","東京","関西","SFJ",1455,986490,"1,806:39",150657,209520,"144","102,145,446","142,054,560",71.9,0,"502","0","7,660,909","0","341","0","7,661,250","15,258,042",50.2,678,144,1455.1170607325,6102,18,25,3
"18","関西","東京","SFJ",1456,987168,"1,721:20",158283,209664,"144","107,315,874","142,152,192",75.5,0,"539","0","8,048,691","0","366","0","8,049,057","15,268,529",52.7,678,144,1455.87748344371,6102,25,18,3
"19","東京","福岡","JAL",6779,7056939,"12,468:08",1526552,2622464,"387","1,589,140,632","2,729,985,024",58.2,32322041,"9,160","4,092,986","119,185,548","33,647,244","9,534","4,260,797","157,103,123","332,674,349",47.2,1041,386.851157987904,6780.23453360847,11451,18,37,1
"20","福岡","東京","JAL",6777,7054857,"10,470:03",1546302,2622485,"387","1,609,700,382","2,730,006,885",59,41041524,"9,279","1,311,643","120,727,529","42,724,227","9,658","1,365,419","164,826,833","332,673,099",49.5,1041,386.968422605873,6772.77703903753,11451,37,18,1
"21","東京","福岡","ANA",6414,6676974,"11,755:05",1605033,2669681,"416","1,670,839,353","2,779,137,921",60.1,33578705,"22,589","1,849,626","125,312,951","34,955,433","23,515","1,925,460","162,217,359","547,003,402",29.7,1041,416.227159338946,6416.217523109,11451,18,37,2
"22","福岡","東京","ANA",6411,6673851,"10,159:50",1639873,2662324,"415","1,707,107,793","2,771,479,284",61.6,32349941,"22,588","991,021","128,033,085","33,676,288","23,514","1,031,653","162,764,540","545,913,915",29.8,1041,415.274372172828,6410.53643541137,11451,37,18,2
"23","東京","福岡","SKY",3631,3779871,"6,987:51",589790,721349,"199","613,971,390","750,924,309",81.8,0,"11,172","0","46,047,855","0","11,630","0","46,059,485","90,928,997",50.7,1041,198.6640044065,3629.31710795145,5725.5,18,37,4
"24","福岡","東京","SKY",3628,3776748,"5,723:40",601398,720818,"199","626,055,318","750,371,538",83.4,0,"12,824","0","46,954,148","0","13,351","0","46,967,499","90,870,810",51.7,1041,198.681918412348,3629.42297510876,5725.5,37,18,4
"25","東京","那覇","JAL",4232,7139384,"11,217:57",1279999,2035566,"481","2,159,358,313","3,433,999,842",62.9,39015803,"9,600","1,089,710","161,951,875","65,819,660","16,195","1,838,341","229,626,071","366,416,400",62.7,1687,480.993856332703,4230.77038512214,18557,18,46,1
"26","那覇","東京","JAL",4224,7125888,"9,476:17",1285780,2023063,"479","2,169,110,860","3,412,907,281",63.6,27117403,"9,645","243,093","162,683,316","45,747,058","16,272","410,098","208,856,744","376,734,767",55.4,1687,478.944839015152,4221.08456335764,18557,46,18,1
"27","東京","那覇","ANA",3623,6112001,"9,668:04",1106219,1653361,"456","1,866,191,453","2,789,220,007",66.9,23484616,"21,132","2,903,273","139,964,357","39,618,548","35,650","4,897,821","184,516,376","463,134,415",39.8,1687,456.351366271046,3623.39466547459,18557,18,46,2
"28","那覇","東京","ANA",3616,6100192,"8,247:37",1075612,1654187,"457","1,814,557,444","2,790,613,469",65,23754708,"17,448","843,244","136,091,808","40,074,192","29,436","1,422,553","177,617,989","462,875,600",38.4,1687,457.463219026549,3617.31309421765,18557,46,18,2
"29","東京","那覇","JTA",17,28679,"43:50:00",1085,2400,"141","1,830,395","4,048,800",45.2,2293,"0","0","137,280","3,868","0","0","141,148","427,648",33,1687,141.176470588235,17.0031342182891,18557,18,46,9
"30","那覇","東京","JTA",257,433559,"588:27:00",32881,38470,"150","55,470,247","64,898,890",85.5,41893,"0","0","4,160,269","70,675","0","0","4,230,944","6,465,021",65.4,1687,149.688715953307,256.91522368003,18557,46,18,9
"31","東京","那覇","SKY",1087,1833769,"3,077:41",163200,209047,"192","275,318,400","352,662,289",78.1,0,"14,489","0","20,648,879","0","24,442","0","20,673,321","41,249,213",50.1,1687,192.315547378105,1086.56253208152,9278.5,18,46,4
"32","那覇","東京","SKY",1086,1832082,"2,525:32",171742,208782,"192","289,728,754","352,215,234",82.3,0,"11,632","0","21,729,658","0","19,623","0","21,749,281","41,180,018",52.8,1687,192.24861878453,1085.45907174649,9278.5,46,18,4
"33","成田","新千歳","JAL",638,569096,"1,099:57",63195,114520,"179","56,369,940","102,151,840",55.2,173935,"472","0","4,227,746","155,149","421","0","4,383,316","11,037,250",39.7,892,179.498432601881,637.797745599781,9812,18,8,1
"34","新千歳","成田","JAL",638,569096,"1,053:29",65119,114397,"179","58,086,148","102,042,124",56.9,20550,"486","0","4,356,460","18,330","433","0","4,375,223","11,022,889",39.7,892,179.305642633229,638.265690014577,9812,8,18,1
"35","成田","新千歳","ANA",364,324688,"639:12:00",34133,60246,"166","30,446,636","53,739,432",56.7,121522,"862","0","2,283,498","108,397","767","0","2,392,662","7,094,559",33.7,892,165.510989010989,363.717810474995,9812,18,8,2
"36","新千歳","成田","ANA",362,322904,"605:33:00",25842,59909,"165","23,051,064","53,438,828",43.1,701,"753","0","1,728,830","626","671","0","1,730,127","7,055,516",24.5,892,165.494475138122,362.297512402705,9812,8,18,2
"37","成田","新千歳","IBX",361,322012,"587:31:00",11796,18050,"50","10,522,032","16,100,600",65.4,0,"0","0","789,152","0","0","0","789,152","1,393,225",56.6,892,50,360.733944954128,9812,18,8,5
"38","新千歳","成田","IBX",357,318444,"594:37:00",14013,17850,"50","12,499,596","15,922,200",78.5,0,"0","0","937,470","0","0","0","937,470","1,377,785",68,892,50,357.019108280255,9812,8,18,5
"39","成田","大阪","JAL",729,429381,"986:13:00",105150,149657,"205","61,933,350","88,147,973",70.3,481919,"788","19","4,645,001","283,849","463","11","4,929,324","12,781,771",38.6,589,205.290809327846,728.592078513988,6479,18,25,1
"40","大阪","成田","JAL",728,428792,"909:09:00",108098,148948,"205","63,669,722","87,730,372",72.6,834087,"811","906,812","4,775,230","491,278","476","534,112","5,801,096","12,795,260",45.3,589,204.598901098901,727.742504992406,6479,25,18,1
"41","成田","大阪","ANA",637,375193,"817:08:00",87751,135078,"212","51,685,339","79,560,942",65,1234331,"1,892","0","3,876,401","727,022","1,115","0","4,604,538","23,911,645",19.3,589,212.053375196232,636.639423148107,6479,18,25,2
"42","大阪","成田","ANA",637,375193,"809:06:00",88647,135132,"212","52,213,083","79,592,748",65.6,6792,"1,650","0","3,915,982","4,001","971","0","3,920,954","23,916,292",16.4,589,212.138147566719,637.002931821677,6479,25,18,2
"43","成田","大阪","IBX",61,35929,"84:59:00",2268,3050,"50","1,335,852","1,796,450",74.4,0,"0","0","100,189","0","0","0","100,189","155,451",64.5,589,50,60.9677419354839,6479,18,25,5
"44","大阪","成田","IBX",61,35929,"72:20:00",2141,3050,"50","1,261,049","1,796,450",70.2,0,"0","0","94,579","0","0","0","94,579","155,451",60.8,589,50,60.997150997151,6479,25,18,5
"45","成田","関西","ANA",1,752,"1:30",0,0,"0","0","0",0,0,"0","0","0","0","0","0","0","52,654",0,752,0,NA,8272,18,25,2
"46","関西","成田","ANA",0,0,"0:00",0,0,"#DIV/0!","0","0",0,0,"0","0","0","0","0","0","0","0",0,NA,NA,NA,NA,25,18,2
"47","成田","福岡","JAL",787,871209,"1,609:26",68401,115864,"147","75,719,907","128,261,448",59,74536,"513","22,084","5,678,993","82,512","568","24,446","5,786,519","13,917,204",41.6,1107,147.222363405337,787.474780484893,12177,18,37,1
"48","福岡","成田","JAL",790,874530,"1,387:34",73111,116299,"147","80,933,877","128,742,993",62.9,10285,"549","463,637","6,070,041","11,384","607","513,246","6,595,278","13,969,676",47.2,1107,147.213924050633,789.556456986707,12177,37,18,1
"49","成田","福岡","ANA",729,807003,"1,533:18",49204,89565,"123","54,468,828","99,148,455",54.9,5005,"2,324","18,277","4,085,163","5,540","2,572","20,233","4,113,508","11,313,451",36.4,1107,122.860082304527,729.486507189119,12177,18,37,2
"50","福岡","成田","ANA",730,808110,"1,304:12",52552,89637,"123","58,175,064","99,228,159",58.6,9056,"1,188","191,600","4,363,130","10,025","1,315","212,101","4,586,571","11,320,209",40.5,1107,122.790410958904,730.343519392456,12177,37,18,2
"51","成田","那覇","JAL",3,5661,"9:13",0,0,"0","0","0",0,33570,"0","7,354","0","63,347","0","13,877","77,224","400,611",19.3,1887,0,NA,20757,18,46,1
"52","那覇","成田","JAL",4,7548,"8:54",0,0,"0","0","0",0,131728,"0","0","0","248,571","0","0","248,571","499,489",49.8,1887,0,NA,20757,46,18,1
"53","成田","那覇","ANA",365,688755,"1,075:50",54443,78519,"215","102,733,941","148,165,353",69.3,57773,"3,002","1,052,427","7,705,046","109,020","5,665","1,985,931","9,805,662","31,096,400",31.5,1887,215.120547945205,365.196762056121,20757,18,46,2
"54","那覇","成田","ANA",364,686868,"897:41:00",58693,78303,"215","110,753,691","147,757,761",75,3148,"1,188","607,050","8,306,526","5,941","2,242","1,145,504","9,460,213","31,011,157",30.5,1887,215.118131868132,363.787713540137,20757,46,18,2
"55","大阪","新千歳","JAL",786,912546,"58.68472222",157415,213764,"509","182758815","248180004",77.5,3228958,"856","319507","13706912","3748821","992","370949","17827674","29253318",64.5,1161,271.964376590331,746.848287921983,12771,25,8,1
"56","新千歳","大阪","JAL",784,910224,"62",159098,212764,"508","184,712,778","247,019,004",77.3,3276702,"868","1,337","13,853,461","3,804,252","1,007","1,552","17,660,272","29,580,258",63.15,1161,271.382653061225,758.408413838649,12771,8,25,1
"57","大阪","新千歳","ANA",424,492264,"762:59:00",102185,128177,"302","118,636,785","148,813,497",79.7,1555494,"1,858","157,664","8,897,759","1,805,928","2,158","183,048","10,888,893","28,700,981",37.9,1161,302.304245283019,424.115926818535,12771,25,8,2
"58","新千歳","大阪","ANA",424,492264,"810:53:00",99150,127475,"301","115,113,150","147,998,475",77.8,1611353,"1,922","15,021","8,633,486","1,870,782","2,230","17,440","10,523,938","28,482,624",36.9,1161,300.64858490566,423.890767432094,12771,8,25,2
"59","大阪","福岡","JAL",896,517888,"43.85763889",86430,129360,"201","49956540","74770080",69.2,790057,"504","115787","3746740","456654","292","66924","4270610","8098747",55.9,578,144.375,865.100217701374,6358,25,37,1
"60","福岡","大阪","JAL",897,518466,"39.61041667",79190,129821,"202","45771820","75036538",71.05,586098,"461","81752","3432888","338765","266","47253","3819172","8130362",56.95,578,144.727982162765,770.111756922964,6358,37,25,1
"61","大阪","福岡","ANA",2585,1494130,"3,296:16",286928,403613,"156","165,844,384","233,288,314",71.1,3808755,"2,864","730","12,438,330","2,201,459","1,657","423","14,641,869","36,347,628",40.3,578,156.136557059961,2584.63208843895,6358,25,37,2
"62","福岡","大阪","ANA",2581,1491818,"2,964:08",286273,403363,"156","165,465,794","233,143,814",71,3393236,"2,649","430,711","12,409,937","1,961,289","1,531","248,951","14,621,708","36,343,777",40.2,578,156.281673769857,2579.96602368405,6358,37,25,2
