"","空港i","空港j","航空会社","運航回数","運航キロメートル","運航時間","旅客数","座席数","X","人キロメートル","座席キロメートル","座席利用率","貨物","超過手荷物","郵便物","旅客","貨物.1","超過手荷物.1","郵便物.1","計","利用可能.トンキロメートル","重量利用率...","DIS","Seat","Freq","MC","V27","V28","V29"
"112","北九州","東京","SFJ",3777,3618366,"5,583:42",372587,543888,"144","356,938,346","521,044,704",68.5,2581300,"7,107","0","26,770,378","2,472,885","6,809","0","29,250,072","55,965,267",52.3,958,144,3777.2404703974,8622,37,18,3
"113","東京","佐賀","ANA",1808,2043040,"3,483:47",127199,242443,"134","143,734,870","273,960,590",52.5,7849471,"3,456","614,117","10,780,117","8,869,903","3,906","693,951","20,347,877","63,088,564",32.3,1130,134.094579646018,1806.81284928436,12430,18,37,2
"114","佐賀","東京","ANA",1468,1658840,"2,334:11",128686,242116,"165","145,415,180","273,591,080",53.2,867664,"3,436","0","10,906,140","980,460","3,886","0","11,890,486","36,520,804",32.6,1130,164.929155313351,1466.63564112747,12430,37,18,2
"115","成田","仙台","ANA",364,158340,"351:21:00",13572,26935,"74","5,903,820","11,716,725",50.4,0,"566","0","442,787","0","246","0","443,033","1,064,993",41.6,435,73.9972527472527,363.91312418786,4785,18,12,2
"116","仙台","成田","ANA",364,158340,"347:58:00",13257,26860,"74","5,766,795","11,684,100",49.4,0,"427","0","432,509","0","186","0","432,695","1,064,993",40.6,435,73.7912087912088,363.675196927539,4785,12,18,2
"117","成田","仙台","IBX",359,156165,"325:40:00",7551,17950,"50","3,284,685","7,808,250",42.1,0,"0","0","246,352","0","0","0","246,352","675,662",36.5,435,50,358.717339667458,4785,18,12,5
"118","仙台","成田","IBX",357,155295,"341:01:00",9114,17850,"50","3,964,590","7,764,750",51.1,0,"0","0","297,346","0","0","0","297,346","671,898",44.3,435,50,356.712328767123,4785,12,18,5
"119","大阪","仙台","ANA",2178,1748934,"2,676:41",285683,451336,"207","229,403,449","362,422,808",63.3,2945464,"2,549","314,590","17,205,259","2,365,207","2,048","252,613","19,825,127","59,551,512",33.3,803,207.224977043159,2177.90327307985,8833,25,12,2
"120","仙台","大阪","ANA",2174,1745722,"3,038:50",288522,450729,"207","231,683,166","361,935,387",64,3038022,"2,538","294","17,376,237","2,439,531","2,038","236","19,818,042","59,474,070",33.3,803,207.327046918123,2174.41781813462,8833,12,25,2
"121","大阪","仙台","JEX",2175,1746525,"2,673:53",200544,340088,"156","161,036,832","273,090,664",59,435226,"1,545","255,929","12,077,763","349,486","1,241","205,511","12,634,001","28,321,086",44.6,803,156.362298850575,2173.83018313505,8833,25,12,11
"122","仙台","大阪","JEX",2174,1745722,"2,979:04",201894,330542,"152","162,120,882","265,425,226",61.1,230114,"1,555","34,710","12,159,066","184,782","1,247","27,873","12,372,968","28,339,797",43.7,803,152.043238270469,2173.27703828521,8833,12,25,11
"123","大阪","仙台","IBX",422,338866,"478:58:00",8995,21100,"50","7,222,985","16,943,300",42.6,0,"0","0","541,724","0","0","0","541,724","1,466,140",36.9,803,50,422.300469483568,8833,25,12,5
"124","仙台","大阪","IBX",421,338063,"569:46:00",9156,21050,"50","7,352,268","16,903,150",43.5,0,"0","0","551,420","0","0","0","551,420","1,462,666",37.7,803,50,420.965517241379,8833,12,25,5
"125","大阪","佐賀","ANA",721,475860,"963:18:00",20996,53354,"74","13,857,360","35,213,640",39.4,2287,"679","0","1,039,306","1,508","448","0","1,041,262","3,200,636",32.5,660,74,720.126217588147,7260,25,37,2
"126","佐賀","大阪","ANA",717,473220,"832:23:00",23402,53058,"74","15,445,320","35,018,280",44.1,25679,"699","0","1,158,403","16,948","462","0","1,175,813","3,182,880",36.9,660,74,717.104859962003,7260,37,25,2
"127","関西","函館","ANA",364,435708,"583:57:00",38638,44900,"123","46,249,686","53,745,300",86.1,33968,"1,156","4,437","3,468,726","40,660","1,386","5,312","3,516,084","6,208,283",56.6,1197,123.351648351648,363.803212196933,13167,25,3,2
"128","函館","関西","ANA",363,434511,"730:53:00",36851,44774,"123","44,110,647","53,594,478",82.3,55076,"1,144","12,789","3,308,298","65,926","1,369","15,307","3,390,900","6,191,710",54.8,1197,123.34435261708,363.019682324097,13167,3,25,2
"129","関西","佐賀","ANA",0,0,"0:00",0,0,"#DIV/0!","0","0",0,0,"0","0","0","0","0","0","0","0",0,NA,NA,NA,NA,25,37,2
"130","佐賀","関西","ANA",281,175344,"297:17:00",0,0,"0","0","0",0,2337075,"0","51,703","0","1,458,336","0","32,263","1,490,599","12,153,298",12.3,624,0,NA,6864,37,25,2
"131","新千歳","函館","ANA",0,0,"0:00",0,0,"#DIV/0!","0","0",0,0,"0","0","0","0","0","0","0","0",0,NA,NA,NA,NA,8,3,2
"132","函館","新千歳","ANA",1,160,"0:50",31,56,"56","4,960","8,960",55.4,0,"0","0","372","0","0","0","372","762",48.8,160,56,0.999226405363589,1760,3,8,2
"133","新千歳","函館","HAC",74,11840,"46:29:00",531,2664,"36","84,960","426,240",19.9,23,"0","0","6,372","4","0","0","6,376","47,336",13.5,160,36,74.1206030150754,1760,8,3,10
"134","函館","新千歳","HAC",66,10560,"40:17:00",557,2376,"36","89,120","380,160",23.4,65,"0","0","6,684","10","0","0","6,694","42,219",15.9,160,36,66.1206077872745,1760,3,8,10
"135","丘珠","函館","ANA",1508,387556,"1,044:33",42740,84427,"56","10,984,180","21,697,739",50.6,0,"602","2,121","823,814","0","154","545","824,513","1,908,096",43.2,257,55.986074270557,1508.70380291115,2827,8,3,2
"136","函館","丘珠","ANA",1506,387042,"1,011:47",44683,84306,"56","11,483,531","21,666,642",53,0,"568","2,690","861,266","0","147","692","862,105","1,905,575",45.2,257,55.9800796812749,1506.02763786369,2827,3,8,2
"137","丘珠","函館","HAC",777,199689,"503:02:00",16219,27972,"36","4,168,283","7,188,804",58,24301,"0","0","312,621","6,246","0","0","318,867","798,357",39.9,257,36,776.772030651341,2827,8,3,10
"138","函館","丘珠","HAC",787,202259,"485:30:00",15301,28332,"36","3,932,357","7,281,324",54,2098,"0","0","294,928","539","0","0","295,467","808,631",36.5,257,36,787.088477366255,2827,3,8,10
"139","仙台","新千歳","JAL",1433,951512,"1,665:49",117426,220827,"154","77,970,864","146,629,128",53.2,333298,"705","71","5,847,815","221,310","468","48","6,069,641","15,015,497",40.4,664,154.101186322401,1432.34175659094,7304,12,8,1
"140","新千歳","仙台","JAL",1433,951512,"1,592:11",116309,220951,"154","77,229,176","146,711,464",52.6,376647,"697","41,819","5,792,187","250,093","463","27,767","6,070,510","15,024,261",40.4,664,154.187718073971,1434.09458694393,7304,8,12,1
"141","仙台","新千歳","ANA",1081,717784,"1,277:17",103819,186115,"172","68,935,816","123,580,360",55.8,929694,"1,328","34,247","5,170,186","617,316","881","22,740","5,811,123","16,879,492",34.4,664,172.169287696577,1080.65473258768,7304,12,8,2
"142","新千歳","仙台","ANA",1081,717784,"1,217:11",105860,186108,"172","70,291,040","123,575,712",56.9,772422,"1,748","97,848","5,271,829","512,888","1,161","64,973","5,850,851","16,879,493",34.7,664,172.162812210916,1080.63809954747,7304,8,12,2
"143","仙台","新千歳","ADO",1351,897064,"1,623:26",109844,170226,"126","72,936,416","113,030,064",64.5,242011,"557","0","5,470,232","160,695","370","0","5,631,297","13,021,064",43.2,664,126,1351.59345391904,5976,12,8,7
"144","新千歳","仙台","ADO",1351,897064,"1,537:04",110938,170226,"126","73,662,832","113,030,064",65.2,90661,"823","0","5,524,713","60,198","546","0","5,585,457","13,021,065",42.9,664,126,1350.39925990846,5976,8,12,7
"145","仙台","那覇","ANA",363,729630,"1,119:30",64208,98006,"270","129,058,080","196,992,060",65.5,807690,"1,139","0","9,679,359","1,623,456","2,290","0","11,305,105","35,805,862",31.6,2010,269.988980716253,363.079562195366,22110,12,46,2
"146","那覇","仙台","ANA",364,731640,"927:22:00",65648,98276,"270","131,952,480","197,534,760",66.8,382456,"1,276","0","9,896,436","768,736","2,563","0","10,667,735","35,904,501",29.7,2010,269.989010989011,363.997959553237,22110,46,12,2
"147","神戸","新千歳","JAL",1085,1357335,"1,943:14",176178,253664,"234","220,398,678","317,333,664",69.5,2219539,"1,057","195,228","16,529,902","2,776,643","1,325","244,229","19,552,099","36,262,362",53.9,1251,233.791705069124,1084.27082605393,13761,25,8,1
"148","新千歳","神戸","JAL",1084,1356084,"2,089:07",174514,253403,"234","218,317,014","317,007,153",68.9,2396450,"1,046","333,536","16,373,778","2,997,960","1,308","417,255","19,790,301","35,004,233",56.5,1251,233.766605166052,1083.4991655272,13761,8,25,1
"149","神戸","新千歳","ANA",1089,1362339,"1,963:52",133550,198574,"182","167,071,050","248,416,074",67.3,698746,"3,636","349,018","12,530,329","874,132","4,550","436,621","13,845,632","35,689,199",38.8,1251,182.345270890725,1088.26415253087,13761,25,8,2
"150","新千歳","神戸","ANA",1081,1352331,"2,093:45",141715,197739,"183","177,285,465","247,371,489",71.7,1062836,"2,943","193,993","13,296,409","1,329,607","3,682","242,684","14,872,382","35,626,436",41.7,1251,182.922294172063,1080.51307337681,13761,8,25,2
"151","神戸","仙台","ANA",89,78409,"109:53:00",4914,14774,"166","4,329,234","13,015,894",33.3,8634,"48","0","324,692","7,607","42","0","332,341","1,715,981",19.4,881,166,88.8961250407034,9691,25,12,2
"152","仙台","神戸","ANA",89,78409,"133:40:00",3828,14774,"166","3,372,468","13,015,894",25.9,14,"74","0","252,935","12","66","0","253,013","1,715,981",14.7,881,166,89.0356793971252,9691,12,25,2
"153","神戸","福岡","SKY",0,0,"0:00",0,0,"#DIV/0!","0","0",0,0,"0","0","0","0","0","0","0","0",0,NA,NA,NA,NA,25,37,4
"154","福岡","神戸","SKY",0,0,"0:00",0,0,"#DIV/0!","0","0",0,0,"0","0","0","0","0","0","0","0",0,NA,NA,NA,NA,37,25,4
"155","神戸","福岡","AMX",0,0,"0:00",0,0,"#DIV/0!","0","0",0,0,"0","0","0","0","0","0","0","0",0,NA,NA,NA,NA,25,37,8
"156","福岡","神戸","AMX",1,594,"1:11",15,39,"39","8,910","23,166",38.5,0,"0","0","668","0","0","0","668","2,062",32.4,594,39,0.999000999000999,6534,37,25,8
"157","神戸","那覇","ANA",1024,1339392,"2,155:47",157229,249278,"243","205,655,532","326,055,624",63.1,1755528,"3,496","84,056","15,424,165","2,296,231","4,572","109,945","17,834,913","56,884,670",31.4,1308,243.435546875,1023.57412327245,14388,25,46,2
"158","那覇","神戸","ANA",1025,1340700,"1,859:51",152136,249338,"243","198,993,888","326,134,104",61,1264284,"3,008","0","14,924,542","1,653,684","3,936","0","16,582,162","56,877,731",29.2,1308,243.256585365854,1025.26835322228,14388,46,25,2
"159","神戸","那覇","JTA",743,971844,"1,535:47",93285,151798,"204","122,016,780","198,551,784",61.5,2334934,"0","201,540","9,151,260","3,054,094","0","263,613","12,468,967","22,892,016",54.5,1308,204.304172274563,742.436755649919,14388,25,46,9
"160","那覇","神戸","JTA",741,969228,"1,372:56",91141,151317,"204","119,212,428","197,922,636",60.2,1917473,"0","29","8,940,933","2,508,054","0","38","11,449,025","22,834,057",50.1,1308,204.206477732794,741.39180915153,14388,46,25,9
"161","神戸","那覇","SKY",14,18312,"31:44:00",1813,2478,"177","2,371,404","3,241,224",73.2,0,"33","0","177,855","0","43","0","177,898","341,183",52.1,1308,177,13.9930844987805,7194,25,46,4
"162","那覇","神戸","SKY",14,18312,"24:33:00",1487,2478,"177","1,944,996","3,241,224",60,0,"52","0","145,875","0","68","0","145,943","341,183",42.8,1308,177,14.0018832391714,7194,46,25,4
"163","福岡","仙台","JAL",947,1189432,"1,621:10",82099,138372,"146","103,116,344","173,795,232",59.3,562697,"631","83,448","7,733,727","706,747","794","104,811","8,546,079","18,474,630",46.3,1256,146.116156282999,947.512470843193,13816,37,12,1
"164","仙台","福岡","JAL",946,1188176,"1,937:52",82514,138356,"146","103,637,584","173,775,136",59.6,360254,"634","75,818","7,772,819","452,479","795","95,227","8,321,320","18,458,931",45.1,1256,146.253699788584,946.617479933586,13816,12,37,1
"165","福岡","仙台","ANA",485,609160,"854:26:00",31137,60827,"125","39,108,072","76,398,712",51.2,136411,"427","22,306","2,933,106","171,331","539","28,017","3,132,993","8,575,384",36.5,1256,125.416494845361,484.899958334703,13816,37,12,2
"166","仙台","福岡","ANA",484,607904,"985:34:00",29322,60697,"125","36,828,432","76,235,432",48.3,142315,"596","237","2,762,133","178,746","749","298","2,941,926","8,557,994",34.4,1256,125.407024793388,484.088308722576,13816,12,37,2
"167","福岡","仙台","IBX",60,75360,"99:46:00",2351,4200,"70","2,952,856","5,275,200",56,0,"0","0","221,464","0","0","0","221,464","545,078",40.6,1256,70,59.9744897959184,13816,37,12,5
"168","仙台","福岡","IBX",60,75360,"127:19:00",2898,4200,"70","3,639,888","5,275,200",69,0,"0","0","272,991","0","0","0","272,991","545,078",50.1,1256,70,60,13816,12,37,5
"169","北九州","那覇","JTA",367,393424,"654:39:00",31579,54985,"150","33,852,688","58,943,920",57.4,415922,"0","0","2,538,951","445,869","0","0","2,984,820","6,195,645",48.2,1072,149.822888283379,367.204771399485,11792,37,46,9
"170","那覇","北九州","JTA",367,393424,"586:29:00",32215,54985,"150","34,534,480","58,943,920",58.6,532,"0","0","2,590,086","571","0","0","2,590,657","6,195,645",41.8,1072,149.822888283379,366.92926801942,11792,46,37,9
