"","i","j","207ゾーンi","207ゾーンj","47ゾーンi","47ゾーンj","207ゾーン名i","207ゾーン名j","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","鉄道ダミー","エアライン参入数","x","OD1","OD2","路線距離","一便あたり座席数","一便あたり貨物","一便あたり超過手荷物","prob1","prob2","share1","share2","out.share2"
"37",1,19,22,111,10,18,"南部","浦和",80,14750,1095,350,59.404424,0,1,1,42,55,685,159.971375807941,176.678670360111,0.677746999076639,0.0238095238095238,0.0181818181818182,0.0238095238095238,0.0181818181818182,0.236363636363636
"38",1,19,22,111,10,18,"南部","浦和",185,9610,1,710,10.39674,1,0,41,42,55,601.6,0,0,0,0.976190476190476,0.745454545454545,0.976190476190476,0.745454545454545,0.236363636363636
"39",1,20,22,113,10,18,"南部","児玉・大里",80,14750,1095,350,97.943996,0,1,0,1,1,685,159.971375807941,176.678670360111,0.677746999076639,0,0,0.001,0.001,0
"40",1,20,22,113,10,18,"南部","児玉・大里",199,8960,1,682,5.703905,1,0,1,1,1,567.2,0,0,0,1,1,0.999,0.999,0
"41",1,21,22,131,10,18,"南部","23区",80,14750,1095,350,41.287959,0,1,35,391,413,685,159.971375807941,176.678670360111,0.677746999076639,0.0895140664961637,0.0847457627118644,0.0895140664961637,0.0847457627118644,0.0532687651331719
"42",1,21,22,131,10,18,"南部","23区",211,9610,1,658,6.7945935,1,0,356,391,413,631.9,0,0,0,0.910485933503836,0.861985472154964,0.910485933503836,0.861985472154964,0.0532687651331719
"43",1,22,22,141,10,18,"南部","横浜",80,14750,1095,350,42.707019,0,1,10,52,55,685,159.971375807941,176.678670360111,0.677746999076639,0.192307692307692,0.181818181818182,0.192307692307692,0.181818181818182,0.0545454545454545
"44",1,22,22,141,10,18,"南部","横浜",230,9830,1,620,10.8569585,1,0,42,52,55,660.7,0,0,0,0.807692307692308,0.763636363636364,0.807692307692308,0.763636363636364,0.0545454545454545
"45",1,23,22,144,10,18,"南部","小田原",80,14750,1095,350,82.53551817,0,1,0,2,4,685,159.971375807941,176.678670360111,0.677746999076639,0,0,0.001,0.001,0.499
"46",1,23,22,144,10,18,"南部","小田原",251,10150,1,578,6.264121,1,0,2,2,4,715.8,0,0,0,1,0.5,0.999,0.5,0.499
"47",1,24,22,151,10,20,"南部","新潟",NA,NA,NA,NA,34.63792817,0,NA,0,0,1,0,0,0,0,NA,0,NA,0.001,0.998
"48",1,24,22,151,10,20,"南部","新潟",280,5080,1,520,7.100827667,1,0,0,0,1,298,0,0,0,NA,0,NA,0.001,0.998
"49",1,25,22,152,10,20,"南部","長岡",NA,NA,NA,NA,81.37241159,0,NA,0,2,3,0,0,0,0,0,0,0.001,0.001,0.332333333333333
"50",1,25,22,152,10,20,"南部","長岡",257,6260,1,566,5.285486,1,0,2,2,3,361.3,0,0,0,1,0.666666666666667,0.999,0.666666666666667,0.332333333333333
"51",1,26,22,154,10,20,"南部","三条・燕",NA,NA,NA,NA,60.410961,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"52",1,26,22,154,10,20,"南部","三条・燕",268,5620,1,544,6.748753,1,0,0,0,0,338.1,0,0,0,NA,NA,NA,NA,NA
"53",1,27,22,155,10,20,"南部","魚沼",NA,NA,NA,NA,119.752854,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"54",1,27,22,155,10,20,"南部","魚沼",247,6800,1,586,20.42868,1,0,0,0,0,403,0,0,0,NA,NA,NA,NA,NA
"55",1,28,22,201,10,18,"南部","長野",80,14750,1095,350,210.75485,0,1,0,2,3,685,159.971375807941,176.678670360111,0.677746999076639,0,0,0.001,0.001,0.332333333333333
"56",1,28,22,201,10,18,"南部","長野",271,6800,1,538,6.074571,1,0,2,2,3,409.5,0,0,0,1,0.666666666666667,0.999,0.666666666666667,0.332333333333333
"57",1,29,22,203,10,24,"南部","上田",NA,NA,NA,NA,237.77573,0,NA,0,1,23,0,0,0,0,0,0,0.001,0.001,0.955521739130435
"58",1,29,22,203,10,24,"南部","上田",259,7340,1,562,5.527947,1,0,1,1,23,442.7,0,0,0,1,0.0434782608695652,0.999,0.0434782608695652,0.955521739130435
"59",1,30,22,211,10,24,"南部","岐阜",NA,NA,NA,NA,85.330555,0,NA,0,5,5,0,0,0,0,0,0,0.001,0.001,0
"60",1,30,22,211,10,24,"南部","岐阜",391,12640,1,298,19.215213,1,0,5,5,5,1028.2,0,0,0,1,1,0.999,0.999,0
"61",1,31,22,221,10,18,"南部","中部",80,14750,1095,350,142.1205443,0,1,0,3,3,685,159.971375807941,176.678670360111,0.677746999076639,0,0,0.001,0.001,0
"62",1,31,22,221,10,18,"南部","中部",279,11120,1,522,6.368485,1,0,3,3,3,812.1,0,0,0,1,1,0.999,0.999,0
"63",1,32,22,222,10,24,"南部","西部",NA,NA,NA,NA,94.474946,0,NA,0,2,2,0,0,0,0,0,0,0.001,0.001,0
"64",1,32,22,222,10,24,"南部","西部",305,11660,1,470,6.769989167,1,0,2,2,2,889,0,0,0,1,1,0.999,0.999,0
"65",1,33,22,223,10,18,"南部","東部",80,14750,1095,350,104.75828933,0,1,0,13,14,685,159.971375807941,176.678670360111,0.677746999076639,0,0,0.001,0.001,0.0704285714285714
"66",1,33,22,223,10,18,"南部","東部",273,10480,1,534,10.5274775,1,0,13,13,14,752.6,0,0,0,1,0.928571428571429,0.999,0.928571428571429,0.0704285714285714
"67",1,34,22,231,10,24,"南部","名古屋",NA,NA,NA,NA,53.902926,0,NA,0,3,4,0,0,0,0,0,0,0.001,0.001,0.249
"68",1,34,22,231,10,24,"南部","名古屋",310,12310,1,460,7.935403333,1,0,3,3,4,997.9,0,0,0,1,0.75,0.999,0.75,0.249
"69",1,35,22,232,10,24,"南部","東三河",NA,NA,NA,NA,73.04133822,0,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"70",1,35,22,232,10,24,"南部","東三河",348,11990,1,384,6.489806667,1,0,0,0,0,925.5,0,0,0,NA,NA,NA,NA,NA
"71",1,36,22,233,10,24,"南部","豊田",NA,NA,NA,NA,57.457183,0,NA,0,3,46,0,0,0,0,0,0,0.001,0.001,0.933782608695652
"72",1,36,22,233,10,24,"南部","豊田",367,12310,1,346,15.302907,1,0,3,3,46,968.2,0,0,0,1,0.0652173913043478,0.999,0.0652173913043478,0.933782608695652
"73",1,37,22,252,10,25,"南部","東北部",NA,NA,NA,NA,152.726022,0,NA,0,0,0,985,150.041551246537,256.193905817175,0.426592797783933,NA,NA,NA,NA,NA
