rk,i,j,207ゾーンi,207ゾーンj,47ゾーンi,47ゾーンj,207ゾーン名i,207ゾーン名j,最寄りi,最寄りj,,"x_ij,k",ODij,所要時間,費用,航空便数,滞在可能時間,アクセシビリティ,鉄道ダミー,エアライン参入数
1054,10,41,64,283,12,25,新庄,播磨,仙台,関西国際,仙台駅関西国際駅,0,0,0,,,,88.506228,0,
1055,10,42,64,331,12,30,新庄,県南,新庄,岡山,新庄駅岡山駅,0,0,405,,,,0.439995,1,
1056,10,42,64,331,12,30,新庄,県南,仙台,岡山,仙台駅岡山駅,0,0,0,,,,88.506228,0,
1057,10,43,64,341,12,31,新庄,広島,新庄,広島,新庄駅広島駅,0,0,446,,,,0.439995,1,
1058,10,43,64,341,12,31,新庄,広島,仙台,広島,仙台駅広島駅,0,0,0,,,,88.506228,0,
1059,10,44,64,342,12,31,新庄,備後,新庄,福山,新庄駅福山駅,1,1,423,,,,0.439995,1,
1060,10,44,64,342,12,31,新庄,備後,仙台,広島,仙台駅広島駅,0,1,0,,,,88.506228,0,
1061,10,45,64,351,12,32,新庄,山口,新庄,新山口,新庄駅新山口駅,0,0,474,,,,0.439995,1,
1062,10,45,64,351,12,32,新庄,山口,仙台,山口宇部,仙台駅山口宇部駅,0,0,0,,,,88.506228,0,
1063,10,46,64,352,12,32,新庄,下関,新庄,新下関,新庄駅新下関駅,0,0,617,,,,0.439995,1,
1064,10,46,64,352,12,32,新庄,下関,仙台,山口宇部,仙台駅山口宇部駅,0,0,0,,,,88.506228,0,
1065,10,47,64,353,12,32,新庄,宇部,新庄,厚狭,新庄駅厚狭駅,0,0,606,,,,0.439995,1,
1066,10,47,64,353,12,32,新庄,宇部,仙台,山口宇部,仙台駅山口宇部駅,0,0,0,,,,88.506228,0,
1067,10,48,64,354,12,32,新庄,岩国,新庄,新岩国,新庄駅新岩国駅,0,0,556,,,,0.439995,1,
1068,10,48,64,354,12,32,新庄,岩国,仙台,山口宇部,仙台駅山口宇部駅,0,0,0,,,,88.506228,0,
1069,10,49,64,355,12,32,新庄,徳山,新庄,徳山,新庄駅徳山駅,0,0,471,,,,0.439995,1,
1070,10,49,64,355,12,32,新庄,徳山,仙台,山口宇部,仙台駅山口宇部駅,0,0,0,,,,88.506228,0,
1071,10,50,64,401,12,37,新庄,福岡,新庄,博多,新庄駅博多駅,1,1,510,,,,0.439995,1,
1072,10,50,64,401,12,37,新庄,福岡,仙台,福岡,仙台駅福岡駅,0,1,0,,,,88.506228,0,
1073,10,51,64,402,12,37,新庄,北九州,新庄,小倉,新庄駅小倉駅,0,0,493,,,,0.439995,1,
1074,10,51,64,402,12,37,新庄,北九州,仙台,福岡,仙台駅福岡駅,0,0,0,,,,88.506228,0,
1075,10,52,64,432,12,41,新庄,八代・芦北,新庄,新八代,新庄駅新八代駅,0,0,610,,,,0.439995,1,
1076,10,52,64,432,12,41,新庄,八代・芦北,仙台,熊本,仙台駅熊本駅,0,0,0,,,,88.506228,0,
1077,10,53,64,461,12,44,新庄,鹿児島,新庄,鹿児島中央,新庄駅鹿児島中央駅,0,0,655,,,,0.439995,1,
1078,10,53,64,461,12,44,新庄,鹿児島,仙台,鹿児島,仙台駅鹿児島駅,0,0,0,,,,88.506228,0,
1079,10,54,64,462,12,44,新庄,川北薩・串木野,新庄,川内,新庄駅川内駅,0,0,643,,,,0.439995,1,
1080,10,54,64,462,12,44,新庄,川北薩・串木野,仙台,鹿児島,仙台駅鹿児島駅,0,0,0,,,,88.506228,0,
1081,11,1,71,22,12,10,福島,南部,福島,八戸,福島駅八戸駅,8,8,93,,,,4.994543,1,
1082,11,1,71,22,12,10,福島,南部,仙台,三沢,仙台駅三沢駅,0,8,0,,,,22.523849,0,
1083,11,2,71,31,12,11,福島,盛岡,福島,盛岡,福島駅盛岡駅,6,6,101,,,,4.994543,1,
1084,11,2,71,31,12,11,福島,盛岡,仙台,花巻,仙台駅花巻駅,0,6,0,,,,22.523849,0,
1085,11,3,71,32,12,11,福島,北上中部,福島,新花巻,福島駅新花巻駅,2,2,89,,,,4.994543,1,
1086,11,3,71,32,12,11,福島,北上中部,仙台,花巻,仙台駅花巻駅,0,2,0,,,,22.523849,0,
1087,11,4,71,33,12,11,福島,両磐,福島,一ノ関,福島駅一ノ関駅,3,3,61,,,,4.994543,1,
1088,11,4,71,33,12,11,福島,両磐,仙台,花巻,仙台駅花巻駅,0,3,0,,,,22.523849,0,
1089,11,5,71,41,12,12,福島,仙台,福島,仙台,福島駅仙台駅,1,1,21,,,,4.994543,1,
1090,11,5,71,41,12,12,福島,仙台,仙台,仙台,仙台駅仙台駅,0,1,0,,,,22.523849,0,
1091,11,6,71,43,12,12,福島,古川,福島,くりこま高原,福島駅くりこま高原駅,14,14,49,,,,4.994543,1,
1092,11,6,71,43,12,12,福島,古川,仙台,仙台,仙台駅仙台駅,0,14,0,,,,22.523849,0,
1093,11,7,71,51,12,13,福島,秋田臨海,福島,秋田,福島駅秋田駅,11,11,196,,,,4.994543,1,
1094,11,7,71,51,12,13,福島,秋田臨海,仙台,秋田,仙台駅秋田駅,0,11,0,,,,22.523849,0,
1095,11,8,71,61,12,15,福島,山形,福島,山形,福島駅山形駅,0,0,70,,,,4.994543,1,
1096,11,8,71,61,12,15,福島,山形,仙台,山形,仙台駅山形駅,0,0,0,,,,22.523849,0,
1097,11,9,71,63,12,12,福島,米沢,福島,米沢,福島駅米沢駅,41,42,36,,,,4.994543,1,
1098,11,9,71,63,12,12,福島,米沢,仙台,仙台,仙台駅仙台駅,1,42,0,,,,22.523849,0,
1099,11,10,71,64,12,12,福島,新庄,福島,新庄,福島駅新庄駅,6,6,118,,,,1.377924,1,
1100,11,10,71,64,12,12,福島,新庄,仙台,仙台,仙台駅仙台駅,0,6,0,,,,57.871364,0,
1101,11,11,71,71,12,12,福島,福島,福島,福島,福島駅福島駅,－,#VALUE!,0,,,,1.377924,1,
1102,11,11,71,71,12,12,福島,福島,仙台,仙台,仙台駅仙台駅,0,#VALUE!,0,,,,57.871364,0,
1103,11,12,71,73,12,17,福島,郡山,福島,郡山,福島駅郡山駅,－,#VALUE!,15,,,,1.377924,1,
1104,11,12,71,73,12,17,福島,郡山,仙台,福島,仙台駅福島駅,0,#VALUE!,0,,,,57.871364,0,
1105,11,13,71,76,12,17,福島,白河,福島,新白河,福島駅新白河駅,－,#VALUE!,85,,,,1.377924,1,
1106,11,13,71,76,12,17,福島,白河,仙台,福島,仙台駅福島駅,0,#VALUE!,0,,,,57.871364,0,
1107,11,14,71,91,12,18,福島,宇都宮,福島,宇都宮,福島駅宇都宮駅,16,16,42,,,,1.377924,1,
1108,11,14,71,91,12,18,福島,宇都宮,仙台,羽田,仙台駅羽田駅,0,16,0,,,,57.871364,0,
1109,11,15,71,93,12,18,福島,栃木・小山,福島,小山,福島駅小山駅,24,24,42,,,,1.377924,1,
1110,11,15,71,93,12,18,福島,栃木・小山,仙台,羽田,仙台駅羽田駅,0,24,0,,,,57.871364,0,
1111,11,16,71,95,12,18,福島,那須,福島,那須塩原,福島駅那須塩原駅,2,2,70,,,,1.377924,1,
1112,11,16,71,95,12,18,福島,那須,仙台,羽田,仙台駅羽田駅,0,2,0,,,,57.871364,0,
1113,11,17,71,101,12,18,福島,前橋・高崎,福島,高崎,福島駅高崎駅,11,11,91,,,,1.377924,1,
1114,11,17,71,101,12,18,福島,前橋・高崎,仙台,羽田,仙台駅羽田駅,0,11,0,,,,57.871364,0,
1115,11,18,71,104,12,18,福島,沼田・利根,福島,上毛高原,福島駅上毛高原駅,0,0,116,,,,1.377924,1,
1116,11,18,71,104,12,18,福島,沼田・利根,仙台,羽田,仙台駅羽田駅,0,0,0,,,,57.871364,0,
1117,11,19,71,111,12,18,福島,浦和,福島,大宮,福島駅大宮駅,86,86,67,,,,1.377924,1,
1118,11,19,71,111,12,18,福島,浦和,仙台,羽田,仙台駅羽田駅,0,86,0,,,,57.871364,0,
1119,11,20,71,113,12,18,福島,児玉・大里,福島,熊谷,福島駅熊谷駅,3,3,81,,,,1.377924,1,
1120,11,20,71,113,12,18,福島,児玉・大里,仙台,羽田,仙台駅羽田駅,0,3,0,,,,57.871364,0,
1121,11,21,71,131,12,18,福島,23区,福島,東京,福島駅東京駅,352,352,93,,,,1.377924,1,
1122,11,21,71,131,12,18,福島,23区,仙台,羽田,仙台駅羽田駅,0,352,0,,,,57.871364,0,
1123,11,22,71,141,12,18,福島,横浜,福島,新横浜,福島駅新横浜駅,57,57,112,,,,1.377924,1,
1124,11,22,71,141,12,18,福島,横浜,仙台,羽田,仙台駅羽田駅,0,57,0,,,,57.871364,0,
1125,11,23,71,144,12,18,福島,小田原,福島,小田原,福島駅小田原駅,4,4,133,,,,1.377924,1,
1126,11,23,71,144,12,18,福島,小田原,仙台,羽田,仙台駅羽田駅,0,4,0,,,,57.871364,0,
1127,11,24,71,151,12,20,福島,新潟,福島,新潟,福島駅新潟駅,0,0,162,,,,1.377924,1,
1128,11,24,71,151,12,20,福島,新潟,仙台,新潟,仙台駅新潟駅,0,0,0,,,,57.871364,0,
1129,11,25,71,152,12,20,福島,長岡,福島,長岡,福島駅長岡駅,4,4,139,,,,1.377924,1,
1130,11,25,71,152,12,20,福島,長岡,仙台,新潟,仙台駅新潟駅,0,4,0,,,,57.871364,0,
1131,11,26,71,154,12,20,福島,三条・燕,福島,燕三条,福島駅燕三条駅,0,0,150,,,,1.377924,1,
1132,11,26,71,154,12,20,福島,三条・燕,仙台,新潟,仙台駅新潟駅,0,0,0,,,,57.871364,0,
1133,11,27,71,155,12,20,福島,魚沼,福島,浦佐,福島駅浦佐駅,0,0,129,,,,1.377924,1,
1134,11,27,71,155,12,20,福島,魚沼,仙台,新潟,仙台駅新潟駅,0,0,0,,,,57.871364,0,
1135,11,28,71,201,12,18,福島,長野,福島,長野,福島駅長野駅,2,2,153,,,,1.377924,1,
1136,11,28,71,201,12,18,福島,長野,仙台,羽田,仙台駅羽田駅,0,2,0,,,,57.871364,0,
1137,11,29,71,203,12,24,福島,上田,福島,上田,福島駅上田駅,3,3,141,,,,1.377924,1,
1138,11,29,71,203,12,24,福島,上田,仙台,名古屋,仙台駅名古屋駅,0,3,0,,,,57.871364,0,
1139,11,30,71,211,12,24,福島,岐阜,福島,岐阜羽島,福島駅岐阜羽島駅,3,3,273,,,,1.377924,1,
1140,11,30,71,211,12,24,福島,岐阜,仙台,名古屋,仙台駅名古屋駅,0,3,0,,,,57.871364,0,
1141,11,31,71,221,12,18,福島,中部,福島,静岡,福島駅静岡駅,1,1,161,,,,1.377924,1,
1142,11,31,71,221,12,18,福島,中部,仙台,羽田,仙台駅羽田駅,0,1,0,,,,57.871364,0,
1143,11,32,71,222,12,24,福島,西部,福島,浜松,福島駅浜松駅,3,3,187,,,,1.377924,1,
1144,11,32,71,222,12,24,福島,西部,仙台,名古屋,仙台駅名古屋駅,0,3,0,,,,57.871364,0,
1145,11,33,71,223,12,18,福島,東部,福島,三島,福島駅三島駅,7,7,155,,,,1.377924,1,
1146,11,33,71,223,12,18,福島,東部,仙台,羽田,仙台駅羽田駅,0,7,0,,,,57.871364,0,
1147,11,34,71,231,12,24,福島,名古屋,福島,名古屋,福島駅名古屋駅,2,3,192,,,,1.377924,1,
1148,11,34,71,231,12,24,福島,名古屋,仙台,名古屋,仙台駅名古屋駅,1,3,0,,,,57.871364,0,
1149,11,35,71,232,12,24,福島,東三河,福島,豊橋,福島駅豊橋駅,0,0,230,,,,1.377924,1,
1150,11,35,71,232,12,24,福島,東三河,仙台,名古屋,仙台駅名古屋駅,0,0,0,,,,57.871364,0,
1151,11,36,71,233,12,24,福島,豊田,福島,三河安城,福島駅三河安城駅,4,5,249,,,,1.377924,1,
1152,11,36,71,233,12,24,福島,豊田,仙台,名古屋,仙台駅名古屋駅,1,5,0,,,,57.871364,0,
1153,11,37,71,252,12,25,福島,東北部,福島,米原,福島駅米原駅,0,0,292,,,,1.377924,1,
1154,11,37,71,252,12,25,福島,東北部,仙台,関西国際,仙台駅関西国際駅,0,0,0,,,,57.871364,0,
1155,11,38,71,261,12,25,福島,京都,福島,京都,福島駅京都駅,4,6,228,,,,1.377924,1,
1156,11,38,71,261,12,25,福島,京都,仙台,関西国際,仙台駅関西国際駅,2,6,0,,,,57.871364,0,
1157,11,39,71,271,12,25,福島,大阪,福島,新大阪,福島駅新大阪駅,13,19,243,,,,1.377924,1,
1158,11,39,71,271,12,25,福島,大阪,仙台,関西国際,仙台駅関西国際駅,6,19,0,,,,57.871364,0,
1159,11,40,71,281,12,25,福島,神戸,福島,新神戸,福島駅新神戸駅,7,9,256,,,,1.377924,1,
1160,11,40,71,281,12,25,福島,神戸,仙台,関西国際,仙台駅関西国際駅,2,9,0,,,,57.871364,0,
1161,11,41,71,283,12,25,福島,播磨,福島,姫路,福島駅姫路駅,1,1,273,,,,1.377924,1,
1162,11,41,71,283,12,25,福島,播磨,仙台,関西国際,仙台駅関西国際駅,0,1,0,,,,57.871364,0,
1163,11,42,71,331,12,30,福島,県南,福島,岡山,福島駅岡山駅,1,1,288,,,,1.377924,1,
1164,11,42,71,331,12,30,福島,県南,仙台,岡山,仙台駅岡山駅,0,1,0,,,,57.871364,0,
1165,11,43,71,341,12,31,福島,広島,福島,広島,福島駅広島駅,2,3,329,,,,1.377924,1,
1166,11,43,71,341,12,31,福島,広島,仙台,広島,仙台駅広島駅,1,3,0,,,,57.871364,0,
1167,11,44,71,342,12,31,福島,備後,福島,福山,福島駅福山駅,0,1,306,,,,1.377924,1,
1168,11,44,71,342,12,31,福島,備後,仙台,広島,仙台駅広島駅,1,1,0,,,,57.871364,0,
1169,11,45,71,351,12,32,福島,山口,福島,新山口,福島駅新山口駅,1,1,357,,,,1.377924,1,
1170,11,45,71,351,12,32,福島,山口,仙台,山口宇部,仙台駅山口宇部駅,0,1,0,,,,57.871364,0,
1171,11,46,71,352,12,32,福島,下関,福島,新下関,福島駅新下関駅,2,2,500,,,,1.377924,1,
1172,11,46,71,352,12,32,福島,下関,仙台,山口宇部,仙台駅山口宇部駅,0,2,0,,,,57.871364,0,
1173,11,47,71,353,12,32,福島,宇部,福島,厚狭,福島駅厚狭駅,0,0,489,,,,1.377924,1,
1174,11,47,71,353,12,32,福島,宇部,仙台,山口宇部,仙台駅山口宇部駅,0,0,0,,,,57.871364,0,
1175,11,48,71,354,12,32,福島,岩国,福島,新岩国,福島駅新岩国駅,0,0,439,,,,1.377924,1,
1176,11,48,71,354,12,32,福島,岩国,仙台,山口宇部,仙台駅山口宇部駅,0,0,0,,,,57.871364,0,
1177,11,49,71,355,12,32,福島,徳山,福島,徳山,福島駅徳山駅,0,0,354,,,,1.377924,1,
1178,11,49,71,355,12,32,福島,徳山,仙台,山口宇部,仙台駅山口宇部駅,0,0,0,,,,57.871364,0,
1179,11,50,71,401,12,37,福島,福岡,福島,博多,福島駅博多駅,3,8,393,,,,1.377924,1,
1180,11,50,71,401,12,37,福島,福岡,仙台,福岡,仙台駅福岡駅,5,8,0,,,,57.871364,0,
1181,11,51,71,402,12,37,福島,北九州,福島,小倉,福島駅小倉駅,0,1,376,,,,1.377924,1,
1182,11,51,71,402,12,37,福島,北九州,仙台,福岡,仙台駅福岡駅,1,1,0,,,,57.871364,0,
1183,11,52,71,432,12,41,福島,八代・芦北,福島,新八代,福島駅新八代駅,0,0,493,,,,1.377924,1,
1184,11,52,71,432,12,41,福島,八代・芦北,仙台,熊本,仙台駅熊本駅,0,0,0,,,,57.871364,0,
1185,11,53,71,461,12,44,福島,鹿児島,福島,鹿児島中央,福島駅鹿児島中央駅,0,0,538,,,,1.377924,1,
1186,11,53,71,461,12,44,福島,鹿児島,仙台,鹿児島,仙台駅鹿児島駅,0,0,0,,,,57.871364,0,
1187,11,54,71,462,12,44,福島,川北薩・串木野,福島,川内,福島駅川内駅,0,0,526,,,,1.377924,1,
1188,11,54,71,462,12,44,福島,川北薩・串木野,仙台,鹿児島,仙台駅鹿児島駅,0,0,0,,,,57.871364,0,
1189,12,1,73,22,17,10,郡山,南部,郡山,八戸,郡山駅八戸駅,356,391,78,,,,4.994543,1,
1190,12,1,73,22,17,10,郡山,南部,福島,三沢,福島駅三沢駅,35,391,0,,,,22.523849,0,
1191,12,2,73,31,17,11,郡山,盛岡,郡山,盛岡,郡山駅盛岡駅,42,52,116,,,,4.994543,1,
1192,12,2,73,31,17,11,郡山,盛岡,福島,花巻,福島駅花巻駅,10,52,0,,,,22.523849,0,
1193,12,3,73,32,17,11,郡山,北上中部,郡山,新花巻,郡山駅新花巻駅,2,2,104,,,,4.994543,1,
1194,12,3,73,32,17,11,郡山,北上中部,福島,花巻,福島駅花巻駅,0,2,0,,,,22.523849,0,
1195,12,4,73,33,17,11,郡山,両磐,郡山,一ノ関,郡山駅一ノ関駅,0,0,76,,,,4.994543,1,
1196,12,4,73,33,17,11,郡山,両磐,福島,花巻,福島駅花巻駅,0,0,0,,,,22.523849,0,
1197,12,5,73,41,17,12,郡山,仙台,郡山,仙台,郡山駅仙台駅,2,2,36,,,,4.994543,1,
1198,12,5,73,41,17,12,郡山,仙台,福島,仙台,福島駅仙台駅,0,2,0,,,,22.523849,0,
1199,12,6,73,43,17,12,郡山,古川,郡山,くりこま高原,郡山駅くりこま高原駅,0,0,64,,,,4.994543,1,
1200,12,6,73,43,17,12,郡山,古川,福島,仙台,福島駅仙台駅,0,0,0,,,,22.523849,0,
1201,12,7,73,51,17,13,郡山,秋田臨海,郡山,秋田,郡山駅秋田駅,0,0,211,,,,4.994543,1,
1202,12,7,73,51,17,13,郡山,秋田臨海,福島,秋田,福島駅秋田駅,0,0,0,,,,22.523849,0,
1203,12,8,73,61,17,15,郡山,山形,郡山,山形,郡山駅山形駅,2,2,85,,,,4.994543,1,
1204,12,8,73,61,17,15,郡山,山形,福島,山形,福島駅山形駅,0,2,0,,,,22.523849,0,
1205,12,9,73,63,17,12,郡山,米沢,郡山,米沢,郡山駅米沢駅,1,1,51,,,,4.994543,1,
1206,12,9,73,63,17,12,郡山,米沢,福島,仙台,福島駅仙台駅,0,1,0,,,,22.523849,0,
1207,12,10,73,64,17,12,郡山,新庄,郡山,新庄,郡山駅新庄駅,1,1,133,,,,2.587025,1,
1208,12,10,73,64,17,12,郡山,新庄,福島,仙台,福島駅仙台駅,0,1,0,,,,21.737168,0,
1209,12,11,73,71,17,12,郡山,福島,郡山,福島,郡山駅福島駅,－,#VALUE!,15,,,,2.587025,1,
1210,12,11,73,71,17,12,郡山,福島,福島,仙台,福島駅仙台駅,0,#VALUE!,0,,,,21.737168,0,
1211,12,12,73,73,17,17,郡山,郡山,郡山,郡山,郡山駅郡山駅,－,#VALUE!,0,,,,2.587025,1,
1212,12,12,73,73,17,17,郡山,郡山,福島,福島,福島駅福島駅,0,#VALUE!,0,,,,21.737168,0,
1213,12,13,73,76,17,17,郡山,白河,郡山,新白河,郡山駅新白河駅,－,#VALUE!,12,,,,2.587025,1,
1214,12,13,73,76,17,17,郡山,白河,福島,福島,福島駅福島駅,0,#VALUE!,0,,,,21.737168,0,
1215,12,14,73,91,17,18,郡山,宇都宮,郡山,宇都宮,郡山駅宇都宮駅,54,54,27,,,,2.587025,1,
1216,12,14,73,91,17,18,郡山,宇都宮,福島,羽田,福島駅羽田駅,0,54,0,,,,21.737168,0,
1217,12,15,73,93,17,18,郡山,栃木・小山,郡山,小山,郡山駅小山駅,20,20,55,,,,2.587025,1,
1218,12,15,73,93,17,18,郡山,栃木・小山,福島,羽田,福島駅羽田駅,0,20,0,,,,21.737168,0,
1219,12,16,73,95,17,18,郡山,那須,郡山,那須塩原,郡山駅那須塩原駅,8,8,27,,,,2.587025,1,
1220,12,16,73,95,17,18,郡山,那須,福島,羽田,福島駅羽田駅,0,8,0,,,,21.737168,0,
1221,12,17,73,101,17,18,郡山,前橋・高崎,郡山,高崎,郡山駅高崎駅,5,5,76,,,,2.587025,1,
1222,12,17,73,101,17,18,郡山,前橋・高崎,福島,羽田,福島駅羽田駅,0,5,0,,,,21.737168,0,
1223,12,18,73,104,17,18,郡山,沼田・利根,郡山,上毛高原,郡山駅上毛高原駅,5,5,101,,,,2.587025,1,
1224,12,18,73,104,17,18,郡山,沼田・利根,福島,羽田,福島駅羽田駅,0,5,0,,,,21.737168,0,
1225,12,19,73,111,17,18,郡山,浦和,郡山,大宮,郡山駅大宮駅,161,161,52,,,,2.587025,1,
1226,12,19,73,111,17,18,郡山,浦和,福島,羽田,福島駅羽田駅,0,161,0,,,,21.737168,0,
1227,12,20,73,113,17,18,郡山,児玉・大里,郡山,熊谷,郡山駅熊谷駅,7,7,66,,,,2.587025,1,
1228,12,20,73,113,17,18,郡山,児玉・大里,福島,羽田,福島駅羽田駅,0,7,0,,,,21.737168,0,
1229,12,21,73,131,17,18,郡山,23区,郡山,東京,郡山駅東京駅,607,607,78,,,,2.587025,1,
1230,12,21,73,131,17,18,郡山,23区,福島,羽田,福島駅羽田駅,0,607,0,,,,21.737168,0,
1231,12,22,73,141,17,18,郡山,横浜,郡山,新横浜,郡山駅新横浜駅,62,62,97,,,,2.587025,1,
1232,12,22,73,141,17,18,郡山,横浜,福島,羽田,福島駅羽田駅,0,62,0,,,,21.737168,0,
1233,12,23,73,144,17,18,郡山,小田原,郡山,小田原,郡山駅小田原駅,6,6,118,,,,2.587025,1,
1234,12,23,73,144,17,18,郡山,小田原,福島,羽田,福島駅羽田駅,0,6,0,,,,21.737168,0,
1235,12,24,73,151,17,20,郡山,新潟,郡山,新潟,郡山駅新潟駅,1,1,147,,,,2.587025,1,
1236,12,24,73,151,17,20,郡山,新潟,福島,新潟,福島駅新潟駅,0,1,0,,,,21.737168,0,
1237,12,25,73,152,17,20,郡山,長岡,郡山,長岡,郡山駅長岡駅,0,0,124,,,,2.587025,1,
1238,12,25,73,152,17,20,郡山,長岡,福島,新潟,福島駅新潟駅,0,0,0,,,,21.737168,0,
1239,12,26,73,154,17,20,郡山,三条・燕,郡山,燕三条,郡山駅燕三条駅,0,0,135,,,,2.587025,1,
1240,12,26,73,154,17,20,郡山,三条・燕,福島,新潟,福島駅新潟駅,0,0,0,,,,21.737168,0,
1241,12,27,73,155,17,20,郡山,魚沼,郡山,浦佐,郡山駅浦佐駅,0,0,114,,,,2.587025,1,
1242,12,27,73,155,17,20,郡山,魚沼,福島,新潟,福島駅新潟駅,0,0,0,,,,21.737168,0,
1243,12,28,73,201,17,18,郡山,長野,郡山,長野,郡山駅長野駅,5,5,138,,,,2.587025,1,
1244,12,28,73,201,17,18,郡山,長野,福島,羽田,福島駅羽田駅,0,5,0,,,,21.737168,0,
1245,12,29,73,203,17,24,郡山,上田,郡山,上田,郡山駅上田駅,5,5,126,,,,2.587025,1,
1246,12,29,73,203,17,24,郡山,上田,福島,名古屋,福島駅名古屋駅,0,5,0,,,,21.737168,0,
1247,12,30,73,211,17,24,郡山,岐阜,郡山,岐阜羽島,郡山駅岐阜羽島駅,1,1,258,,,,2.587025,1,
1248,12,30,73,211,17,24,郡山,岐阜,福島,名古屋,福島駅名古屋駅,0,1,0,,,,21.737168,0,
1249,12,31,73,221,17,18,郡山,中部,郡山,静岡,郡山駅静岡駅,1,1,146,,,,2.587025,1,
1250,12,31,73,221,17,18,郡山,中部,福島,羽田,福島駅羽田駅,0,1,0,,,,21.737168,0,
1251,12,32,73,222,17,24,郡山,西部,郡山,浜松,郡山駅浜松駅,1,1,172,,,,2.587025,1,
1252,12,32,73,222,17,24,郡山,西部,福島,名古屋,福島駅名古屋駅,0,1,0,,,,21.737168,0,
1253,12,33,73,223,17,18,郡山,東部,郡山,三島,郡山駅三島駅,9,9,140,,,,2.587025,1,
1254,12,33,73,223,17,18,郡山,東部,福島,羽田,福島駅羽田駅,0,9,0,,,,21.737168,0,
1255,12,34,73,231,17,24,郡山,名古屋,郡山,名古屋,郡山駅名古屋駅,11,11,177,,,,2.587025,1,
1256,12,34,73,231,17,24,郡山,名古屋,福島,名古屋,福島駅名古屋駅,0,11,0,,,,21.737168,0,
1257,12,35,73,232,17,24,郡山,東三河,郡山,豊橋,郡山駅豊橋駅,7,7,215,,,,2.587025,1,
1258,12,35,73,232,17,24,郡山,東三河,福島,名古屋,福島駅名古屋駅,0,7,0,,,,21.737168,0,
1259,12,36,73,233,17,24,郡山,豊田,郡山,三河安城,郡山駅三河安城駅,7,7,234,,,,2.587025,1,
1260,12,36,73,233,17,24,郡山,豊田,福島,名古屋,福島駅名古屋駅,0,7,0,,,,21.737168,0,
1261,12,37,73,252,17,25,郡山,東北部,郡山,米原,郡山駅米原駅,0,0,277,,,,2.587025,1,
1262,12,37,73,252,17,25,郡山,東北部,福島,関西国際,福島駅関西国際駅,0,0,0,,,,21.737168,0,
1263,12,38,73,261,17,25,郡山,京都,郡山,京都,郡山駅京都駅,7,8,213,,,,2.587025,1,
1264,12,38,73,261,17,25,郡山,京都,福島,関西国際,福島駅関西国際駅,1,8,0,,,,21.737168,0,
1265,12,39,73,271,17,25,郡山,大阪,郡山,新大阪,郡山駅新大阪駅,11,21,228,,,,2.587025,1,
1266,12,39,73,271,17,25,郡山,大阪,福島,関西国際,福島駅関西国際駅,10,21,0,,,,21.737168,0,
1267,12,40,73,281,17,25,郡山,神戸,郡山,新神戸,郡山駅新神戸駅,1,5,241,,,,2.587025,1,
1268,12,40,73,281,17,25,郡山,神戸,福島,関西国際,福島駅関西国際駅,4,5,0,,,,21.737168,0,
1269,12,41,73,283,17,25,郡山,播磨,郡山,姫路,郡山駅姫路駅,0,1,258,,,,2.587025,1,
1270,12,41,73,283,17,25,郡山,播磨,福島,関西国際,福島駅関西国際駅,1,1,0,,,,21.737168,0,
1271,12,42,73,331,17,30,郡山,県南,郡山,岡山,郡山駅岡山駅,5,5,273,,,,2.587025,1,
1272,12,42,73,331,17,30,郡山,県南,福島,岡山,福島駅岡山駅,0,5,0,,,,21.737168,0,
1273,12,43,73,341,17,31,郡山,広島,郡山,広島,郡山駅広島駅,6,7,314,,,,2.587025,1,
1274,12,43,73,341,17,31,郡山,広島,福島,広島,福島駅広島駅,1,7,0,,,,21.737168,0,
1275,12,44,73,342,17,31,郡山,備後,郡山,福山,郡山駅福山駅,1,1,291,,,,2.587025,1,
1276,12,44,73,342,17,31,郡山,備後,福島,広島,福島駅広島駅,0,1,0,,,,21.737168,0,
1277,12,45,73,351,17,32,郡山,山口,郡山,新山口,郡山駅新山口駅,2,2,342,,,,2.587025,1,
1278,12,45,73,351,17,32,郡山,山口,福島,山口宇部,福島駅山口宇部駅,0,2,0,,,,21.737168,0,
1279,12,46,73,352,17,32,郡山,下関,郡山,新下関,郡山駅新下関駅,0,1,485,,,,2.587025,1,
1280,12,46,73,352,17,32,郡山,下関,福島,山口宇部,福島駅山口宇部駅,1,1,0,,,,21.737168,0,
1281,12,47,73,353,17,32,郡山,宇部,郡山,厚狭,郡山駅厚狭駅,0,0,474,,,,2.587025,1,
1282,12,47,73,353,17,32,郡山,宇部,福島,山口宇部,福島駅山口宇部駅,0,0,0,,,,21.737168,0,
1283,12,48,73,354,17,32,郡山,岩国,郡山,新岩国,郡山駅新岩国駅,3,3,424,,,,2.587025,1,
1284,12,48,73,354,17,32,郡山,岩国,福島,山口宇部,福島駅山口宇部駅,0,3,0,,,,21.737168,0,
1285,12,49,73,355,17,32,郡山,徳山,郡山,徳山,郡山駅徳山駅,0,0,339,,,,2.587025,1,
1286,12,49,73,355,17,32,郡山,徳山,福島,山口宇部,福島駅山口宇部駅,0,0,0,,,,21.737168,0,
1287,12,50,73,401,17,37,郡山,福岡,郡山,博多,郡山駅博多駅,5,11,378,,,,2.587025,1,
1288,12,50,73,401,17,37,郡山,福岡,福島,福岡,福島駅福岡駅,6,11,0,,,,21.737168,0,
