rk,i,j,207ゾーンi,207ゾーンj,47ゾーンi,47ゾーンj,207ゾーン名i,207ゾーン名j,最寄りi,最寄りj,,"x_ij,k",ODij,所要時間,費用,航空便数,滞在可能時間,アクセシビリティ,鉄道ダミー,エアライン参入数
53,1,27,22,155,10,20,南部,魚沼,八戸,浦佐,八戸駅浦佐駅,0,0,247,,,,4.994543,1,
54,1,27,22,155,10,20,南部,魚沼,三沢,新潟,三沢駅新潟駅,0,0,0,,,,22.523849,0,
55,1,28,22,201,10,18,南部,長野,八戸,長野,八戸駅長野駅,2,2,271,,,,4.994543,1,
56,1,28,22,201,10,18,南部,長野,三沢,羽田,三沢駅羽田駅,0,2,0,,,,22.523849,0,
57,1,29,22,203,10,24,南部,上田,八戸,上田,八戸駅上田駅,1,1,259,,,,4.994543,1,
58,1,29,22,203,10,24,南部,上田,三沢,名古屋,三沢駅名古屋駅,0,1,0,,,,22.523849,0,
59,1,30,22,211,10,24,南部,岐阜,八戸,岐阜羽島,八戸駅岐阜羽島駅,5,5,391,,,,4.994543,1,
60,1,30,22,211,10,24,南部,岐阜,三沢,名古屋,三沢駅名古屋駅,0,5,0,,,,22.523849,0,
61,1,31,22,221,10,18,南部,中部,八戸,静岡,八戸駅静岡駅,3,3,279,,,,4.994543,1,
62,1,31,22,221,10,18,南部,中部,三沢,羽田,三沢駅羽田駅,0,3,0,,,,22.523849,0,
63,1,32,22,222,10,24,南部,西部,八戸,浜松,八戸駅浜松駅,2,2,305,,,,4.994543,1,
64,1,32,22,222,10,24,南部,西部,三沢,名古屋,三沢駅名古屋駅,0,2,0,,,,22.523849,0,
65,1,33,22,223,10,18,南部,東部,八戸,三島,八戸駅三島駅,13,13,273,,,,4.994543,1,
66,1,33,22,223,10,18,南部,東部,三沢,羽田,三沢駅羽田駅,0,13,0,,,,22.523849,0,
67,1,34,22,231,10,24,南部,名古屋,八戸,名古屋,八戸駅名古屋駅,3,3,310,,,,4.994543,1,
68,1,34,22,231,10,24,南部,名古屋,三沢,名古屋,三沢駅名古屋駅,0,3,0,,,,22.523849,0,
69,1,35,22,232,10,24,南部,東三河,八戸,豊橋,八戸駅豊橋駅,0,0,348,,,,4.994543,1,
70,1,35,22,232,10,24,南部,東三河,三沢,名古屋,三沢駅名古屋駅,0,0,0,,,,22.523849,0,
71,1,36,22,233,10,24,南部,豊田,八戸,三河安城,八戸駅三河安城駅,3,3,367,,,,4.994543,1,
72,1,36,22,233,10,24,南部,豊田,三沢,名古屋,三沢駅名古屋駅,0,3,0,,,,22.523849,0,
73,1,37,22,252,10,25,南部,東北部,八戸,米原,八戸駅米原駅,0,0,410,,,,4.994543,1,
74,1,37,22,252,10,25,南部,東北部,三沢,関西国際,三沢駅関西国際駅,0,0,0,,,,22.523849,0,
75,1,38,22,261,10,25,南部,京都,八戸,京都,八戸駅京都駅,6,10,346,,,,4.994543,1,
76,1,38,22,261,10,25,南部,京都,三沢,関西国際,三沢駅関西国際駅,4,10,0,,,,22.523849,0,
77,1,39,22,271,10,25,南部,大阪,八戸,新大阪,八戸駅新大阪駅,7,11,361,,,,4.994543,1,
78,1,39,22,271,10,25,南部,大阪,三沢,関西国際,三沢駅関西国際駅,4,11,0,,,,22.523849,0,
79,1,40,22,281,10,25,南部,神戸,八戸,新神戸,八戸駅新神戸駅,1,4,374,,,,4.994543,1,
80,1,40,22,281,10,25,南部,神戸,三沢,関西国際,三沢駅関西国際駅,3,4,0,,,,22.523849,0,
81,1,41,22,283,10,25,南部,播磨,八戸,姫路,八戸駅姫路駅,2,3,391,,,,4.994543,1,
82,1,41,22,283,10,25,南部,播磨,三沢,関西国際,三沢駅関西国際駅,1,3,0,,,,22.523849,0,
83,1,42,22,331,10,30,南部,県南,八戸,岡山,八戸駅岡山駅,4,4,406,,,,4.994543,1,
84,1,42,22,331,10,30,南部,県南,三沢,岡山,三沢駅岡山駅,0,4,0,,,,22.523849,0,
85,1,43,22,341,10,31,南部,広島,八戸,広島,八戸駅広島駅,1,2,447,,,,4.994543,1,
86,1,43,22,341,10,31,南部,広島,三沢,広島,三沢駅広島駅,1,2,0,,,,22.523849,0,
87,1,44,22,342,10,31,南部,備後,八戸,福山,八戸駅福山駅,0,0,424,,,,4.994543,1,
88,1,44,22,342,10,31,南部,備後,三沢,広島,三沢駅広島駅,0,0,0,,,,22.523849,0,
89,1,45,22,351,10,32,南部,山口,八戸,新山口,八戸駅新山口駅,0,0,475,,,,4.994543,1,
90,1,45,22,351,10,32,南部,山口,三沢,山口宇部,三沢駅山口宇部駅,0,0,0,,,,22.523849,0,
91,1,46,22,352,10,32,南部,下関,八戸,新下関,八戸駅新下関駅,0,0,618,,,,4.994543,1,
92,1,46,22,352,10,32,南部,下関,三沢,山口宇部,三沢駅山口宇部駅,0,0,0,,,,22.523849,0,
