"","rk","i","j","X207ゾーンi","X207ゾーンj","X47ゾーンi","X47ゾーンj","X207ゾーン名i","X207ゾーン名j","最寄りi","最寄りj","X","x_ij.k","ODij","所要時間","費用","航空便数","滞在可能時間","アクセシビリティ","鉄道ダミー","エアライン参入数"
"1",1,1,1,22,22,10,10,"南部","南部","八戸","八戸","八戸駅八戸駅","－","#VALUE!",0,NA,NA,NA,4.994543,1,NA
"2",2,1,1,22,22,10,10,"南部","南部","三沢","三沢","三沢駅三沢駅","0","#VALUE!",0,NA,NA,NA,22.523849,0,NA
"3",3,1,2,22,31,10,11,"南部","盛岡","八戸","盛岡","八戸駅盛岡駅","133","133",36,3320,NA,NA,4.994543,1,NA
"4",4,1,2,22,31,10,11,"南部","盛岡","三沢","花巻","三沢駅花巻駅","0","133",0,NA,NA,NA,22.523849,0,NA
"5",5,1,3,22,32,10,11,"南部","北上中部","八戸","新花巻","八戸駅新花巻駅","8","8",36,4540,NA,NA,4.994543,1,NA
"6",6,1,3,22,32,10,11,"南部","北上中部","三沢","花巻","三沢駅花巻駅","0","8",0,NA,NA,NA,22.523849,0,NA
"7",7,1,4,22,33,10,11,"南部","両磐","八戸","一ノ関","八戸駅一ノ関駅","5","5",74,6700,NA,NA,4.994543,1,NA
"8",8,1,4,22,33,10,11,"南部","両磐","三沢","花巻","三沢駅花巻駅","0","5",0,NA,NA,NA,22.523849,0,NA
"9",9,1,5,22,41,10,12,"南部","仙台","八戸","仙台","八戸駅仙台駅","246","246",110,10160,NA,NA,4.994543,1,NA
"10",10,1,5,22,41,10,12,"南部","仙台","三沢","仙台","三沢駅仙台駅","0","246",0,NA,NA,NA,22.523849,0,NA
"11",11,1,6,22,43,10,12,"南部","古川","八戸","くりこま高原","八戸駅くりこま高原駅","0","0",86,7340,NA,NA,4.994543,1,NA
"12",12,1,6,22,43,10,12,"南部","古川","三沢","仙台","三沢駅仙台駅","0","0",0,NA,NA,NA,22.523849,0,NA
"13",13,1,7,22,51,10,13,"南部","秋田臨海","八戸","秋田","八戸駅秋田駅","14","14",131,1160,NA,NA,4.994543,1,NA
"14",14,1,7,22,51,10,13,"南部","秋田臨海","三沢","秋田","三沢駅秋田駅","0","14",0,NA,NA,NA,22.523849,0,NA
"15",15,1,8,22,61,10,15,"南部","山形","八戸","山形","八戸駅山形駅","11","11",163,9500,NA,NA,4.994543,1,NA
"16",16,1,8,22,61,10,15,"南部","山形","三沢","山形","三沢駅山形駅","0","11",0,NA,NA,NA,22.523849,0,NA
"17",17,1,9,22,63,10,12,"南部","米沢","八戸","米沢","八戸駅米沢駅","0","0",129,10800,NA,NA,4.994543,1,NA
"18",18,1,9,22,63,10,12,"南部","米沢","三沢","仙台","三沢駅仙台駅","0","0",0,NA,NA,NA,22.523849,0,NA
"19",19,1,10,22,64,10,12,"南部","新庄","八戸","新庄","八戸駅新庄駅","0","0",211,7340,NA,NA,4.994543,1,NA
"20",20,1,10,22,64,10,12,"南部","新庄","三沢","仙台","三沢駅仙台駅","0","0",0,NA,NA,NA,22.523849,0,NA
"21",21,1,11,22,71,10,12,"南部","福島","八戸","福島","八戸駅福島駅","8","8",93,11880,NA,NA,4.994543,1,NA
"22",22,1,11,22,71,10,12,"南部","福島","三沢","仙台","三沢駅仙台駅","0","8",0,NA,NA,NA,22.523849,0,NA
"23",23,1,12,22,73,10,17,"南部","郡山","八戸","郡山","八戸駅郡山駅","6","6",78,13600,NA,NA,4.994543,1,NA
"24",24,1,12,22,73,10,17,"南部","郡山","三沢","福島","三沢駅福島駅","0","6",0,NA,NA,NA,22.523849,0,NA
"25",25,1,13,22,76,10,17,"南部","白河","八戸","新白河","八戸駅新白河駅","2","2",85,14680,NA,NA,4.994543,1,NA
"26",26,1,13,22,76,10,17,"南部","白河","三沢","福島","三沢駅福島駅","0","2",0,NA,NA,NA,22.523849,0,NA
"27",27,1,14,22,91,10,18,"南部","宇都宮","八戸","宇都宮","八戸駅宇都宮駅","3","3",51,16840,NA,NA,4.994543,1,NA
"28",28,1,14,22,91,10,18,"南部","宇都宮","三沢","羽田","三沢駅羽田駅","0","3",80,14750,1095,350,22.523849,0,1
"29",29,1,15,22,93,10,18,"南部","栃木・小山","八戸","小山","八戸駅小山駅","1","1",42,17500,NA,NA,4.994543,1,NA
"30",30,1,15,22,93,10,18,"南部","栃木・小山","三沢","羽田","三沢駅羽田駅","0","1",80,14750,1095,350,22.523849,0,1
"31",31,1,16,22,95,10,18,"南部","那須","八戸","那須塩原","八戸駅那須塩原駅","14","14",70,15120,NA,NA,4.994543,1,NA
"32",32,1,16,22,95,10,18,"南部","那須","三沢","羽田","三沢駅羽田駅","0","14",80,14750,1095,350,22.523849,0,1
"33",33,1,17,22,101,10,18,"南部","前橋・高崎","八戸","高崎","八戸駅高崎駅","11","11",209,16840,NA,NA,4.994543,1,NA
"34",34,1,17,22,101,10,18,"南部","前橋・高崎","三沢","羽田","三沢駅羽田駅","0","11",80,14750,1095,350,22.523849,0,1
"35",35,1,18,22,104,10,18,"南部","沼田・利根","八戸","上毛高原","八戸駅上毛高原駅","0","0",234,15760,NA,NA,4.994543,1,NA
"36",36,1,18,22,104,10,18,"南部","沼田・利根","三沢","羽田","三沢駅羽田駅","0","0",80,14750,1095,350,22.523849,0,1
"37",37,1,19,22,111,10,18,"南部","浦和","八戸","大宮","八戸駅大宮駅","41","42",185,19220,NA,NA,4.994543,1,NA
"38",38,1,19,22,111,10,18,"南部","浦和","三沢","羽田","三沢駅羽田駅","1","42",80,14750,1095,350,22.523849,0,1
"39",39,1,20,22,113,10,18,"南部","児玉・大里","八戸","熊谷","八戸駅熊谷駅","1","1",199,17920,NA,NA,4.994543,1,NA
"40",40,1,20,22,113,10,18,"南部","児玉・大里","三沢","羽田","三沢駅羽田駅","0","1",80,14750,1095,350,22.523849,0,1
"41",41,1,21,22,131,10,18,"南部","23区","八戸","東京","八戸駅東京駅","356","391",211,19220,NA,NA,4.994543,1,NA
"42",42,1,21,22,131,10,18,"南部","23区","三沢","羽田","三沢駅羽田駅","35","391",80,14750,1095,350,22.523849,0,1
"43",43,1,22,22,141,10,18,"南部","横浜","八戸","新横浜","八戸駅新横浜駅","42","52",230,19660,NA,NA,4.994543,1,NA
"44",44,1,22,22,141,10,18,"南部","横浜","三沢","羽田","三沢駅羽田駅","10","52",80,14750,1095,350,22.523849,0,1
"45",45,1,23,22,144,10,18,"南部","小田原","八戸","小田原","八戸駅小田原駅","2","2",251,20300,NA,NA,4.994543,1,NA
"46",46,1,23,22,144,10,18,"南部","小田原","三沢","羽田","三沢駅羽田駅","0","2",80,14750,1095,350,22.523849,0,1
"47",47,1,24,22,151,10,20,"南部","新潟","八戸","新潟","八戸駅新潟駅","0","0",280,10160,NA,NA,4.994543,1,NA
"48",48,1,24,22,151,10,20,"南部","新潟","三沢","新潟","三沢駅新潟駅","0","0",0,NA,NA,NA,22.523849,0,NA
"49",49,1,25,22,152,10,20,"南部","長岡","八戸","長岡","八戸駅長岡駅","2","2",257,12520,NA,NA,4.994543,1,NA
"50",50,1,25,22,152,10,20,"南部","長岡","三沢","新潟","三沢駅新潟駅","0","2",0,NA,NA,NA,22.523849,0,NA
"51",51,1,26,22,154,10,20,"南部","三条・燕","八戸","燕三条","八戸駅燕三条駅","0","0",268,11240,NA,NA,4.994543,1,NA
"52",52,1,26,22,154,10,20,"南部","三条・燕","三沢","新潟","三沢駅新潟駅","0","0",0,NA,NA,NA,22.523849,0,NA
"53",53,1,27,22,155,10,20,"南部","魚沼","八戸","浦佐","八戸駅浦佐駅","0","0",247,13600,NA,NA,4.994543,1,NA
"54",54,1,27,22,155,10,20,"南部","魚沼","三沢","新潟","三沢駅新潟駅","0","0",0,NA,NA,NA,22.523849,0,NA
"55",55,1,28,22,201,10,18,"南部","長野","八戸","長野","八戸駅長野駅","2","2",271,13600,NA,NA,4.994543,1,NA
"56",56,1,28,22,201,10,18,"南部","長野","三沢","羽田","三沢駅羽田駅","0","2",80,14750,1095,350,22.523849,0,1
"57",57,1,29,22,203,10,24,"南部","上田","八戸","上田","八戸駅上田駅","1","1",259,14680,NA,NA,4.994543,1,NA
"58",58,1,29,22,203,10,24,"南部","上田","三沢","名古屋","三沢駅名古屋駅","0","1",0,NA,NA,NA,22.523849,0,NA
"59",59,1,30,22,211,10,24,"南部","岐阜","八戸","岐阜羽島","八戸駅岐阜羽島駅","5","5",391,25280,NA,NA,4.994543,1,NA
"60",60,1,30,22,211,10,24,"南部","岐阜","三沢","名古屋","三沢駅名古屋駅","0","5",0,NA,NA,NA,22.523849,0,NA
"61",61,1,31,22,221,10,18,"南部","中部","八戸","静岡","八戸駅静岡駅","3","3",279,22240,NA,NA,4.994543,1,NA
"62",62,1,31,22,221,10,18,"南部","中部","三沢","羽田","三沢駅羽田駅","0","3",80,14750,1095,350,22.523849,0,1
"63",63,1,32,22,222,10,24,"南部","西部","八戸","浜松","八戸駅浜松駅","2","2",305,23320,NA,NA,4.994543,1,NA
"64",64,1,32,22,222,10,24,"南部","西部","三沢","名古屋","三沢駅名古屋駅","0","2",0,NA,NA,NA,22.523849,0,NA
"65",65,1,33,22,223,10,18,"南部","東部","八戸","三島","八戸駅三島駅","13","13",273,20960,NA,NA,4.994543,1,NA
"66",66,1,33,22,223,10,18,"南部","東部","三沢","羽田","三沢駅羽田駅","0","13",80,14750,1095,350,22.523849,0,1
"67",67,1,34,22,231,10,24,"南部","名古屋","八戸","名古屋","八戸駅名古屋駅","3","3",310,24620,NA,NA,4.994543,1,NA
"68",68,1,34,22,231,10,24,"南部","名古屋","三沢","名古屋","三沢駅名古屋駅","0","3",0,NA,NA,NA,22.523849,0,NA
"69",69,1,35,22,232,10,24,"南部","東三河","八戸","豊橋","八戸駅豊橋駅","0","0",348,23980,NA,NA,4.994543,1,NA
"70",70,1,35,22,232,10,24,"南部","東三河","三沢","名古屋","三沢駅名古屋駅","0","0",0,NA,NA,NA,22.523849,0,NA
"71",71,1,36,22,233,10,24,"南部","豊田","八戸","三河安城","八戸駅三河安城駅","3","3",367,24620,NA,NA,4.994543,1,NA
"72",72,1,36,22,233,10,24,"南部","豊田","三沢","名古屋","三沢駅名古屋駅","0","3",0,NA,NA,NA,22.523849,0,NA
"73",73,1,37,22,252,10,25,"南部","東北部","八戸","米原","八戸駅米原駅","0","0",410,25920,NA,NA,4.994543,1,NA
"74",74,1,37,22,252,10,25,"南部","東北部","三沢","関西国際","三沢駅関西国際駅","0","0",0,NA,NA,NA,22.523849,0,NA
"75",75,1,38,22,261,10,25,"南部","京都","八戸","京都","八戸駅京都駅","6","10",346,27000,NA,NA,4.994543,1,NA
"76",76,1,38,22,261,10,25,"南部","京都","三沢","関西国際","三沢駅関西国際駅","4","10",0,NA,NA,NA,22.523849,0,NA
"77",77,1,39,22,271,10,25,"南部","大阪","八戸","新大阪","八戸駅新大阪駅","7","11",361,27640,NA,NA,4.994543,1,NA
"78",78,1,39,22,271,10,25,"南部","大阪","三沢","関西国際","三沢駅関西国際駅","4","11",0,NA,NA,NA,22.523849,0,NA
"79",79,1,40,22,281,10,25,"南部","神戸","八戸","新神戸","八戸駅新神戸駅","1","4",374,28300,NA,NA,4.994543,1,NA
"80",80,1,40,22,281,10,25,"南部","神戸","三沢","関西国際","三沢駅関西国際駅","3","4",0,NA,NA,NA,22.523849,0,NA
"81",81,1,41,22,283,10,25,"南部","播磨","八戸","姫路","八戸駅姫路駅","2","3",391,28940,NA,NA,4.994543,1,NA
"82",82,1,41,22,283,10,25,"南部","播磨","三沢","関西国際","三沢駅関西国際駅","1","3",0,NA,NA,NA,22.523849,0,NA
"83",83,1,42,22,331,10,30,"南部","県南","八戸","岡山","八戸駅岡山駅","4","4",406,30680,NA,NA,4.994543,1,NA
"84",84,1,42,22,331,10,30,"南部","県南","三沢","岡山","三沢駅岡山駅","0","4",0,NA,NA,NA,22.523849,0,NA
"85",85,1,43,22,341,10,31,"南部","広島","八戸","広島","八戸駅広島駅","1","2",447,33040,NA,NA,4.994543,1,NA
"86",86,1,43,22,341,10,31,"南部","広島","三沢","広島","三沢駅広島駅","1","2",0,NA,NA,NA,22.523849,0,NA
"87",87,1,44,22,342,10,31,"南部","備後","八戸","福山","八戸駅福山駅","0","0",424,31320,NA,NA,4.994543,1,NA
"88",88,1,44,22,342,10,31,"南部","備後","三沢","広島","三沢駅広島駅","0","0",0,NA,NA,NA,22.523849,0,NA
"89",89,1,45,22,351,10,32,"南部","山口","八戸","新山口","八戸駅新山口駅","0","0",475,35000,NA,NA,4.994543,1,NA
"90",90,1,45,22,351,10,32,"南部","山口","三沢","山口宇部","三沢駅山口宇部駅","0","0",0,NA,NA,NA,22.523849,0,NA
"91",91,1,46,22,352,10,32,"南部","下関","八戸","新下関","八戸駅新下関駅","0","0",618,36280,NA,NA,4.994543,1,NA
"92",92,1,46,22,352,10,32,"南部","下関","三沢","山口宇部","三沢駅山口宇部駅","0","0",0,NA,NA,NA,22.523849,0,NA
"93",93,1,47,22,353,10,32,"南部","宇部","八戸","厚狭","八戸駅厚狭駅","0","0",607,35640,NA,NA,4.994543,1,NA
"94",94,1,47,22,353,10,32,"南部","宇部","三沢","山口宇部","三沢駅山口宇部駅","0","0",0,NA,NA,NA,22.523849,0,NA
"95",95,1,48,22,354,10,32,"南部","岩国","八戸","新岩国","八戸駅新岩国駅","0","0",557,33700,NA,NA,4.994543,1,NA
"96",96,1,48,22,354,10,32,"南部","岩国","三沢","山口宇部","三沢駅山口宇部駅","0","0",0,NA,NA,NA,22.523849,0,NA
"97",97,1,49,22,355,10,32,"南部","徳山","八戸","徳山","八戸駅徳山駅","0","0",472,34340,NA,NA,4.994543,1,NA
"98",98,1,49,22,355,10,32,"南部","徳山","三沢","山口宇部","三沢駅山口宇部駅","0","0",0,NA,NA,NA,22.523849,0,NA
"99",99,1,50,22,401,10,37,"南部","福岡","八戸","博多","八戸駅博多駅","1","6",511,37360,NA,NA,4.994543,1,NA
"100",100,1,50,22,401,10,37,"南部","福岡","三沢","福岡","三沢駅福岡駅","5","6",0,NA,NA,NA,22.523849,0,NA
"101",101,1,51,22,402,10,37,"南部","北九州","八戸","小倉","八戸駅小倉駅","0","1",494,36280,NA,NA,4.994543,1,NA
"102",102,1,51,22,402,10,37,"南部","北九州","三沢","福岡","三沢駅福岡駅","1","1",0,NA,NA,NA,22.523849,0,NA
"103",103,1,52,22,432,10,41,"南部","八代・芦北","八戸","新八代","八戸駅新八代駅","0","0",611,39320,NA,NA,4.994543,1,NA
"104",104,1,52,22,432,10,41,"南部","八代・芦北","三沢","熊本","三沢駅熊本駅","0","0",0,NA,NA,NA,22.523849,0,NA
"105",105,1,53,22,461,10,44,"南部","鹿児島","八戸","鹿児島中央","八戸駅鹿児島中央駅","0","1",656,41680,NA,NA,4.994543,1,NA
"106",106,1,53,22,461,10,44,"南部","鹿児島","三沢","鹿児島","三沢駅鹿児島駅","1","1",0,NA,NA,NA,22.523849,0,NA
"107",107,1,54,22,462,10,44,"南部","川北薩・串木野","八戸","川内","八戸駅川内駅","0","0",644,41040,NA,NA,4.994543,1,NA
"108",108,1,54,22,462,10,44,"南部","川北薩・串木野","三沢","鹿児島","三沢駅鹿児島駅","0","0",0,NA,NA,NA,22.523849,0,NA
"109",109,2,1,31,22,11,10,"盛岡","南部","盛岡","八戸","盛岡駅八戸駅","133","133",36,3320,NA,NA,1.524693,1,NA
"110",110,2,1,31,22,11,10,"盛岡","南部","花巻","三沢","花巻駅三沢駅","0","133",0,NA,NA,NA,31.21727,0,NA
"111",111,2,2,31,31,11,11,"盛岡","盛岡","盛岡","盛岡","盛岡駅盛岡駅","－","#VALUE!",0,NA,NA,NA,1.524693,1,NA
"112",112,2,2,31,31,11,11,"盛岡","盛岡","花巻","花巻","花巻駅花巻駅","0","#VALUE!",0,NA,NA,NA,31.21727,0,NA
"113",113,2,3,31,32,11,11,"盛岡","北上中部","盛岡","新花巻","盛岡駅新花巻駅","－","#VALUE!",0,1340,NA,NA,1.524693,1,NA
"114",114,2,3,31,32,11,11,"盛岡","北上中部","花巻","花巻","花巻駅花巻駅","0","#VALUE!",0,NA,NA,NA,31.21727,0,NA
"115",115,2,4,31,33,11,11,"盛岡","両磐","盛岡","一ノ関","盛岡駅一ノ関駅","－","#VALUE!",38,3320,NA,NA,1.524693,1,NA
"116",116,2,4,31,33,11,11,"盛岡","両磐","花巻","花巻","花巻駅花巻駅","0","#VALUE!",0,NA,NA,NA,31.21727,0,NA
"117",117,2,5,31,41,11,12,"盛岡","仙台","盛岡","仙台","盛岡駅仙台駅","524","524",74,6700,NA,NA,1.524693,1,NA
"118",118,2,5,31,41,11,12,"盛岡","仙台","花巻","仙台","花巻駅仙台駅","0","524",0,NA,NA,NA,31.21727,0,NA
"119",119,2,6,31,43,11,12,"盛岡","古川","盛岡","くりこま高原","盛岡駅くりこま高原駅","1","1",50,3880,NA,NA,1.524693,1,NA
"120",120,2,6,31,43,11,12,"盛岡","古川","花巻","仙台","花巻駅仙台駅","0","1",0,NA,NA,NA,31.21727,0,NA
"121",121,2,7,31,51,11,13,"盛岡","秋田臨海","盛岡","秋田","盛岡駅秋田駅","69","69",95,4540,NA,NA,1.524693,1,NA
"122",122,2,7,31,51,11,13,"盛岡","秋田臨海","花巻","秋田","花巻駅秋田駅","0","69",0,NA,NA,NA,31.21727,0,NA
"123",123,2,8,31,61,11,15,"盛岡","山形","盛岡","山形","盛岡駅山形駅","27","27",171,6040,NA,NA,1.524693,1,NA
"124",124,2,8,31,61,11,15,"盛岡","山形","花巻","山形","花巻駅山形駅","0","27",0,NA,NA,NA,31.21727,0,NA
"125",125,2,9,31,63,11,12,"盛岡","米沢","盛岡","米沢","盛岡駅米沢駅","3","3",137,8000,NA,NA,1.524693,1,NA
"126",126,2,9,31,63,11,12,"盛岡","米沢","花巻","仙台","花巻駅仙台駅","0","3",0,NA,NA,NA,31.21727,0,NA
"127",127,2,10,31,64,11,12,"盛岡","新庄","盛岡","新庄","盛岡駅新庄駅","1","1",219,3880,NA,NA,1.524693,1,NA
"128",128,2,10,31,64,11,12,"盛岡","新庄","花巻","仙台","花巻駅仙台駅","0","1",0,NA,NA,NA,31.21727,0,NA
"129",129,2,11,31,71,11,12,"盛岡","福島","盛岡","福島","盛岡駅福島駅","21","21",101,9500,NA,NA,1.524693,1,NA
"130",130,2,11,31,71,11,12,"盛岡","福島","花巻","仙台","花巻駅仙台駅","0","21",0,NA,NA,NA,31.21727,0,NA
"131",131,2,12,31,73,11,17,"盛岡","郡山","盛岡","郡山","盛岡駅郡山駅","31","31",116,10800,NA,NA,1.524693,1,NA
"132",132,2,12,31,73,11,17,"盛岡","郡山","花巻","福島","花巻駅福島駅","0","31",0,NA,NA,NA,31.21727,0,NA
"133",133,2,13,31,76,11,17,"盛岡","白河","盛岡","新白河","盛岡駅新白河駅","1","1",85,11880,NA,NA,1.524693,1,NA
"134",134,2,13,31,76,11,17,"盛岡","白河","花巻","福島","花巻駅福島駅","0","1",0,NA,NA,NA,31.21727,0,NA
"135",135,2,14,31,91,11,18,"盛岡","宇都宮","盛岡","宇都宮","盛岡駅宇都宮駅","9","9",143,14040,NA,NA,1.524693,1,NA
"136",136,2,14,31,91,11,18,"盛岡","宇都宮","花巻","羽田","花巻駅羽田駅","0","9",0,NA,NA,NA,31.21727,0,NA
"137",137,2,15,31,93,11,18,"盛岡","栃木・小山","盛岡","小山","盛岡駅小山駅","1","1",42,14680,NA,NA,1.524693,1,NA
"138",138,2,15,31,93,11,18,"盛岡","栃木・小山","花巻","羽田","花巻駅羽田駅","0","1",0,NA,NA,NA,31.21727,0,NA
"139",139,2,16,31,95,11,18,"盛岡","那須","盛岡","那須塩原","盛岡駅那須塩原駅","4","4",70,12520,NA,NA,1.524693,1,NA
"140",140,2,16,31,95,11,18,"盛岡","那須","花巻","羽田","花巻駅羽田駅","0","4",0,NA,NA,NA,31.21727,0,NA
"141",141,2,17,31,101,11,18,"盛岡","前橋・高崎","盛岡","高崎","盛岡駅高崎駅","19","19",173,14040,NA,NA,1.524693,1,NA
"142",142,2,17,31,101,11,18,"盛岡","前橋・高崎","花巻","羽田","花巻駅羽田駅","0","19",0,NA,NA,NA,31.21727,0,NA
"143",143,2,18,31,104,11,18,"盛岡","沼田・利根","盛岡","上毛高原","盛岡駅上毛高原駅","0","0",198,12960,NA,NA,1.524693,1,NA
"144",144,2,18,31,104,11,18,"盛岡","沼田・利根","花巻","羽田","花巻駅羽田駅","0","0",0,NA,NA,NA,31.21727,0,NA
"145",145,2,19,31,111,11,18,"盛岡","浦和","盛岡","大宮","盛岡駅大宮駅","87","87",149,16420,NA,NA,1.524693,1,NA
"146",146,2,19,31,111,11,18,"盛岡","浦和","花巻","羽田","花巻駅羽田駅","0","87",0,NA,NA,NA,31.21727,0,NA
"147",147,2,20,31,113,11,18,"盛岡","児玉・大里","盛岡","熊谷","盛岡駅熊谷駅","5","5",163,15120,NA,NA,1.524693,1,NA
"148",148,2,20,31,113,11,18,"盛岡","児玉・大里","花巻","羽田","花巻駅羽田駅","0","5",0,NA,NA,NA,31.21727,0,NA
"149",149,2,21,31,131,11,18,"盛岡","23区","盛岡","東京","盛岡駅東京駅","477","477",175,16840,NA,NA,1.524693,1,NA
"150",150,2,21,31,131,11,18,"盛岡","23区","花巻","羽田","花巻駅羽田駅","0","477",0,NA,NA,NA,31.21727,0,NA
"151",151,2,22,31,141,11,18,"盛岡","横浜","盛岡","新横浜","盛岡駅新横浜駅","57","57",194,17920,NA,NA,1.524693,1,NA
"152",152,2,22,31,141,11,18,"盛岡","横浜","花巻","羽田","花巻駅羽田駅","0","57",0,NA,NA,NA,31.21727,0,NA
"153",153,2,23,31,144,11,18,"盛岡","小田原","盛岡","小田原","盛岡駅小田原駅","5","5",215,19220,NA,NA,1.524693,1,NA
"154",154,2,23,31,144,11,18,"盛岡","小田原","花巻","羽田","花巻駅羽田駅","0","5",0,NA,NA,NA,31.21727,0,NA
"155",155,2,24,31,151,11,20,"盛岡","新潟","盛岡","新潟","盛岡駅新潟駅","7","7",244,7340,NA,NA,1.524693,1,NA
"156",156,2,24,31,151,11,20,"盛岡","新潟","花巻","新潟","花巻駅新潟駅","0","7",0,NA,NA,NA,31.21727,0,NA
"157",157,2,25,31,152,11,20,"盛岡","長岡","盛岡","長岡","盛岡駅長岡駅","2","2",221,9500,NA,NA,1.524693,1,NA
"158",158,2,25,31,152,11,20,"盛岡","長岡","花巻","新潟","花巻駅新潟駅","0","2",0,NA,NA,NA,31.21727,0,NA
"159",159,2,26,31,154,11,20,"盛岡","三条・燕","盛岡","燕三条","盛岡駅燕三条駅","1","1",232,8860,NA,NA,1.524693,1,NA
"160",160,2,26,31,154,11,20,"盛岡","三条・燕","花巻","新潟","花巻駅新潟駅","0","1",0,NA,NA,NA,31.21727,0,NA
"161",161,2,27,31,155,11,20,"盛岡","魚沼","盛岡","浦佐","盛岡駅浦佐駅","0","0",211,10800,NA,NA,1.524693,1,NA
"162",162,2,27,31,155,11,20,"盛岡","魚沼","花巻","新潟","花巻駅新潟駅","0","0",0,NA,NA,NA,31.21727,0,NA
"163",163,2,28,31,201,11,18,"盛岡","長野","盛岡","長野","盛岡駅長野駅","3","3",235,10800,NA,NA,1.524693,1,NA
"164",164,2,28,31,201,11,18,"盛岡","長野","花巻","羽田","花巻駅羽田駅","0","3",0,NA,NA,NA,31.21727,0,NA
"165",165,2,29,31,203,11,24,"盛岡","上田","盛岡","上田","盛岡駅上田駅","2","2",223,11880,NA,NA,1.524693,1,NA
"166",166,2,29,31,203,11,24,"盛岡","上田","花巻","名古屋","花巻駅名古屋駅","0","2",0,NA,NA,NA,31.21727,0,NA
"167",167,2,30,31,211,11,24,"盛岡","岐阜","盛岡","岐阜羽島","盛岡駅岐阜羽島駅","1","4",355,23980,NA,NA,1.524693,1,NA
"168",168,2,30,31,211,11,24,"盛岡","岐阜","花巻","名古屋","花巻駅名古屋駅","3","4",0,NA,NA,NA,31.21727,0,NA
"169",169,2,31,31,221,11,18,"盛岡","中部","盛岡","静岡","盛岡駅静岡駅","7","7",243,20300,NA,NA,1.524693,1,NA
"170",170,2,31,31,221,11,18,"盛岡","中部","花巻","羽田","花巻駅羽田駅","0","7",0,NA,NA,NA,31.21727,0,NA
"171",171,2,32,31,222,11,24,"盛岡","西部","盛岡","浜松","盛岡駅浜松駅","6","6",269,21600,NA,NA,1.524693,1,NA
"172",172,2,32,31,222,11,24,"盛岡","西部","花巻","名古屋","花巻駅名古屋駅","0","6",0,NA,NA,NA,31.21727,0,NA
"173",173,2,33,31,223,11,18,"盛岡","東部","盛岡","三島","盛岡駅三島駅","2","2",237,19660,NA,NA,1.524693,1,NA
"174",174,2,33,31,223,11,18,"盛岡","東部","花巻","羽田","花巻駅羽田駅","0","2",0,NA,NA,NA,31.21727,0,NA
"175",175,2,34,31,231,11,24,"盛岡","名古屋","盛岡","名古屋","盛岡駅名古屋駅","13","13",274,23320,NA,NA,1.524693,1,NA
"176",176,2,34,31,231,11,24,"盛岡","名古屋","花巻","名古屋","花巻駅名古屋駅","0","13",0,NA,NA,NA,31.21727,0,NA
"177",177,2,35,31,232,11,24,"盛岡","東三河","盛岡","豊橋","盛岡駅豊橋駅","0","0",312,22240,NA,NA,1.524693,1,NA
"178",178,2,35,31,232,11,24,"盛岡","東三河","花巻","名古屋","花巻駅名古屋駅","0","0",0,NA,NA,NA,31.21727,0,NA
"179",179,2,36,31,233,11,24,"盛岡","豊田","盛岡","三河安城","盛岡駅三河安城駅","5","6",331,22680,NA,NA,1.524693,1,NA
"180",180,2,36,31,233,11,24,"盛岡","豊田","花巻","名古屋","花巻駅名古屋駅","1","6",0,NA,NA,NA,31.21727,0,NA
"181",181,2,37,31,252,11,25,"盛岡","東北部","盛岡","米原","盛岡駅米原駅","0","0",374,24620,NA,NA,1.524693,1,NA
"182",182,2,37,31,252,11,25,"盛岡","東北部","花巻","関西国際","花巻駅関西国際駅","0","0",0,NA,NA,NA,31.21727,0,NA
"183",183,2,38,31,261,11,25,"盛岡","京都","盛岡","京都","盛岡駅京都駅","14","18",310,25920,NA,NA,1.524693,1,NA
"184",184,2,38,31,261,11,25,"盛岡","京都","花巻","関西国際","花巻駅関西国際駅","4","18",0,NA,NA,NA,31.21727,0,NA
"185",185,2,39,31,271,11,25,"盛岡","大阪","盛岡","新大阪","盛岡駅新大阪駅","7","16",325,26360,NA,NA,1.524693,1,NA
"186",186,2,39,31,271,11,25,"盛岡","大阪","花巻","関西国際","花巻駅関西国際駅","9","16",0,NA,NA,NA,31.21727,0,NA
"187",187,2,40,31,281,11,25,"盛岡","神戸","盛岡","新神戸","盛岡駅新神戸駅","2","4",338,27000,NA,NA,1.524693,1,NA
"188",188,2,40,31,281,11,25,"盛岡","神戸","花巻","関西国際","花巻駅関西国際駅","2","4",0,NA,NA,NA,31.21727,0,NA
"189",189,2,41,31,283,11,25,"盛岡","播磨","盛岡","姫路","盛岡駅姫路駅","0","0",355,27640,NA,NA,1.524693,1,NA
"190",190,2,41,31,283,11,25,"盛岡","播磨","花巻","関西国際","花巻駅関西国際駅","0","0",0,NA,NA,NA,31.21727,0,NA
"191",191,2,42,31,331,11,30,"盛岡","県南","盛岡","岡山","盛岡駅岡山駅","1","1",370,28940,NA,NA,1.524693,1,NA
"192",192,2,42,31,331,11,30,"盛岡","県南","花巻","岡山","花巻駅岡山駅","0","1",0,NA,NA,NA,31.21727,0,NA
"193",193,2,43,31,341,11,31,"盛岡","広島","盛岡","広島","盛岡駅広島駅","3","4",411,31320,NA,NA,1.524693,1,NA
"194",194,2,43,31,341,11,31,"盛岡","広島","花巻","広島","花巻駅広島駅","1","4",0,NA,NA,NA,31.21727,0,NA
