"","空港i","空港j","航空会社","運航回数","運航キロメートル","運航時間","旅客数","座席数","X","人キロメートル","座席キロメートル","座席利用率","貨物","超過手荷物","郵便物","旅客","貨物.1","超過手荷物.1","郵便物.1","計","利用可能.トンキロメートル","重量利用率...","DIS","Seat","Freq","MC","i","j","airlineNo","所要時間","費用","航空便数","滞在可能時間","エアライン参入数","ODairline","ODrailway","OD","アクセシビリティ"
"21","関西","福岡","JAL",920,508760,"1,011:43",36040,59565,"65","19,930,120","32,939,445",60.5,"134,696","218","3,767","1,494,757","74,487","123","2,083","1,571,450","3,131,532",50.2,553,64.7445652173913,920.081055975381,6083,25,37,1,70,21900,5,630,3,119207,2516000,2635207,36.359543
"22","関西","福岡","ANA",1327,733831,"1,664:37",62171,104101,"78","34,380,563","57,567,853",59.7,"31,716","1,642","2,671","2,578,543","17,541","909","1,476","2,598,469","5,450,029",47.7,553,78.4483798040693,1327.4847579492,6083,25,37,2,70,21900,11,615,3,119207,2516000,2635207,36.359543
"23","大阪","佐賀","ANA",721,475860,"963:18",20996,53354,"74","13,857,360","35,213,640",39.4,"2,287","679","0","1,039,306","1,508","448","0","1,041,262","3,200,636",32.5,660,74,720.126217588147,7260,25,37,2,65,21900,2,275,1,119207,2516000,2635207,13.113114
"24","福岡","東京","JAL",6777,7054857,"10,470:03",1546302,2622485,"387","1,609,700,382","2,730,006,885",59,"41,041,524","9,279","1,311,643","120,727,529","42,724,227","9,658","1,365,419","164,826,833","332,673,099",49.5,1041,386.968422605873,6772.77703903753,11451,37,18,1,110,36700,21,680,3,4412011,1112000,5524011,2.604883
"25","福岡","東京","ANA",6411,6673851,"10,159:50",1639873,2662324,"415","1,707,107,793","2,771,479,284",61.6,"32,349,941","22,588","991,021","128,033,085","33,676,288","23,514","1,031,653","162,764,540","545,913,915",29.8,1041,415.274372172828,6410.53643541137,11451,37,18,2,110,36700,20,690,3,4412011,1112000,5524011,2.604883
"26","福岡","東京","SKY",3628,3776748,"5,723:40",601398,720818,"199","626,055,318","750,371,538",83.4,"0","12,824","0","46,954,148","0","13,351","0","46,967,499","90,870,810",51.7,1041,198.681918412348,3629.42297510876,11451,37,18,4,110,21700,10,685,3,4412011,1112000,5524011,2.604883
"27","北九州","東京","JAL",1454,1392932,"2,145:02",123165,238662,"164","117,992,070","228,638,196",51.6,"556,935","925","0","8,849,404","533,543","886","0","9,383,833","25,291,584",37.1,958,164.141678129298,1454.18191884874,10538,37,18,1,100,36700,4,625,2,4412011,1112000,5524011,63.014326
"28","北九州","東京","SFJ",3777,3618366,"5,583:42",372587,543888,"144","356,938,346","521,044,704",68.5,"2,581,300","7,107","0","26,770,378","2,472,885","6,809","0","29,250,072","55,965,267",52.3,958,144,3777.2404703974,10538,37,18,3,100,29600,11,980,2,4412011,1112000,5524011,63.014326
"29","佐賀","東京","ANA",1468,1658840,"2,334:11",128686,242116,"165","145,415,180","273,591,080",53.2,"867,664","3,436","0","10,906,140","980,460","3,886","0","11,890,486","36,520,804",32.6,1130,164.929155313351,1466.63564112747,12430,37,18,2,110,36700,3,600,1,4412011,1112000,5524011,51.728749
"30","福岡","関西","JAL",920,508760,"936:22",37797,59614,"65","20,901,741","32,966,542",63.4,"11,871","225","15,569","1,567,629","6,565","124","8,610","1,582,928","3,133,190",50.5,553,64.7978260869565,920.041965032879,6083,37,25,1,70,21900,5,725,3,129796,2517000,2646796,2.604883
"31","福岡","関西","ANA",1328,734384,"1,432:54",68597,104373,"79","37,934,141","57,718,269",65.7,"4,527","1,430","13,860","2,845,061","2,505","792","7,665","2,856,023","5,477,249",52.1,553,78.5941265060241,1328.46360759658,6083,37,25,2,70,21900,11,675,3,129796,2517000,2646796,2.604883
"32","佐賀","大阪","ANA",717,473220,"832:23",23402,53058,"74","15,445,320","35,018,280",44.1,"25,679","699","0","1,158,403","16,948","462","0","1,175,813","3,182,880",36.9,660,74,717.104859962003,7260,37,25,2,65,21900,2,0,1,129796,2517000,2646796,51.728749
