i,j,空港i,空港j,航空会社,旅客数,所要時間,費用,航空便数,滞在可能時間,アクセシビリティ,エアライン参入数,鉄道ダミー,一便あたり座席数,一便あたり貨物
18,25,東京,新大阪,JR,,150,14450,1,780,12.048303,0,1,0,0
18,37,東京,博多,JR,,300,22950,1,480,8.70507,0,1,0,0
25,18,新大阪,東京,JR,,150,14450,1,780,12.048303,0,1,0,0
25,37,新大阪,博多,JR,,150,15310,1,780,7.008287,0,1,0,0
37,18,博多,東京,JR,,300,22950,1,480,8.70507,0,1,0,0
37,25,博多,新大阪,JR,,150,15310,1,780,7.008287,0,1,0,0
