i,j,空港i,空港j,航空会社,旅客数,所要時間,費用,航空便数,滞在可能時間,アクセシビリティ,エアライン参入数,鉄道ダミー,OD,utility,sumexputility,fittedprob,observedprob,DIS,Seat,Freq,MC,LF
25,37,関西,福岡,ANA,62171,70,21900,3,450,36.359543,3,0,3043971,0.908539539,27.82989989,0.089137831,0.020424308,553,78.4483798,1327,5530,59.7
25,37,大阪,佐賀,ANA,20996,70,21900,1,200,13.113114,3,0,3043971,0.908539539,27.82989989,0.089137831,0.006897569,660,74,721,6600,39.4
25,37,新大阪,博多,JR,2516000,150,15310,1,780,5.17576,0,1,3043971,-4.445841173,27.82989989,0.00042139,0.826551896,NA,NA,NA,NA,NA
37,18,福岡,東京,JAL,1546302,110,36700,13,785,2.604883,3,0,5649674,1.284233519,30.32396033,0.11911038,0.273697562,1041,386.9684226,6777,10410,59
37,18,福岡,東京,ANA,1639873,110,36700,14,810,2.604883,3,0,5649674,1.436400552,30.32396033,0.138686732,0.290259757,1041,415.2743722,6411,10410,61.6
37,18,福岡,東京,SKY,601398,110,21700,10,685,2.604883,3,0,5649674,1.128753733,30.32396033,0.101959007,0.106448266,1041,198.6819184,3628,10410,83.4
37,18,福岡,成田,JAL,73111,110,37000,2,400,2.604883,3,0,5649674,1.284233519,30.32396033,0.11911038,0.012940747,1107,147.2139241,790,11070,62.9
37,18,福岡,成田,ANA,52552,110,36700,2,330,2.604883,3,0,5649674,1.436400552,30.32396033,0.138686732,0.009301776,1107,122.790411,730,11070,58.6
37,18,北九州,東京,JAL,123165,110,36500,6,800,63.014326,3,0,5649674,1.284233519,30.32396033,0.11911038,0.021800373,958,164.1416781,1454,9580,51.6
37,18,北九州,東京,SFJ,372587,100,29600,11,980,63.014326,2,0,5649674,1.329414082,30.32396033,0.124615275,0.065948407,958,144,3777,9580,68.5
37,18,佐賀,東京,ANA,128686,110,37400,4,440,51.728749,3,0,5649674,1.436400552,30.32396033,0.138686732,0.022777597,1130,164.9291553,1468,11300,53.2
37,18,博多,東京,JR,1112000,300,22950,1,480,1.832527,0,1,5649674,-6.866040444,30.32396033,3.44E-05,0.196825516,NA,NA,NA,NA,NA
37,25,福岡,大阪,JAL,76702,70,21900,3,725,2.604883,3,0,3048172,2.989815192,67.59634785,0.294128432,0.025163278,578,151.6399522,836,5780,60.5
37,25,福岡,大阪,ANA,286273,70,21900,7,700,2.604883,3,0,3048172,1.347791915,67.59634785,0.056939724,0.093916288,578,156.2816738,2581,5780,71
37,25,福岡,大阪,JAC,38401,70,21900,2,495,2.604883,3,0,3048172,2.788869885,67.59634785,0.240584459,0.012598042,578,74,703,5780,73.8
37,25,福岡,関西,JAL,37797,70,21900,2,300,2.604883,3,0,3048172,2.989815192,67.59634785,0.294128432,0.012399891,553,64.79782609,920,5530,63.4
37,25,福岡,関西,ANA,68597,70,21900,3,330,2.604883,3,0,3048172,1.347791915,67.59634785,0.056939724,0.022504307,553,78.59412651,1328,5530,65.7
37,25,佐賀,大阪,ANA,23402,70,21900,1,0,51.728749,3,0,3048172,1.347791915,67.59634785,0.056939724,0.007677388,660,74,717,6600,44.1
37,25,博多,新大阪,JR,2517000,150,15310,1,780,1.832527,0,1,3048172,-3.774470148,67.59634785,0.000339504,0.825740805,NA,NA,NA,NA,NA
