,i,j,空港i,空港j,航空会社,Price_simulation,Price_observed,Frequency_simulation,Frequency_observed,Probability_simulation,Probability_observed,Demand_simulation,Demand_observed,,,,,,,,,,,,,
43,37,18,福岡,東京,SKY,18631.7437,21700,7470.034439,3628,0.219090532,0.106448266,1237790.085,1647.665753,,,,,,,,,,,,,
44,37,18,福岡,成田,JAL,19277.55831,37000,235.7646506,790,0.003864158,0.012940747,21831.23097,200.3041096,,,,,,,,,,,,,
45,37,18,福岡,成田,ANA,19284.75159,36700,227.1082068,730,0.002892488,0.009301776,16341.61209,143.9780822,,,,,,,,,,,,,
46,37,18,北九州,東京,JAL,17785.66407,36500,381.0591857,1454,0.00571265,0.021800373,32274.61021,337.4383562,,,,,,,,,,,,,
47,37,18,北九州,東京,SFJ,17783.47256,29600,2455.643635,3777,0.0428741,0.065948407,242224.6881,1020.786301,,,,,,,,,,,,,
48,37,18,佐賀,東京,ANA,19508.18049,37400,428.2673252,1468,0.006651209,0.022777597,37577.16467,352.5643836,,,,,,,,,,,,,
49,37,18,博多,東京,JR,22950,22950,1,1,0.558346868,0.196825516,1112000,3046.575342,,,,,,,,,,,,,
50,37,25,福岡,大阪,JAL,13980.60223,21900,335.0012248,836,0.010082679,0.025163278,30733.73968,210.1424658,,,,,,,,,,,,,
51,37,25,福岡,大阪,ANA,13991.24148,21900,1035.177826,2581,0.03768269,0.093916288,114863.3196,784.309589,,,,,,,,,,,,,
52,37,25,福岡,大阪,JAC,13978.27997,21900,281.6668383,703,0.005046431,0.012598042,15382.38938,105.2082192,,,,,,,,,,,,,
53,37,25,福岡,関西,JAL,13733.07508,21900,356.8244244,920,0.004809111,0.012399891,14658.9974,103.5534247,,,,,,,,,,,,,
54,37,25,福岡,関西,ANA,13742.14254,21900,515.8528737,1328,0.0087386,0.022504307,26636.75495,187.9369863,,,,,,,,,,,,,
55,37,25,佐賀,大阪,ANA,14813.97898,21900,320.6792658,717,0.003433221,0.007677388,10465.04716,64.11506849,,,,,,,,,,,,,
56,37,25,博多,新大阪,JR,15310,15310,1,1,0.930207269,0.825740805,2517000,6895.890411,,,,,,,,,,,,,
